path,action,owner,requirement_scope,reason,sha256,integration_required,delete
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxPort.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,72bed916d8e7c4518134d386dae1b542e8c98e8212fe0eeeb5f8bbdf1992ddde,true,false
cpf-core/src/main/java/com/cpf/core/common/broker/CpfBrokerUnknownResultPort.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,dc189c012225300eb86490a39c39f9c1027e41e4ec294dcd20173d19c869cdf3,true,false
cpf-gateway/src/main/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvoker.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,d239df565a0d72e9fb5f38642d14fba9b563817bba9ff48b9c58a7b6c87994be,false,false
cpf-gateway/src/test/java/com/cpf/gateway/internal/resilience/CpfGatewayResilientInvokerTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,1b80a61986479b4032e81cbeb6f716f67ee506b7d3e6512636e169368cf9dc3e,false,false
cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,a0636c8ba388856a4756ec06f3549e5980561a3ca084c4339ddb47f8725eb7ef,false,false
cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpUploadOutcomePolicy.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,443e4da414d01969cc3050c18aacf258379f4b2aef474cc4e3f5a11f2412f46f,false,false
cpf-starters/file/sftp/src/test/java/com/cpf/starter/sftp/CpfSftpUploadOutcomePolicyTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,09aa47ccf520fc04254f9c9201728a3a13e2da879f72d2c100c492758c52693a,false,false
cpf-starters/integration/fixedlength-core/src/main/java/com/cpf/starter/integration/fixedlength/CpfBinaryFieldCodec.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,80c6ec8cc47995b46d77d4e423fed76b22ce587262d7b858b4af6f5cef0e5b1e,false,false
cpf-starters/integration/fixedlength-core/src/main/java/com/cpf/starter/integration/fixedlength/CpfFixedLengthField.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,5bb75438309bf15fc34088cdf7a9b0a83848c26315d32b1881c213f8a54d728f,false,false
cpf-starters/integration/fixedlength-core/src/test/java/com/cpf/starter/integration/fixedlength/CpfFixedLengthValidationTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,08c7b7eb0a82232fa1eb187514af379795acd2d20616f53430bd10fc4adb551f,false,false
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,ad48a1ffa3fc942ac3ff54801556b9e8b51b082345909ea7edfc6d08f38a3428,false,false
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,5936d7a7b8ea27a71aac428b072092ca9617069d01ec8a81a6e26eba05b7b6d3,false,false
cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpFrameCodec.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,2bbdb16a177278e1dd80768faeada48e86654bb66dea1244720d57e2aa96554d,false,false
cpf-starters/integration/tcp/src/test/java/com/cpf/starter/integration/tcp/internal/CpfResilientTcpClientTest.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,783d49cf92f5a236d3c26d58965e5c459fb6b21cd3e67188e57714ac5ba668a8,false,false
cpf-starters/integration/tcp/src/test/java/com/cpf/starter/tcp/CpfTcpClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,6175892997ebbe6f030dc21adcaaf2b78f4796f81d00535c33ab7cbe24705508,false,false
cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqBrokerClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,463ba90b4fd7759679ca6c005a99a376b67db4d76f0e8c82562512568cb4d893,false,false
cpf-starters/messaging/ibm-mq/src/test/java/com/cpf/starter/ibmmq/CpfIbmMqBrokerClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,6a2a94d340ec1d0d6098a1f6f78b61da29a01407f3f84bced432adaef3be248a,false,false
cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsBrokerClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,644b0b8e21e5fc2cf92cb1c4b0b530643e01a5d854d7fc5064b2d9491c41bdda,false,false
cpf-starters/messaging/jms/src/test/java/com/cpf/starter/jms/CpfJmsBrokerClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,fb7b5aafa47ddbc3506c6136d0338958aa8a8b2091763b7748354265f1d0408e,false,false
cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/KafkaCpfBrokerClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,96ace5bf41fc3d8281118ee9714178902e58299de329c39d79ca95d6589fce13,false,false
cpf-starters/messaging/kafka/src/test/java/com/cpf/starter/kafka/KafkaCpfBrokerClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,59465cb238f0e2ae69220630426b16bd8a1b01df361cc855312e073100f3eebb,false,false
cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqBrokerClient.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,5a2e2cac9cef17c09cff1ddbce434b581721b5bf712a1abb776fffeadea800d8,false,false
cpf-starters/messaging/rabbitmq/src/test/java/com/cpf/starter/rabbitmq/CpfRabbitMqBrokerClientTest.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,83a6f2bc0db7e0490aa23f2f402d1a3b3cf6890520b8fdb29378edeebe52a274,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/core/common/broker/CpfBrokerOutboxIdentity.java,ADD,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,b80f484aade3b37f0036d66022fa969efbd4adf75231b6ddb6a5189848242669,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/core/common/broker/CpfBrokerPublisherWorker.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,862c0d134264398d813a31f4e481190d1fbd8696618c8ef6a362baf3225c27a0,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/core/common/broker/JdbcCpfBrokerReliabilityRepository.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,da912eb45ca8a4b082c58e6d1185302449d5c9e872d50446a041d984ad404f7c,false,false
cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfBrokerClientRouter.java,MODIFY,DEVGPT-V9-S03,S03 assigned canonicals,Connected Functional Slice defect correction or regression test,ef9f98a6abc61d182c4e70c0bf3898edd63b7c45b75b6514e5bee943894f4dcc,false,false
