document,pages,pdf_bookmarks,pdf_links,pdf_internal_links,docx_bookmarks,docx_hyperlinks,headings,tables,paragraphs,pdf_text_chars,baseline_in_pdf,tracked_changes,comments
기술사양서,6,34,36,36,33,36,34,18,119,11342,True,0,False
기술표준서,7,35,40,40,34,40,35,18,142,12184,True,0,False
데이터베이스표준서,9,43,54,54,42,54,43,22,156,15768,True,0,False
산출물목록,3,14,14,14,13,14,14,8,60,4920,True,0,False
아키텍처설계서,11,57,60,60,56,60,57,30,189,22849,True,0,False
00_프레임워크안내,24,91,97,97,90,97,91,66,255,38200,True,0,False
01_개발자매뉴얼,38,153,193,193,153,193,153,84,477,81402,True,0,False
02_배치개발매뉴얼,24,100,138,138,101,138,100,61,317,47382,True,0,False
03_ADM개발자매뉴얼,18,71,102,102,71,102,71,38,239,37634,True,0,False
04_ADM운영자매뉴얼,67,226,261,261,225,259,226,211,628,105381,True,0,False
05_플랫폼운영매뉴얼,53,176,231,231,176,230,176,133,533,82979,True,0,False
90_BZA매뉴얼,28,117,140,140,116,140,117,88,344,46123,True,0,False
91_Gateway매뉴얼,19,84,116,116,83,116,84,46,343,32639,True,0,False
