task_id,document,required_terms,missing,status
READER-001,README,온라인 | batch | bza | gateway | cpf-docs/guides,,PASS
READER-002,00_프레임워크안내,local | remote | modular monolith | microservice,,PASS
READER-003,00_프레임워크안내,응답 유실 | attempt | unknown_result | reconcile,,PASS
READER-004,01_개발자매뉴얼,generator dry run | 충돌 | resolved | db vendor,,PASS
READER-005,01_개발자매뉴얼,pay | dto | domain | transaction | audit | outbox,,PASS
READER-006,01_개발자매뉴얼,idempotency | hash | conflict,,PASS
READER-007,01_개발자매뉴얼,동시 | 409 | version,,PASS
READER-008,01_개발자매뉴얼,read timeout | attempt | unknown | status query,,PASS
READER-009,01_개발자매뉴얼,consumer | commit | kill | inbox | ack,,PASS
READER-010,01_개발자매뉴얼,openapi | generated client | operation id | error,,PASS
READER-011,02_배치개발매뉴얼,tasklet | chunk | partition | checkpoint,,PASS
READER-012,02_배치개발매뉴얼,jobparameter | 식별 | parameter,,PASS
READER-013,02_배치개발매뉴얼,writer | commit | kill | metadata | restart,,PASS
READER-014,02_배치개발매뉴얼,stop | restart | abandon,,PASS
READER-015,02_배치개발매뉴얼,center-cut | 부분 실패 | 재처리 | 대사,,PASS
READER-016,03_ADM개발자매뉴얼,owner | query | command | adapter,,PASS
READER-017,03_ADM개발자매뉴얼,openapi | generated client | vue | operation,,PASS
READER-018,03_ADM개발자매뉴얼,409 | version | 재판단,,PASS
READER-019,03_ADM개발자매뉴얼,202 | unknown | operation | 중복,,PASS
READER-020,03_ADM개발자매뉴얼,403 | 409 | timeout | browser test,,PASS
READER-021,04_ADM운영자매뉴얼,dashboard | 상세 | 기준시각 | 식별자,,PASS
READER-022,04_ADM운영자매뉴얼,응답 유실 | incident | trace | 복구 센터,,PASS
READER-023,04_ADM운영자매뉴얼,data quality | snapshot | version | approval,,PASS
READER-024,04_ADM운영자매뉴얼,secret | rotation | active version | grace,,PASS
READER-025,04_ADM운영자매뉴얼,incident | owner | audit | 위험,,PASS
READER-026,05_플랫폼운영매뉴얼,artifact | 계정 | directory | hash | permission,,PASS
READER-027,05_플랫폼운영매뉴얼,mariadb | postgresql | oracle | migration | rollback,,PASS
READER-028,05_플랫폼운영매뉴얼,actual-key | capability-prefix | 실제 property 30 | capability prefix 48,,PASS
READER-029,05_플랫폼운영매뉴얼,gateway | nack | publish | lkg,,PASS
READER-030,05_플랫폼운영매뉴얼,restore | failover | rpo | rto | writer | 대사,,PASS
READER-031,90_BZA매뉴얼,조직 | 직원 | 사용자 | 기준일 | version | audit,,PASS
READER-032,90_BZA매뉴얼,role | permission | data scope | simulation,,PASS
READER-033,90_BZA매뉴얼,결재 | snapshot | requester | approver | 만료,,PASS
READER-034,90_BZA매뉴얼,권한 | session | 403,,PASS
READER-035,91_Gateway매뉴얼,route | predicate | rewrite | golden | match,,PASS
READER-036,91_Gateway매뉴얼,hmac | timestamp | nonce | body hash | audience,,PASS
READER-037,91_Gateway매뉴얼,ack | nack | desired | observed | target,,PASS
READER-038,91_Gateway매뉴얼,partial apply | lkg | rollback | drift,,PASS
READER-039,아키텍처설계서,owner | consumer | failure | architecture | sequence,,PASS
READER-040,데이터베이스표준서,owner | version | vendor | restore | migration,,PASS
