document,status,summary
기술사양서.pdf,PASS,ok_open=True; encrypted=False; pages=6; likely_scanned=False; xfa_present=False; warnings=[]
기술표준서.pdf,PASS,ok_open=True; encrypted=False; pages=7; likely_scanned=False; xfa_present=False; warnings=[]
데이터베이스표준서.pdf,PASS,ok_open=True; encrypted=False; pages=9; likely_scanned=False; xfa_present=False; warnings=[]
산출물목록.pdf,PASS,ok_open=True; encrypted=False; pages=3; likely_scanned=False; xfa_present=False; warnings=[]
아키텍처설계서.pdf,PASS,ok_open=True; encrypted=False; pages=11; likely_scanned=False; xfa_present=False; warnings=[]
00_프레임워크안내.pdf,PASS,ok_open=True; encrypted=False; pages=24; likely_scanned=False; xfa_present=False; warnings=[]
01_개발자매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=38; likely_scanned=False; xfa_present=False; warnings=[]
02_배치개발매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=24; likely_scanned=False; xfa_present=False; warnings=[]
03_ADM개발자매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=18; likely_scanned=False; xfa_present=False; warnings=[]
04_ADM운영자매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=67; likely_scanned=False; xfa_present=False; warnings=[]
05_플랫폼운영매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=53; likely_scanned=False; xfa_present=False; warnings=[]
90_BZA매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=28; likely_scanned=False; xfa_present=False; warnings=[]
91_Gateway매뉴얼.pdf,PASS,ok_open=True; encrypted=False; pages=19; likely_scanned=False; xfa_present=False; warnings=[]
