surface,source_path,baseline_sha
foundation-base,cpf-starters/foundation/base/src/main/java/com/cpf/starter/foundation/base/CpfBaseProperties.java,64049044956924032360fa80be83b5e37c64f828
caffeine,cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCaffeineCacheProperties.java,64049044956924032360fa80be83b5e37c64f828
valkey,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java,64049044956924032360fa80be83b5e37c64f828
jdbc,cpf-starters/data/persistence-jdbc/src/main/java/com/cpf/starter/data/persistence/jdbc/CpfJdbcStarterProperties.java,64049044956924032360fa80be83b5e37c64f828
db-vendor,cpf-core/src/main/java/com/cpf/core/common/database/CpfSqlResourceResolver.java,64049044956924032360fa80be83b5e37c64f828
db-pack,cpf-core/src/main/java/com/cpf/core/common/database/CpfVendorResourceRoot.java,64049044956924032360fa80be83b5e37c64f828
mybatis,cpf-starters/data/persistence-mybatis/src/main/java/com/cpf/core/config/CpfMyBatisConfig.java,64049044956924032360fa80be83b5e37c64f828
archive,cpf-starters/file/archive/src/main/java/com/cpf/starter/archive/CpfArchiveProperties.java,64049044956924032360fa80be83b5e37c64f828
attachment,cpf-starters/file/attachment/src/main/java/com/cpf/core/config/CpfAttachmentAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
sftp,cpf-starters/file/sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java,64049044956924032360fa80be83b5e37c64f828
tabular,cpf-starters/file/tabular-poi/src/main/java/com/cpf/common/tabular/CpfTabularAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
http-service-call,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceCallProperties.java,64049044956924032360fa80be83b5e37c64f828
http-client,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfHttpClientProperties.java,64049044956924032360fa80be83b5e37c64f828
http-endpoint,cpf-starters/integration/http-client/src/main/java/com/cpf/core/common/http/CpfServiceEndpointProperties.java,64049044956924032360fa80be83b5e37c64f828
resilience,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
tcp,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java,64049044956924032360fa80be83b5e37c64f828
webhook,cpf-starters/integration/webhook/build.gradle,64049044956924032360fa80be83b5e37c64f828
kafka,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java,64049044956924032360fa80be83b5e37c64f828
jms,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java,64049044956924032360fa80be83b5e37c64f828
ibm-mq,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java,64049044956924032360fa80be83b5e37c64f828
rabbitmq,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java,64049044956924032360fa80be83b5e37c64f828
messaging-reliability,cpf-starters/messaging/reliability-jdbc/src/main/java/com/cpf/starter/messaging/reliability/CpfMessagingReliabilityProperties.java,64049044956924032360fa80be83b5e37c64f828
notification-dispatch,cpf-starters/notification/dispatch/src/main/java/com/cpf/starter/notification/dispatch/CpfNotificationProperties.java,64049044956924032360fa80be83b5e37c64f828
notification-email,cpf-starters/notification/email/src/main/java/com/cpf/starter/notification/email/CpfEmailNotificationAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
channel-registry,cpf-starters/platform-operations/channel-registry-jdbc/src/main/java/com/cpf/starter/channel/jdbc/CpfChannelRegistryJdbcAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
feature-flag,cpf-starters/platform-operations/feature-flag-openfeature/src/main/java/com/cpf/starter/platform/operations/feature/flag/openfeature/internal/CpfFeatureFlagAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
observability-log-policy,cpf-core/src/main/java/com/cpf/core/common/logging/policy/LogPolicyCache.java,64049044956924032360fa80be83b5e37c64f828
otlp,cpf-starters/platform-operations/otlp/src/main/java/com/cpf/starter/platform/operations/otlp/CpfOtlpProperties.java,64049044956924032360fa80be83b5e37c64f828
runtime-control,cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
resource-server,cpf-starters/security/resource-server/src/main/java/com/cpf/starter/security/resource/CpfResourceServerProperties.java,64049044956924032360fa80be83b5e37c64f828
secret,cpf-starters/security/secret/src/main/java/com/cpf/starter/security/secret/CpfSecretAutoConfiguration.java,64049044956924032360fa80be83b5e37c64f828
service-identity,cpf-starters/security/service-identity/src/main/java/com/cpf/starter/security/identity/CpfServiceIdentityProperties.java,64049044956924032360fa80be83b5e37c64f828
session-jdbc,cpf-starters/security/session-jdbc/src/main/java/com/cpf/starter/security/CpfServerSessionProperties.java,64049044956924032360fa80be83b5e37c64f828
