status,starter,config_namespace,coverage_kind,manual,basis_sha
PASS,cpf-starter-data-cache-caffeine,cpf.data.cache.caffeine,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-data-cache-valkey,cpf.data.cache.valkey,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-data-persistence-jdbc,cpf.data.persistence.jdbc,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-data-persistence-mybatis,cpf.data.persistence.mybatis,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-file-archive,cpf.file.archive,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-file-attachment,cpf.file.attachment,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-file-sftp,cpf.file.sftp,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-file-tabular-poi,cpf.file.tabular.poi,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-foundation-base,cpf.foundation.base,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-fixedlength,cpf.integration.fixedlength,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-fixedlength-core,cpf.integration.fixedlength.core,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-http-client,cpf.integration.http,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-iso8583,cpf.integration.iso8583,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-resilience,cpf.integration.resilience,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-tcp,cpf.integration.tcp,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-integration-webhook,cpf.integration.webhook,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-messaging-ibm-mq,cpf.messaging.ibm-mq,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-messaging-jms,cpf.messaging.jms,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-messaging-kafka,cpf.messaging.kafka,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-messaging-rabbitmq,cpf.messaging.rabbitmq,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-messaging-reliability-jdbc,cpf.messaging.reliability.jdbc,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-notification-dispatch,cpf.notification.dispatch,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-notification-email,cpf.notification.email,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-notification-sms-spi,cpf.notification.sms,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-platform-operations-channel-registry-jdbc,cpf.platform-operations.channel-registry.jdbc,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-platform-operations-feature-flag-openfeature,cpf.platform-operations.feature-flag,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-platform-operations-observability,cpf.platform-operations.observability,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-platform-operations-otlp,cpf.platform-operations.otlp,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-platform-operations-runtime-control-client,cpf.platform-operations.runtime-control,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-profile-batch-service,cpf.profile.batch-service,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-profile-browser-bff,cpf.profile.browser-bff,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-profile-event-service,cpf.profile.event-service,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
PASS,cpf-starter-profile-minimal-domain,cpf.profile.minimal-domain,NAMESPACE + leaf-contract-required; no invented leaf default,05,64049044956924032360fa80be83b5e37c64f828
