classification,path
MODIFIED,README.md
NEW,cpf-docs/deliverables/evidence/doc-r18/ADM_COMPONENT_CONTRACT_CATALOG.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/ADM_COMPONENT_QA.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/ADM_ROUTE_SOURCE_CONTRACT.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/ADVERSARIAL_REVIEW_51.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/APPLY_AND_ROLLBACK.md
NEW,cpf-docs/deliverables/evidence/doc-r18/BASELINE.md
NEW,cpf-docs/deliverables/evidence/doc-r18/BZA_ROUTE_COVERAGE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/CHANGE_MANIFEST.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/CONFIG_SOURCE_TRACE.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/DELETE_MANIFEST.txt
NEW,cpf-docs/deliverables/evidence/doc-r18/DOCUMENT_METRICS.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/EDU_COVERAGE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/EDU_MANUAL_COVERAGE.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/FINAL_RENDER_QA.json
NEW,cpf-docs/deliverables/evidence/doc-r18/IMAGE_REFERENCE_REVIEW.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/PACKAGE_MANIFEST.json
NEW,cpf-docs/deliverables/evidence/doc-r18/PRODUCT_SURFACE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/PROPERTY_LEAF_CATALOG.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/PROPERTY_SURFACE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/READER_TASK_STATIC_WALKTHROUGH.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/ROUTE_COVERAGE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/RUNTIME_UNVERIFIED.md
NEW,cpf-docs/deliverables/evidence/doc-r18/SELF_REVIEW_111.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/SHA256SUMS.txt
NEW,cpf-docs/deliverables/evidence/doc-r18/SOURCE_TRACE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/STARTER_COVERAGE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/STARTER_RUNTIME_CONFIG_SURFACE.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/TOOL_COVERAGE_MATRIX.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/VALIDATION_100_CYCLES.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/VALIDATION_100_CYCLES_FINAL.csv
NEW,cpf-docs/deliverables/evidence/doc-r18/VALIDATION_SUMMARY.json
NEW,cpf-docs/deliverables/기술사양서.md
NEW,cpf-docs/deliverables/기술표준서.md
NEW,cpf-docs/deliverables/데이터베이스표준서.md
NEW,cpf-docs/deliverables/산출물목록.md
NEW,cpf-docs/deliverables/아키텍처설계서.md
NEW,cpf-docs/guides/00_프레임워크안내.md
NEW,cpf-docs/guides/01_개발자매뉴얼.md
NEW,cpf-docs/guides/02_배치개발매뉴얼.md
NEW,cpf-docs/guides/03_ADM개발자매뉴얼.md
NEW,cpf-docs/guides/04_ADM운영자매뉴얼.md
NEW,cpf-docs/guides/05_플랫폼운영매뉴얼.md
NEW,cpf-docs/guides/90_BZA매뉴얼.md
NEW,cpf-docs/guides/91_Gateway매뉴얼.md
