key,env,type,default,required,range_condition,consumer,profile_capability,restart,secret,symptom,check,expected,rollback,source_path
cpf.starter.base.strict,CPF_STARTER_BASE_STRICT,Boolean,true,예,true/false,CpfBaseProperties,all profiles,필요,아니오,binding/profile 검증 누락 또는 과도 완화,/actuator/health의 cpfStarterBaseHealthIndicator,profileId/profileVersion/capabilityCount 정상,이전 strict 값 복원 후 재기동,cpf-starters/foundation/base/src/main/java/com/cpf/starter/foundation/base/CpfBaseProperties.java
cpf.starter.base.profile-id,CPF_STARTER_BASE_PROFILE_ID,String,MINIMAL_BOOT_DOMAIN,예,non-blank,CpfBaseProperties,all profiles,필요,아니오,기동 시 profile-id required,cpfStarterBaseHealthIndicator.profileId,선택 Profile ID와 일치,이전 값 복원 후 재기동,cpf-starters/foundation/base/src/main/java/com/cpf/starter/foundation/base/CpfBaseProperties.java
cpf.starter.base.profile-version,CPF_STARTER_BASE_PROFILE_VERSION,String,1.0,예,non-blank,CpfBaseProperties,all profiles,필요,아니오,기동 시 profile-version required,cpfStarterBaseHealthIndicator.profileVersion,Domain Manifest/Profile version과 일치,이전 값 복원 후 재기동,cpf-starters/foundation/base/src/main/java/com/cpf/starter/foundation/base/CpfBaseProperties.java
cpf.data.cache.caffeine.provider,CPF_DATA_CACHE_CAFFEINE_PROVIDER,Enum/String,CAFFEINE (matchIfMissing),아니오,LOCAL|CAFFEINE,CpfCacheAutoConfiguration condition,cache:caffeine,필요,아니오,잘못된 Provider면 기대 Bean 미등록,ApplicationContext/health,선택 Provider와 Bean 일치,이전 Provider로 복원 후 재기동,cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCacheAutoConfiguration.java
cpf.cache.caffeine.maximum-size,CPF_CACHE_CAFFEINE_MAXIMUM_SIZE,Long,10000,아니오,1..10000000,CpfCaffeineCacheProperties,cache:caffeine,필요,아니오,과대 메모리/기동 검증 실패,cache runtime status/heap,설정 상한 안에서 cache 동작,이전 크기로 복원 후 재기동,cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCaffeineCacheProperties.java
cpf.cache.caffeine.maximum-payload-bytes,CPF_CACHE_CAFFEINE_MAXIMUM_PAYLOAD_BYTES,Integer,1048576,아니오,1..16777216,CpfCaffeineCacheProperties,cache:caffeine,필요,아니오,oversize payload 거부/메모리 압박,cache put fault test,상한 초과 입력 거부,이전 상한으로 복원 후 재기동,cpf-starters/data/cache-caffeine/src/main/java/com/cpf/starter/data/cache/caffeine/CpfCaffeineCacheProperties.java
cpf.data.cache.valkey.enabled,CPF_DATA_CACHE_VALKEY_ENABLED,Boolean,false,아니오,true/false,CpfValkeyProperties,cache:valkey,필요,아니오,비활성 시 Valkey Bean 미등록,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.key-prefix,CPF_DATA_CACHE_VALKEY_KEY_PREFIX,String,cpf:,enabled=true,안전한 key pattern,CpfValkeyProperties,cache:valkey,필요,아니오,잘못된 prefix 검증 실패,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.invalidation-channel,CPF_DATA_CACHE_VALKEY_INVALIDATION_CHANNEL,String,cpf.cache.invalidate,enabled=true,안전한 channel pattern,CpfValkeyProperties,cache:valkey,필요,아니오,무효화 채널 불일치,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
cpf.data.cache.valkey.default-ttl,CPF_DATA_CACHE_VALKEY_DEFAULT_TTL,Duration,10m,enabled=true,positive,CpfValkeyProperties,cache:valkey,필요,아니오,TTL 오류,Valkey health + invalidation/reconcile test,공유 cache·무효화·reconcile 정상,이전 값 복원 후 재기동,cpf-starters/data/cache-valkey/src/main/java/com/cpf/starter/data/cache/valkey/CpfValkeyProperties.java
