no,route_id,path,menu_id,label,group,risk,feature_flag,component,inputs_defaults,display_contract,actions,activation_permission,version_approval_idempotency,recovery_contract,source_ref,verification_status
1,dashboard,/,DASHBOARD,통합 운영 Dashboard,home,MEDIUM,adm.route.dashboard.enabled,cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue,"검색 입력 없음. 새로고침으로 6개 Owner 조회를 동시에 수행한다. / 최초 진입 시 자동 조회. Unknown/DLQ/Outbox/Batch 조회 한도 100, 우선순위 표 최대 20건.","Runtime Control, Unknown Result, Broker DLQ, Batch Execution, Outbox, Causal Trace 카드; 우선순위/영역/상태/식별자/Transaction 표.",새로고침; Runtime Control·Incident·Batch Execution·Reliability·Causal Trace로 Deep Link.,변경 Button 없음. Route 접근권한과 Feature Flag만 적용.,조회 화면. Version/Approval/Idempotency 입력 없음.,6개 Owner 중 일부 실패 시 성공 응답은 보존하고 `일부 Owner 조회 실패 n/6`를 표시한다. Freshness 시각을 기준으로 원인 화면에서 재조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
2,topology,/topology,TOPOLOGY,서비스 토폴로지,home,MEDIUM,adm.route.topology.enabled,cpf-admin/frontend/src/features/topology/TopologyPage.vue,검색 입력 없음. / Service Registry 현재 Snapshot을 조회한다.,"Service별 Node, serviceName/description, Instance name/id, endpointCode, weight, instanceStatus.",새로고침. 변경 조치 없음.,읽기 전용. Route/Feature Flag 접근 조건만 적용.,조회 화면.,Service Registry 데이터가 없으면 빈 상태를 표시한다. Instance 상태는 UP/ACTIVE/READY와 그 외를 구분한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
3,capacity,/capacity,CAPACITY,Online Runtime Diagnostics,home,MEDIUM,adm.route.capacity.enabled,cpf-admin/frontend/src/features/operations/OnlineDiagnosticsPage.vue,"Environment, Service ID, Transaction ID. / 모두 공백=전체 범위. Outbox/Inbox/Idempotency/File I/O 조회 한도 100. 기본 Tab runtime.","Control Health, Runtime State, Outbox, Inbox, Idempotency, File I/O 카드; ID/Key, Status, Transaction, Service/Topic, Updated 표.","진단/새로고침, runtime/outbox/inbox/idempotency/files Tab.",조회 전용.,조회 화면.,6개 소스 PromiseAllSettled. 일부 실패는 `부분 실패 n/6`로 표시하고 성공 데이터는 보존한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
4,logs,/logs,LOG_LIST,거래 로그,monitoring,MEDIUM,adm.route.logs.enabled,cpf-admin/frontend/src/features/logs/LogsPage.vue,"transactionId, traceId, 업무 거래 ID, URI, 응답 코드, HTTP 상태, 회원번호 보호검색, 고객번호 보호검색, 채널, 로그 유형; Export ID. / 쪽 크기 10/20/50 선택. 상세 미선택 시 복사/저장 비활성.","IDX, transactionId, 거래명/URI, Module/WAS, Instance/Host, 채널, HTTP/응답, 시작, 소요(ms); IN/GATEWAY/OUT/RESULT Timeline; Retry/Failover Attempt 8열; 10개 구조화 상세 Tab.","조회, 마스킹 상세 복사, 감사 상세 저장, Export Artifact 다운로드.",상세 복사/저장은 `logDetail.item` 존재 시. Artifact는 Export ID 사용. 화면은 서버 마스킹 결과만 표시.,조회/Artifact 화면. 변경 Version 없음.,Timeline 실패 단계와 Attempt를 먼저 확인한다. Export/상세 응답 유실은 동일 로그 식별자로 재조회하며 원문 민감정보를 우회 조회하지 않는다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
5,transactionGroups,/transactionGroups,LOG_LIST,Online·Batch 통합 Trace,online,MEDIUM,adm.route.transactionGroups.enabled,cpf-admin/frontend/src/features/operations/IntegratedTracePage.vue,"식별자 유형(Transaction/Trace/Business Transaction), 식별자, 최대 건수. / 유형 transaction, limit 100; 선택 20/50/100/200. Route query의 transactionId/traceId/businessTransactionId를 초기값으로 사용.","Transaction/Timeline Event/Failure/Batch 카드; 시각, 유형, 상태, Module/Service, Execution/Segment, 요약 표; Event 구조화 상세.",통합 조회; Batch Execution/Log/Audit/Incident Deep Link.,식별자 없거나 loading이면 조회 비활성.,조회 화면.,transaction 유형은 Observability와 Group Timeline을 함께 조회한다. 오류 시 동일 식별자로 재조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
6,transactions,/transactions,TRANSACTION_META,온라인 거래 정의,online,HIGH,adm.route.transactions.enabled,cpf-admin/frontend/src/features/transactions/TransactionsPage.vue,"모듈, 활성 상태, 거래 ID, 쪽 크기; Runtime 재스캔/비활성화 사유. / activeYn=Y, pageSize=20(10/20/50/100), page=0. 사유 10~500자.","거래 ID, 거래명, Module/Domain, HTTP Mapping, Operation ID, Log·Masking, 상태, 최종 Scan; Controller#Method, Mapping, OpenAPI, Log 정책, Masking, Updated by/at 상세.","조회/새로고침, Runtime 재스캔, 상세, 활성 거래 비활성화, Timeline/Audit Deep Link.",재스캔/비활성화는 `session.canWrite(...)`; 비활성화는 현재 active=Y. 위험조치는 사유>=10 + 영향/Audit 확인 체크.,화면 입력 Version은 없고 Runtime meta Owner가 상태를 관리한다. DB meta 미사용 시 명시적 warning.,실행 후 목록/상세 재조회. Metadata 테이블 unavailable이면 Migration 상태를 먼저 복구한다. 동일 조치를 추정 재실행하지 않는다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
7,remoteLogs,/remoteLogs,REMOTE_LOG,원격 로그,monitoring,MEDIUM,adm.route.remoteLogs.enabled,cpf-admin/frontend/src/features/remote-logs/RemoteLogsPage.vue,"환경, 모듈, 서비스, 인스턴스, 로그유형, 파일명, 표준 온라인/배치 ID, 거래/구간 ID, Job Instance/Execution/Step Execution, Scheduler ID, 수정 시작/종료, 최소/최대 byte, 압축, 활성/보관, 마지막 행(1~1000), 본문 검색, 다운로드 사유. / 환경 placeholder local, 모듈/서비스 ADM, 로그유형 transaction. 압축/활성은 전체가 기본.","선택, 환경, 모듈, 서비스, 인스턴스, 유형, 파일명, 크기, 수정시각, 보존만료, 상태; Preview/Bundle Job/Diagnostics 상세.","조회, 단일 다운로드, 선택 ZIP, 비동기 ZIP, 작업상태, 완료 ZIP 다운로드, 진단.","다운로드/ZIP은 REMOTE_LOG write. 선택 ZIP/비동기 ZIP은 선택건>0, 작업상태는 jobId, 완료 ZIP은 status=COMPLETED.",Artifact 조회 작업. 비동기 Bundle은 Job 상태로 추적.,대용량은 비동기 ZIP Job으로 전환하고 Job 상태를 재조회한다. 완료 전 다운로드를 시도하지 않는다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
8,auditLogs,/auditLogs,AUDIT_LOG,감사 로그,monitoring,MEDIUM,adm.route.auditLogs.enabled,cpf-admin/frontend/src/features/audit-logs/AuditLogsPage.vue,"운영자 ID, 행위, 대상 유형, 대상 ID; 전달 상태(전체/PENDING/RETRY/FAILED/DELIVERED), 재처리 사유. / 전달 상태 전체.","감사 조회 결과; 전달 ID, 행위, 운영자, 작업, 전달, 시도, 오류, 조치.","감사 조회, 전달 상태 조회, 감사 전달 재처리.",재처리는 deliveryStatus가 PENDING/RETRY/FAILED이고 AUDIT_LOG writeAllowed일 때.,전달 원장의 현재 상태/attempt를 기준으로 재처리.,이미 DELIVERED인 건은 재처리하지 않는다. 실패/재시도 상태에서 전달 원장과 attempt count를 확인 후 조치한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
9,logLevel,/logLevel,DYNAMIC_LOG,동적 로그,monitoring,HIGH,adm.route.logLevel.enabled,cpf-admin/frontend/src/features/log-level/LogLevelPage.vue,"업무 거래 ID, 거래 ID, 레벨(DEBUG/INFO/TRACE), TTL 초, 사유; 제거용 Rule ID/사유. / 업무 거래 ID placeholder REF01EDU0001. 레벨 선택은 Component 값 사용.",동적 로그 규칙/처리 결과 구조화 상세.,"조회, 규칙 등록, Rule ID 기준 규칙 제거.",등록/제거는 DYNAMIC_LOG write.,TTL 기반 임시 규칙. Rule ID로 제거.,등록 후 규칙 조회로 TTL·대상·레벨을 확인한다. 응답 유실 시 동일 Rule 존재 여부를 조회한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
10,logPolicies,/logPolicies,LOG_POLICY,로그 정책,monitoring,MEDIUM,adm.route.logPolicies.enabled,cpf-admin/frontend/src/features/log-policies/LogPoliciesPage.vue,"Policy ID/Key/Name, 대상유형·ID, Level, DB/File 저장, Error Stack Capture, 보존일(1~3650), Sampling(0~100), 우선순위; Query/Header/Body Capture Mode, 각 Allowlist, Masking Policy, byte 상한, 사유; Trace Boost 거래/업무거래/API/상태/실패코드/지연/TTL/기간. / Body/Query는 안전 모드 중심. byte 상한 UI: query 65536, header 131072, request/response body 1048576, stack 262144.",정책 ID/정책/대상/레벨/DB·File/Body/Sampling/상태/갱신; Gateway 배포 Event/Gateway/Version/상태/시도/Fencing/오류/ACK.,"조회, 적용상태, 저장, Override 등록/중지, 정책중지, Trace Boost 등록/상태/이력, Cache refresh/clear, 신규/상세/수정.",Mutation은 LOG_POLICY write. Authorization/Cookie/Token 원문과 일반 운영 FULL_RAW_BODY는 저장 대상으로 허용하지 않음.,Gateway 배포는 aggregate version/ACK/fencing을 표시. 정책 변경 후 적용상태로 배포 수렴 확인.,FAILED/PENDING Gateway만 원인·ACK·fencing을 확인한다. 성공 Instance를 되돌리지 않고 실패 대상만 재대사한다.,64049044956924032360fa80be83b5e37c64f828,완료 (source/component static); runtime/browser 미검증
