status,id,category,title,manual,catalog,basis_sha
PASS,EDU-DEV-01,DEV,Generator 기반 신규 업무 영역 생성,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-02,DEV,권한·범위가 적용된 목록·상세 조회,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-03,DEV,등록·수정·상태 변경과 감사,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-04,DEV,동시 수정과 예상 Version 충돌,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-05,DEV,지급 등록 멱등성·응답 유실·결과 대사,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-06,DEV,같은 애플리케이션·분리 서비스 호출 동등성,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-07,DEV,Kafka Outbox·Inbox·중복 소비·재처리,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-08,DEV,파일 업로드·검사·첨부·다운로드,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-09,DEV,외부 REST 신용조회와 결과 미확정,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-10,DEV,고정길이 전문 기관 이체,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-11,DEV,권한·데이터 범위·개인정보 가림·감사,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-12,DEV,Cache·기능 전환·Secret 교체,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-13,DEV,알림·비동기 내보내기·다운로드 감사,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-14,DEV,Oracle·PostgreSQL·MariaDB 동일 의미 Migration,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-15,DEV,지급 업무 장애 주입·복구·운영 인계,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-16,DEV,대용량 목록 검색·정렬·Cursor Paging,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-17,DEV,대량 등록 사전검증·부분 오류 보고·재업로드,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-18,DEV,논리 삭제·복원·보존기간 만료,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-19,DEV,기준일·유효기간이 있는 기준정보,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-20,DEV,다단계 고객 업무 상태기계와 취소·재개,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
PASS,EDU-DEV-21,DEV,Transactional Outbox 게시 지연·재시작,01,cpf-reference/src/main/resources/edu/manual-135-catalog.json,64049044956924032360fa80be83b5e37c64f828
