route_id,path,menu_code,group,expected_operation_ids,manual,source
dashboard,/,DASHBOARD,overview,bzaSupportDashboard,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
organizations,/organizations,ORGANIZATION,people,bzaBackofficeFindOrganizations;bzaBackofficeSaveOrganization;bzaBackofficeFindOrganizationsPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
employees,/employees,EMPLOYEE,people,bzaBackofficeFindEmployees;bzaBackofficeSaveEmployee;bzaBackofficeFindEmployeesPage;bzaBackofficeEmployeeRawContact,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
positions,/positions,EMPLOYEE,people,bzaDirectoryFindPositions;bzaDirectorySavePosition;bzaDirectoryFindPositionsPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
jobTitles,/jobTitles,EMPLOYEE,people,bzaDirectoryFindJobTitles;bzaDirectorySaveJobTitle;bzaDirectoryFindJobTitlesPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
assignments,/assignments,EMPLOYEE,people,bzaDirectoryFindAssignments;bzaDirectorySaveAssignment;bzaDirectoryFindAssignmentsPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
organizationResponsibilities,/organizationResponsibilities,ORGANIZATION,people,bzaDirectoryFindResponsibilities;bzaDirectorySaveResponsibility;bzaDirectoryFindResponsibilitiesPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
users,/users,AUTHORIZATION,access,bzaOperationFindAdminUsers;bzaOperationSaveAdminUser;bzaOperationFindAdminUsersPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
roles,/roles,AUTHORIZATION,access,bzaOperationFindRoles;bzaOperationSaveRole;bzaOperationFindRolesPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
userRoles,/userRoles,AUTHORIZATION,access,bzaDirectoryFindUserRoles;bzaDirectorySaveUserRole;bzaDirectoryFindUserRolesPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
menus,/menus,AUTHORIZATION,access,bzaOperationFindMenus;bzaOperationSaveMenu;bzaOperationFindMenusPage;bzaOperationDeleteMenu;bzaOperationFindMenuImpact,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
permissions,/permissions,AUTHORIZATION,access,bzaOperationFindPermissions;bzaOperationSavePermission;bzaOperationFindPermissionsPage,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
permissionTools,/permissionTools,AUTHORIZATION,access,bzaBackofficeFindEffectivePermissions;bzaSupportCompareRolePermissions;bzaSupportSimulatePermission,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
approvalInbox,/approvalInbox,APPROVAL,approval,bzaApprovalInbox;bzaBackofficeFindApprovals;bzaBackofficeCreateApproval;bzaBackofficeFindApproval;bzaBackofficeActApproval,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
approvalSubmissions,/approvalSubmissions,APPROVAL,approval,bzaApprovalSubmissions;bzaApprovalPolicySubmit;bzaApprovalExpireDue;bzaApprovalSubmissionDetail;bzaApprovalCancel;bzaApprovalResubmit;bzaApprovalWithdraw;bzaApprovalParticipantDecision,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
approvalPolicies,/approvalPolicies,APPROVAL,approval,bzaApprovalPolicies;bzaApprovalPolicySave;bzaApprovalPolicyDetail,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
approvalSimulation,/approvalSimulation,APPROVAL,approval,bzaApprovalPolicySimulate,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
approvalDelegations,/approvalDelegations,APPROVAL,approval,bzaApprovalDelegations;bzaApprovalDelegationSave,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
sessions,/sessions,AUTHORIZATION,support,bzaAuthSessions;bzaAuthRevokeSession,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
audits,/audits,AUDIT,support,bzaBusinessAuditVerify;bzaBackofficeFindBusinessAudits,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
notifications,/notifications,SETTING,support,bzaSupportFindNotifications;bzaSupportCreateNotification;bzaSupportReadAllNotifications;bzaSupportReadNotification,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
attachments,/attachments,ATTACHMENT,support,bzaSupportFindAttachments;bzaSupportUploadAttachment;bzaSupportDownloadAttachment;bzaSupportRecheckAttachment;bzaSupportUpdateAttachmentSecurity,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
savedSearches,/savedSearches,SETTING,support,bzaSupportFindSavedSearches;bzaSupportSaveSavedSearch;bzaSupportDisableSavedSearch,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
settings,/settings,SETTING,support,bzaOperationFindSettings,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
downloads,/downloads,SETTING,support,bzaOperationFindDownloadPolicies,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
downloadAudits,/downloadAudits,AUDIT,support,bzaSupportFindDownloadAudits,90_BZA매뉴얼.md,cpf-biz-admin/frontend/src/app/routes.ts
