no,group,question,status,evidence
1,structure,README exists,PASS,README.md
2,structure,Exactly 8 official Guide markdowns,PASS,8
3,structure,No guides/README.md,PASS,absent
4,structure,Exactly five design markdown deliverables,PASS,5
5,readme,Protected README visual retained: cpf-hero-desktop.png,PASS,cpf-hero-desktop.png
6,readme,Protected README visual retained: cpf-architecture-overview-desktop.png,PASS,cpf-architecture-overview-desktop.png
7,readme,Protected README visual retained: cpf-product-map-desktop.png,PASS,cpf-product-map-desktop.png
8,readme,Protected README visual retained: cpf-topology-desktop.png,PASS,cpf-topology-desktop.png
9,readme,Protected README visual retained: cpf-execution-desktop.png,PASS,cpf-execution-desktop.png
10,readme,Protected README visual retained: cpf-operations-desktop.png,PASS,cpf-operations-desktop.png
11,readme,Protected README visual retained: cpf-domain-journey-desktop.png,PASS,cpf-domain-journey-desktop.png
12,readme,README points to all 8 Markdown guides,PASS,8/8
13,readme,README points to all five design deliverables,PASS,5/5
14,baseline,All 8 guides name current baseline SHA,PASS,8/8
15,baseline,All five designs name current baseline SHA,PASS,5/5
16,baseline,Repository name is present,PASS,present
17,stack,Java 25 documented,PASS,present
18,stack,Gradle 9.1.0 documented,PASS,present
19,stack,Spring Boot 4.1.0 documented,PASS,present
20,stack,Spring Cloud 2025.1.2 documented,PASS,present
21,stack,Spring Batch 6.0.4 documented,PASS,present
22,architecture,Core/Common/Admin/BZA/Batch/Gateway/Reference/Member ownership named,PASS,8 owners
23,starter,39 active starter classifications,PASS,39
24,starter,39 active starter names unique,PASS,39 unique
25,starter,No starter config surface unmapped,PASS,0 unmapped
26,starter,6 profile starters classified as profile composition,PASS,6
27,starter,Inactive openapi-webmvc retained as inactive not active,PASS,explicit
28,profile,Public profile documented: minimal-domain,PASS,minimal-domain
29,profile,Public profile documented: web-api,PASS,web-api
30,profile,Public profile documented: secure-api,PASS,secure-api
31,profile,Public profile documented: browser-bff,PASS,browser-bff
32,profile,Public profile documented: event-service,PASS,event-service
33,profile,Public profile documented: batch-service,PASS,batch-service
34,starter,Seven capability groups named,PASS,7
35,starter,NO_DEPENDENCY_NO_BEAN_NO_CONFIG_NO_SQL policy documented,PASS,present
36,starter,Provider Slot concept documented,PASS,present
37,starter,Starter detailed cards exactly 39,PASS,39
38,tool,Tool documented: sync-database-artifacts.ps1,PASS,sync-database-artifacts.ps1
39,tool,Tool documented: initialize-cpf-database.ps1,PASS,initialize-cpf-database.ps1
