starter,catalog_namespace,actual_runtime_config_surface,classification,operational_meaning
cpf-starter-data-cache-caffeine,cpf.data.cache.caffeine,cpf.data.cache.caffeine.provider + cpf.cache.caffeine.*,DIRECT_LEAF_DIFFERENT_PREFIX,Provider condition과 runtime property prefix 분리
cpf-starter-data-cache-valkey,cpf.data.cache.valkey,cpf.data.cache.valkey.*,DIRECT_LEAF,Valkey runtime properties
cpf-starter-data-persistence-jdbc,cpf.data.persistence.jdbc,cpf.data.persistence.jdbc.* + cpf.db.* + spring.datasource.cpf.*,DIRECT_LEAF_PLUS_CORE_DB,JDBC/DB vendor/resource/routing
cpf-starter-data-persistence-mybatis,cpf.data.persistence.mybatis,cpf.db.* + cpf datasource; MyBatis direct CPF leaf 없음,CONSUMER_OF_CORE_DB,CpfMyBatisConfig uses CpfSqlResourceResolver
cpf-starter-file-archive,cpf.file.archive,cpf.file.archive.*,DIRECT_LEAF,archive bounds
cpf-starter-file-attachment,cpf.file.attachment,cpf.framework.attachment.*,DIRECT_LEAF_DIFFERENT_PREFIX,legacy/current runtime prefix differs from catalog namespace
cpf-starter-file-sftp,cpf.file.sftp,cpf.file.sftp.*,DIRECT_LEAF,SFTP + secret ref + ledger
cpf-starter-file-tabular-poi,cpf.file.tabular.poi,직접 CPF leaf 없음,NO_DIRECT_LEAF,CSV/XLSX adapter bean; limits belong call contract
cpf-starter-foundation-base,cpf.foundation.base,cpf.starter.base.*,DIRECT_LEAF_DIFFERENT_PREFIX,base strict/profile id/version
cpf-starter-integration-fixedlength,cpf.integration.fixedlength,직접 main runtime leaf 없음,NO_DIRECT_LEAF,Codec registry/layout contract
cpf-starter-integration-fixedlength-core,cpf.integration.fixedlength.core,직접 leaf 없음,PURE_INTERNAL_CODEC,상위 fixedlength 내부 engine
cpf-starter-integration-http-client,cpf.integration.http,cpf.service-call.* + cpf.http-client.* + cpf.services.<serviceId>.*,DIRECT_LEAF_DIFFERENT_PREFIX,"service call, timeout, endpoint SSRF/pinning"
cpf-starter-integration-iso8583,cpf.integration.iso8583,직접 운영 leaf를 문서에서 생성하지 않음,PROTOCOL_CONTRACT,message/layout 계약 중심; 추정 key 금지
cpf-starter-integration-resilience,cpf.integration.resilience,cpf.integration.resilience.* + cpf.reconciliation.worker.id,DIRECT_LEAF,lock/state/guard/reconcile
cpf-starter-integration-tcp,cpf.integration.tcp,cpf.integration.tcp.*,DIRECT_LEAF,connection/framing/TLS/backpressure/unknown journal
