status,group,starter,role,provider_slot,config_prefix,manuals,basis_sha
PASS,data,cpf-starter-data-cache-caffeine,provider,cache:caffeine,cpf.data.cache.caffeine,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,data,cpf-starter-data-cache-valkey,provider,cache:valkey,cpf.data.cache.valkey,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,data,cpf-starter-data-persistence-jdbc,provider,data:jdbc,cpf.data.persistence.jdbc,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,data,cpf-starter-data-persistence-mybatis,provider,data:mybatis,cpf.data.persistence.mybatis,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,file,cpf-starter-file-archive,internal-file-provider,-,cpf.file.archive,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,file,cpf-starter-file-attachment,capability-runtime,-,cpf.file.attachment,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,file,cpf-starter-file-sftp,provider,file:sftp,cpf.file.sftp,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,file,cpf-starter-file-tabular-poi,internal-file-provider,-,cpf.file.tabular.poi,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,foundation,cpf-starter-foundation-base,foundation,-,cpf.foundation.base,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-fixedlength,internal-codec,integration-codec:fixed-length,cpf.integration.fixedlength,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-fixedlength-core,internal-codec,-,cpf.integration.fixedlength.core,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-http-client,capability-runtime,integration-transport:http,cpf.integration.http,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-iso8583,internal-protocol,integration-codec:iso8583,cpf.integration.iso8583,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-resilience,capability-runtime,-,cpf.integration.resilience,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-tcp,provider,integration-transport:tcp,cpf.integration.tcp,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,integration,cpf-starter-integration-webhook,capability-runtime,-,cpf.integration.webhook,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,messaging,cpf-starter-messaging-ibm-mq,provider,messaging:ibm-mq,cpf.messaging.ibm-mq,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,messaging,cpf-starter-messaging-jms,provider,messaging:jms,cpf.messaging.jms,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,messaging,cpf-starter-messaging-kafka,provider,messaging:kafka,cpf.messaging.kafka,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,messaging,cpf-starter-messaging-rabbitmq,provider,messaging:rabbitmq,cpf.messaging.rabbitmq,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,messaging,cpf-starter-messaging-reliability-jdbc,capability-runtime,-,cpf.messaging.reliability.jdbc,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,notification,cpf-starter-notification-dispatch,capability-runtime,-,cpf.notification.dispatch,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,notification,cpf-starter-notification-email,provider,notification:email,cpf.notification.email,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,notification,cpf-starter-notification-sms-spi,extension-spi,notification:sms-spi,cpf.notification.sms,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,platform-operations,cpf-starter-platform-operations-channel-registry-jdbc,provider,-,cpf.platform-operations.channel-registry.jdbc,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,platform-operations,cpf-starter-platform-operations-feature-flag-openfeature,capability-runtime,-,cpf.platform-operations.feature-flag,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,platform-operations,cpf-starter-platform-operations-observability,capability-runtime,-,cpf.platform-operations.observability,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,platform-operations,cpf-starter-platform-operations-otlp,internal-exporter,observability:otlp,cpf.platform-operations.otlp,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,platform-operations,cpf-starter-platform-operations-runtime-control-client,capability-runtime,-,cpf.platform-operations.runtime-control,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-batch-service,profile,-,cpf.profile.batch-service,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-browser-bff,profile,-,cpf.profile.browser-bff,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-event-service,profile,-,cpf.profile.event-service,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-minimal-domain,profile,-,cpf.profile.minimal-domain,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-secure-api,profile,-,cpf.profile.secure-api,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,profiles,cpf-starter-profile-web-api,profile,-,cpf.profile.web-api,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,security,cpf-starter-security-resource-server,provider,security-mode:resource-server,cpf.security.resource-server,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,security,cpf-starter-security-secret,capability-runtime,-,cpf.security.secret,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,security,cpf-starter-security-service-identity,provider,security-mode:service-identity,cpf.security.service-identity,00;01;05,64049044956924032360fa80be83b5e37c64f828
PASS,security,cpf-starter-security-session-jdbc,provider,security-mode:browser-session,cpf.security.session.jdbc,00;01;05,64049044956924032360fa80be83b5e37c64f828
