path,change_type,product_source_change,purpose,baseline_sha
cpf-docs/work/v9i/qa/r6j/b/QA_B_REPORT.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_REQUIREMENT_STATUS.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_EDU_ARCH_CLASSIFICATION.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_LOGGING_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_EVIDENCE.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_OPINION.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/CROSS_REVIEW_REQUEST.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/HANDOVER.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_ADM63_DEEP_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_BZA26_DEEP_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_EDU135_DEEP_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_EVIDENCE_PROBE.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_APPROVAL_OWNER_RECONCILE_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_RELEASE_GATE_AUDIT.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_SOURCE_PROBE_MANIFEST.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_RUNTIME_GAP_MATRIX.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/QA_B_REWORK_CLASSIFICATION.csv,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
cpf-docs/work/v9i/qa/r6j/b/DELETE_MANIFEST.txt,ADD_QA_DOCUMENT,N,QA B deep re-audit evidence/matrix,3ed676061246c9db3e44f29e254c0393ecca3929
