index,route_id,component,direct_source_opened,router_direct_url_guard,page_permission_contract,static_verdict,runtime_browser_verdict,QA_closure,linked_finding,review_notes,exact_sha
1,dashboard,cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
2,organizations,cpf-biz-admin/frontend/src/features/organizations/OrganizationsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
3,employees,cpf-biz-admin/frontend/src/features/employees/EmployeesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
4,positions,cpf-biz-admin/frontend/src/features/positions/PositionsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
5,jobTitles,cpf-biz-admin/frontend/src/features/job-titles/JobTitlesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
6,assignments,cpf-biz-admin/frontend/src/features/assignments/AssignmentsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
7,organizationResponsibilities,cpf-biz-admin/frontend/src/features/organization-responsibilities/OrganizationResponsibilitiesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
8,users,cpf-biz-admin/frontend/src/features/users/UsersPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
9,roles,cpf-biz-admin/frontend/src/features/roles/RolesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
10,userRoles,cpf-biz-admin/frontend/src/features/user-roles/UserRolesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
11,menus,cpf-biz-admin/frontend/src/features/authorization/MenusPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
12,permissions,cpf-biz-admin/frontend/src/features/authorization/PermissionsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
13,permissionTools,cpf-biz-admin/frontend/src/features/permission-tools/PermissionToolsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
14,approvalInbox,cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue,Y,Y,CHECKED,FAIL,미검증,미통과,QA-B-R6J-NEW-003;QA-B-R6J-NEW-008,modern inbox page is valid but route expectedOperationIds still exposes retired 410 GET; mutation controls lack action-level projection,3ed676061246c9db3e44f29e254c0393ecca3929
15,approvalSubmissions,cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue,Y,Y,CHECKED,FAIL,미검증,미통과,QA-B-R6J-NEW-008,mutation controls rely on route/menu access without explicit action-level permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
16,approvalPolicies,cpf-biz-admin/frontend/src/features/approval-policies/ApprovalPoliciesPage.vue,Y,Y,CHECKED,FAIL,미검증,미통과,QA-B-R6J-NEW-008,mutation controls rely on route/menu access without explicit action-level permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
17,approvalSimulation,cpf-biz-admin/frontend/src/features/approval-simulation/ApprovalSimulationPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified; read/preview only but action-level simulation permission should be verified in browser,3ed676061246c9db3e44f29e254c0393ecca3929
18,approvalDelegations,cpf-biz-admin/frontend/src/features/approval-delegations/ApprovalDelegationsPage.vue,Y,Y,CHECKED,FAIL,미검증,미통과,QA-B-R6J-NEW-008,mutation controls rely on route/menu access without explicit action-level permission projection,3ed676061246c9db3e44f29e254c0393ecca3929
19,sessions,cpf-biz-admin/frontend/src/features/sessions/SessionsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
20,audits,cpf-biz-admin/frontend/src/features/audits/AuditsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
21,notifications,cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
22,attachments,cpf-biz-admin/frontend/src/features/attachments/AttachmentsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
23,savedSearches,cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
24,settings,cpf-biz-admin/frontend/src/features/settings/SettingsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
25,downloads,cpf-biz-admin/frontend/src/features/downloads/DownloadsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
26,downloadAudits,cpf-biz-admin/frontend/src/features/download-audits/DownloadAuditsPage.vue,Y,Y,CHECKED,SOURCE_REVIEWED,미검증,미통과,,page source directly opened at current SHA; BZA router direct-URL menu guard verified,3ed676061246c9db3e44f29e254c0393ecca3929
