index,path,probe_type,result,exact_sha
1,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
2,cpf-docs/work/r6i-dev/REQUIREMENT_STATUS.csv,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
3,cpf-docs/work/r6i-dev/TEST_AND_EVIDENCE.md,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
4,cpf-docs/work/r6i-dev/OPEN_ISSUES.md,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
5,cpf-docs/work/r6i-dev/evidence/environment.txt,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
6,.github/workflows/cpf-r6-release-gates.yml,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
7,cpf-tools/verification/final-dev/run-r6-release-gates.ps1,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
8,cpf-tools/verification/final-dev/run-db3-lifecycle.ps1,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
9,cpf-tools/verification/final-dev/verify-r6-behavior-contracts.py,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
10,cpf-tools/verification/final-dev/verify-db3-runner-contract.py,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
11,cpf-tools/scripts/verify-cpf-qa37-manual-edu-135.py,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
12,cpf-admin/frontend/src/app/routes.ts,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
13,cpf-admin/frontend/src/app/routes.test.ts,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
14,cpf-admin/frontend/src/app/router.ts,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
15,cpf-admin/frontend/src/App.vue,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
16,cpf-admin/frontend/src/stores/admSessionStore.ts,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
17,cpf-admin/frontend/src/components/RouteOperationWorkbench.vue,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
18,cpf-admin/frontend/scripts/verify-operation-consumer.mjs,EXACT_SHA_SOURCE_READ_OR_TARGETED_SEARCH,REVIEWED,3ed676061246c9db3e44f29e254c0393ecca3929
