requirement_or_finding,category,next_owner,gate,notes
AB-R6-001,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-013,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-014,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-020,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-025,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-028,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
AB-R6-033,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-002,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-003,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-004,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-005,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-006,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-007,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-008,ADDITIONAL_DEVELOPMENT_REQUIRED,개발GPT,QA 재검수,current source/document/gate defect; fix required before runtime closure
QA-B-R6J-NEW-001,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
AB-R6-029,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
AB-R6-030,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
AB-R6-032,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
AB-R6-036,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
AB-R6-037,ARCHITECTURE_DECISION_REQUIRED_THEN_DEVELOPMENT,중앙 Architecture → 개발GPT,Architecture decision + QA 재검수,Do not duplicate ADM product internals into REF EDU while fixing
