finding_id,priority,area,title,source_verdict,runtime_verdict,QA_검수결과,current_exact_sha,evidence_basis,acceptance_to_close,rework_required,updated_at,updated_by
AB-R6-001,P0,Management/Quality,Current result SHA와 R6S12 Evidence provenance 미결속,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,개발 Evidence 14/14 current master 404; result_sha=PENDING_USER_APPLY_COMMIT,Evidence를 exact current SHA에 commit/bind하고 SHA/command/cwd/tool/exit/hash를 재작성,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-002,P0,Runtime/Release,Current master Push에 Release Workflow 실행 없음,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,current exact SHA에 workflow run/status 없음,current exact SHA release workflow SUCCESS artifact 필요,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-003,P0,Runtime/Release,Release Runner가 clean exact-SHA qualification을 증명하지 못함,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,runner는 exact HEAD+clean tree를 강제하지만 current execution 없음,clean exact-SHA Release runner 실행 Evidence,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-004,P0,ADM/Frontend/Contract,Playwright Release Gate 실제 Product wiring 미완성,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,real URL/auth-state 기반 config와 role matrix test source 확인; 실행 없음,authenticated real backend 3-browser PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-005,P0,ADM/Frontend/Contract,Integration Closure UI operation permission이 실제 ADM Session과 연결되지 않음,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,IntegrationClosurePage가 AdmSessionStore.hasButton(operationId) 직접 사용,current source consumer path independently verified,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-006,P0,ADM/Frontend/Contract,ADM generic RouteOperationWorkbench가 전용 화면 permission/Strict JSON을 우회,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,Generic workbench는 GET-only + session hasButton; mutation 우회 차단,current source consumer path independently verified,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-007,P0,Approval/Security,Approval 위험 Operation UI에 action-level permission 미적용,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,ApprovalsPage canAction(operationId)로 mutation button gating,current source independently verified; broader routes tracked in NEW-007,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-008,P1,ADM/Frontend/Contract,ADM 63 Route 중 4개가 59개 sidebar canonical menu에서 누락,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,single route registry + routes.test 63 route/63 sidebar assertions,current source independently verified,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-009,P0,ADM/Frontend/Contract,ADM generated route-operation contract가 12 Route에서 stale,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,generated contract current source contains 63 route operation sets; exact regeneration not executed,current SHA regeneration zero-diff,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-010,P0,ADM/Frontend/Contract,Backend validation과 committed ADM OpenAPI/Generated artifact drift,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,release runtime OpenAPI parity source exists; committed spec is pre-runtime; current BACKEND_RUNTIME export absent,runtime OpenAPI export + parity + generation zero diff,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-011,P1,ADM/Frontend/Contract,Frontend enrich script가 validation/security response 계약의 제2 정본 역할,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,release lifecycle/parity scripts improved; current runtime source-of-truth execution absent,BACKEND_RUNTIME OpenAPI lifecycle PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-012,P1,ADM/Frontend/Contract,Generated Client가 high-risk 실제 Consumer를 compile-time으로 충분히 구속하지 않음,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,consumer verifier demands generated direct calls for high-risk mutations; full current closure not executed,full 332-operation runtime OpenAPI consumer closure,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-013,P0,Management/Quality,Operation consumer Gate False Green,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,BZA approvalInbox registry exposes retired 410 GET through generic workbench; RecoveryCenter stale duplicate consumer,remove retired 410 ops from route consumer metadata and close duplicate stale consumers,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-014,P0,Management/Quality,R6 Behavior Mutation Gate가 실제 mutation execution이 아닌 tautology,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,behavior checker source has semantic mutation checks but current gate proof is absent and static token mutation is not target runtime behavior,execute real mutation/failure behavior against product runtime and retain exact evidence,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-015,P1,Runtime/Release,DB Runner Security Test가 process behavior가 아니라 문자열 검사 중심,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,DB3 runner now clears child env and sends connection JSON via stdin; live DB3 not executed,3-vendor live runner process behavior PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-016,P0,BZA/Frontend,BZA Workbench permission code가 canonical manifest와 불일치,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,BZA workbench resolves canonical bzaPermissionManifest and GET-only permission,current source independently verified,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-017,P0,BZA/Frontend,BZA Release Integrity 미완성,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,release workflow source exists but preflight env bug NEW-002 blocks run; no browser artifact,fix NEW-002 + real BZA 3-browser release PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-018,P2,ADM/Frontend/Contract,Frontend idempotency storage 정책/표현 불일치,SOURCE_IMPROVED,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,Integration Closure documents localStorage pending/confirmed TTL and implementation source exists; runtime evidence absent,browser TTL/reload/response-loss runtime PASS,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-019,P0,Approval/Security,Approval Owner Registry 4D binding이 exact tuple이 아니라 fuzzy matching,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,"Owner ports implement supports(ownerModule,ownerCommand,actionType,targetType) exact tuples",current source independently verified,N,2026-08-07T20:49:00+09:00,QA-B
AB-R6-020,P0,Approval/Security,Process Kill 후 Approval EXECUTING/RUNNING 고착 경로,FAIL,미검증,미통과,3ed676061246c9db3e44f29e254c0393ecca3929,"lease sweeper converts stale RUNNING to UNKNOWN, but many Owner ports inherit reconcile=UNSUPPORTED and cannot close UNKNOWN",implement observation-only reconcile for all UNKNOWN-producing owner ports + process-kill test,Y,2026-08-07T20:49:00+09:00,QA-B
AB-R6-021,P0,Approval/Security,Public DQ capability 안전성이 Provider 구현 규율에 의존,PASS,정적검증완료,통과,3ed676061246c9db3e44f29e254c0393ecca3929,ADM-owned correction gateway verifyAndConsume before provider mutation,current source independently verified,N,2026-08-07T20:49:00+09:00,QA-B
