phase_id,phase_name,requirement_count,scenario_count,development_status,verification_status,gate_id,next_action
P00,정본·안전·상태 초기화,685,817,재확인 필요,미검증,CPF-GATE-00,최신 origin/master SHA 확인
P01,Repository 전체 Inventory·양방향 추적,1116,1193,재확인 필요,미검증,CPF-GATE-01,P00 Gate 통과
P02,Architecture Ownership·Public API/SPI/Internal 경계,665,709,재확인 필요,미검증,CPF-GATE-02,전체 Inventory와 Consumer Graph 확보
P03,공통 계약·표준 타입·보안·오류·Context,3722,4591,재확인 필요,미검증,CPF-GATE-03,Architecture Gate 통과
P04,Canonical Data·DB Schema·Migration·Runtime Query,2591,3455,재확인 필요,미검증,CPF-GATE-04,상태·DTO·오류·시간·ID 계약 확정
P05,Starter·Capability·Provider 기본 구현,3759,5756,재확인 필요,미검증,CPF-GATE-05,Core Contract와 필요한 DB Contract 확정
P06,Generator·Profile·Generated Domain·Reference,835,1141,재확인 필요,미검증,CPF-GATE-06,공개 Profile/Capability/Provider 선택면 확정
P07,Gateway·Batch·Messaging·외부연계·운영 Runtime,4381,6519,재확인 필요,미검증,CPF-GATE-07,Capability와 Generated Consumer 계약 통과
P08,ADM/BZA Backend·권한·승인·감사·운영 Command,2122,2353,재확인 필요,미검증,CPF-GATE-08,Owner Runtime Query/Command와 DB 계약 확정
P09,ADM/BZA 상용 Frontend,4573,7043,재확인 필요,미검증,CPF-GATE-09,OpenAPI·Generated Client·Permission Manifest·DB Projection 확정
P10,통합 Runtime·Fault·Process Kill·UNKNOWN 대사,3103,3191,재확인 필요,미검증,CPF-GATE-10,전체 수직 기능 구현과 운영 UI 연결
P11,Security·Performance·Capacity·Soak·DR,787,1249,재확인 필요,미검증,CPF-GATE-11,기능·복구 경로 안정화
P12,Migration·Upgrade·Rollback·Publication·Supply Chain,1418,1769,재확인 필요,미검증,CPF-GATE-12,지원 기능·성능·보안 범위 확정
P13,Fresh Clone·다른 PC·고객 인수·문서 정합,799,975,재확인 필요,미검증,CPF-GATE-13,최종 후보 Artifact와 Migration Pack 확보
P14,Codex 독립 전수검수·보완,1,1,재확인 필요,미검증,CPF-GATE-14,개발GPT 구현·자체검수·Evidence 제출 완료
P15,QA 최종 전수검수·재개발 순환·정본 종료,1,1,재확인 필요,미검증,CPF-GATE-15,Codex 완료 또는 타당한 해당 없음
