path,classification,source_acceptance_consumer_test_basis
cpf-tools/config/database-source-plan.json,KEEP_VERIFIED,Seed source order/ownership closure verified by plan/runtime/semantic tests.
cpf-tools/db/canonical/seed-model.json,KEEP_VERIFIED,Canonical duplicate identity and statement counts verified.
cpf-tools/db/vendor/mariadb/seed/00_product_seed.sql,KEEP_VERIFIED,Byte-identical runtime bundle and retry-safe dialect verified.
cpf-tools/db/vendor/mariadb/source/00_product_seed.sql,KEEP_VERIFIED,Canonical source bundle verified.
cpf-tools/db/vendor/oracle/seed/00_product_seed.sql,KEEP_VERIFIED,Byte-identical runtime bundle and MERGE/idempotency verified.
cpf-tools/db/vendor/oracle/source/00_product_seed.sql,KEEP_VERIFIED,Canonical source bundle verified.
cpf-tools/db/vendor/postgresql/seed/00_product_seed.sql,KEEP_VERIFIED,Byte-identical runtime bundle and ON CONFLICT idempotency verified.
cpf-tools/db/vendor/postgresql/source/00_product_seed.sql,KEEP_VERIFIED,Canonical source bundle verified.
cpf-tools/scripts/invoke-official-db-vendor-sql.ps1,KEEP_AFTER_FIX,QA stdin transport retained; provision secret stdout/stderr masking and injection guards added.
cpf-tools/scripts/tests/test_oracle_sqlplus_secret_transport.py,KEEP_AFTER_FIX,QA test retained and expanded to seven negative/positive cases.
cpf-tools/scripts/tests/test_seed_bundle_plan_closure.py,KEEP_VERIFIED,Existing QA closure tests pass unchanged.
cpf-tools/scripts/tests/test_seed_bundle_runtime_contract.py,KEEP_VERIFIED,Existing QA runtime contract tests pass unchanged.
