canonical_requirement_id,work_item_count,cpf_fr_count,cpf_sc_count,work_item_ids,cpf_fr_first,cpf_fr_last,cpf_sc_first,cpf_sc_last,owner,baseline_sha
DB-OWNERSHIP,5,61,72,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002441,CPF-FR-002501,CPF-SC-000481,CPF-SC-013818,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-INSTALL,4,61,72,CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-INSTALL-04-DATA_MIGRATION,CPF-FR-002502,CPF-FR-002562,CPF-SC-000493,CPF-SC-013878,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-FRESH,6,237,402,CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP;CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE;CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-FRESH-05-DATA_MIGRATION;CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY,CPF-FR-002563,CPF-FR-013524,CPF-SC-000505,CPF-SC-024490,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MIGRATION,6,61,72,CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-05-DATA_MIGRATION;CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY,CPF-FR-002624,CPF-FR-002684,CPF-SC-000517,CPF-SC-013998,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-ROLLBACK,5,61,72,CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP;CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION,CPF-FR-002685,CPF-FR-002745,CPF-SC-000529,CPF-SC-014058,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-BACKUP,5,61,72,CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-05-DATA_MIGRATION,CPF-FR-002746,CPF-FR-002806,CPF-SC-000541,CPF-SC-014118,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MULTI-VENDOR,5,61,72,CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION,CPF-FR-002807,CPF-FR-002867,CPF-SC-000553,CPF-SC-014178,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-SQL,4,197,327,CPF-WP-DB-SQL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-SQL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-SQL-04-DATA_MIGRATION,CPF-FR-002868,CPF-FR-013660,CPF-SC-000565,CPF-SC-024609,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-PERF,5,61,72,CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP;CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-PERF-03-VERIFICATION_EVIDENCE;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-05-DATA_MIGRATION,CPF-FR-002929,CPF-FR-002989,CPF-SC-000577,CPF-SC-014298,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MULTI,5,61,72,CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION,CPF-FR-002990,CPF-FR-003050,CPF-SC-000589,CPF-SC-014358,cpf-tools DB + owning module,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
