work_item_id,requirement_id,canonical_requirement_id,mapped_axis,mapping_rule
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002441,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002442,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002443,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002444,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002445,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002446,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002447,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002448,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002449,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE,CPF-FR-002450,DB-OWNERSHIP,VERIFICATION_EVIDENCE,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002451,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002452,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002453,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002454,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002455,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002456,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002457,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002458,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002459,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002460,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002461,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002462,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002463,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002464,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-FR-002465,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,FALLBACK_FROM_FAILURE_RECOVERY
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CPF-FR-002466,DB-OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002467,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002468,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002469,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002470,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002471,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002472,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002473,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002474,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002475,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002476,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002477,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002478,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002479,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,CPF-FR-002480,DB-OWNERSHIP,OPERATIONS_SECURITY,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002481,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002482,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002483,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002484,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002485,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002486,DB-OWNERSHIP,DATA_MIGRATION,PRIMARY_AXIS
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002487,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002488,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002489,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002490,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002491,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002492,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002493,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,CPF-FR-002494,DB-OWNERSHIP,DATA_MIGRATION,FALLBACK_FROM_GENERATION_COMPATIBILITY
CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE,CPF-FR-002495,DB-OWNERSHIP,VERIFICATION_EVIDENCE,PRIMARY_AXIS
