path,change_type,baseline_sha256,result_sha256,description,owner
cpf-tools/db/DB_OPERATIONS_GUIDE.md,ADD,,2a85537a9f22ca2cf0c2314b944757fd634899d814709cf162ca642c54233010,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/db/cpf-backup-lifecycle-contract.json,ADD,,bc829d7e00fbfe481a3970bb2609fc2c49c161c55f754a8915fbf4a380696b74,Encrypted backup/restore/retention/replica safety contract.,DEVGPT-6E
cpf-tools/db/cpf-data-observability-policy.json,ADD,,cff88b59feaebf5c083f60098e9a9684aba60c4f807dc39bd1f709b3332bd992,"Dataset/field lineage, quality, reconciliation, owner/audit and UNKNOWN policy.",DEVGPT-6E
cpf-tools/db/cpf-data-retention-policy.json,ADD,,84caf3c09a6341ffc44f72f21ff5a00966663b72fc2c98467d20d92df2a04ca3,"Archive, purge, legal hold and evidence policy.",DEVGPT-6E
cpf-tools/db/cpf-datasource-runtime-policy.json,ADD,,0adaa8b20cf5d92ad6102fdd25f29aa8cc770efc397c4358dedcbd5c13c7be5e,"Multi-datasource/read-replica routing, consistency, lag/failover, transaction and pool policy.",DEVGPT-6E
cpf-tools/db/cpf-db-lifecycle-contract.json,MODIFY,661f8575636e62f0496b39fd87479a0fe5fab98a3e7933fd46c59469dceb0beb,c97c5b30560a91bc0d0ae2a46045f75f33060c4ea0ed63949fb82dba5ecb8091,Lifecycle stages extended through DR/PITR/performance regression evidence.,DEVGPT-6E
cpf-tools/db/cpf-db-operability-contract.json,ADD,,dbda1b8b39a592e1917d5c7f4fdadea0be322b2a18749955660ca5efa5dc5991,"DB operability provider contract, generated OpenAPI, fixture, wrapper, normalizer or regression test added by DEVGPT-6E.",DEVGPT-6E
cpf-tools/db/cpf-db-performance-policy.json,ADD,,def9615b19c8ebbc043f0a40a79a02b4de850ca5a91905532db7606a689f85c4,"Representative scale, query plan and performance regression policy.",DEVGPT-6E
cpf-tools/db/cpf-pitr-lifecycle-contract.json,ADD,,b2d0b2858cd53ea9650ea6e062b7f6c42e7f53f4db86632f1f80604360f87718,Vendor-native PITR plan/execute/verify contract.,DEVGPT-6E
cpf-tools/db/cpf-test-data-policy.json,ADD,,2f07893ac287430a0a8e63bd1f508f09cd2a323a2ee1a6e323ba85b93ed58d46,"Masking, synthetic data and production import prohibition policy.",DEVGPT-6E
