work_item_id,canonical_requirement_id,priority,work_type,axis,axis_title,owner,dependencies,markdown_file,ledger_part,development_status,verification_status,next_action,baseline_sha,scope_decision,scope_reason
CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,DB-OWNERSHIP,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-tools DB + owning module,,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,DB-OWNERSHIP,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-tools DB + owning module,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE,DB-OWNERSHIP,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-tools DB + owning module,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,DB-OWNERSHIP,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-tools DB + owning module,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,DB-OWNERSHIP,P1,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-tools DB + owning module,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP,DB-INSTALL,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-tools DB + owning module,,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,DB-INSTALL,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-tools DB + owning module,CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE,DB-INSTALL,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-tools DB + owning module,CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-INSTALL-04-DATA_MIGRATION,DB-INSTALL,P1,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-tools DB + owning module,CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP,DB-FRESH,P0,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-tools DB + owning module,,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미완료,미완료,Target runtime execution and/or cross-session consumer completion; see WORK_ITEM_DEVELOPMENT_REVIEW.csv and CROSS_SESSION_CHANGE_REQUEST.csv.,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,IN_SCOPE,V8 WORK_ITEM_INDEX → markdown_file → ledger_part; owner=cpf-tools DB + owning module
