canonical_requirement_id,owner,work_item_count,cpf_fr_count,cpf_sc_count,actual_source_and_implementation,actual_consumer_and_call_path,development_complete_count,development_incomplete_count,verification_complete_count,verification_incomplete_count,scenario_complete_count,scenario_incomplete_count,executed_command,actual_result,evidence_path,remaining_runtime_gap,overall_status,baseline_sha
DB-OWNERSHIP,cpf-tools DB + owning module,5,61,72,cpf-tools/db/canonical/platform-schema.json; cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/scripts/verify-cpf-db-schema-governance.py; cpf-tools/scripts/invoke-cpf-db-operability-gate.ps1,platform-schema.json → verify-cpf-db-schema-governance.py; operation evidence → invoke-cpf-db-operability-gate.ps1 → normalize-cpf-db-operation-evidence.py → normalized evidence,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-INSTALL,cpf-tools DB + owning module,4,61,72,"cpf-tools/config/database-source-plan.json; cpf-tools/db/canonical/seed-model.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/install/**; cpf-tools/scripts/run-db-vendor-lifecycle.ps1; cpf-tools/scripts/invoke-official-db-vendor-sql.ps1",run-db-vendor-lifecycle.ps1 → canonical install/provision/seed bundles → invoke-official-db-vendor-sql.ps1 → vendor client,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-FRESH,cpf-tools DB + owning module,6,237,402,"cpf-tools/db/cpf-db-lifecycle-contract.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/source/00_all_install.sql; cpf-tools/scripts/run-db-vendor-lifecycle.ps1; cpf-tools/scripts/verify-cpf-db-development-contract.py",run-db-vendor-lifecycle.ps1 → fresh install → verify/smoke → rollback/reapply plan,228,9,57,180,35,367,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MIGRATION,cpf-tools DB + owning module,6,61,72,"cpf-tools/db/cpf-db-lifecycle-contract.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/migration/**; cpf-tools/scripts/invoke-platform-database-migration.ps1; cpf-tools/scripts/simulate-cpf-migration-lifecycle.py",invoke-platform-database-migration.ps1 → checksum/drift/backup guard → vendor migration → state/evidence; simulator validates UNKNOWN/reconcile,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-ROLLBACK,cpf-tools DB + owning module,5,61,72,"cpf-tools/db/cpf-db-lifecycle-contract.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/rollback/**; cpf-tools/scripts/invoke-platform-database-migration.ps1; cpf-tools/scripts/simulate-cpf-migration-lifecycle.py",invoke-platform-database-migration.ps1 → reverse rollback/forward recovery → reconcile/evidence,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-BACKUP,cpf-tools DB + owning module,5,61,72,cpf-tools/db/cpf-backup-lifecycle-contract.json; cpf-tools/db/cpf-pitr-lifecycle-contract.json; cpf-tools/scripts/backup-cpf-database.ps1; cpf-tools/scripts/restore-cpf-database.ps1; cpf-tools/scripts/invoke-cpf-pitr-restore.ps1; cpf-tools/scripts/replicate-cpf-backup-artifact.ps1,backup-cpf-database.ps1 → encrypted artifact/manifest → replica/retention; restore-cpf-database.ps1/invoke-cpf-pitr-restore.ps1 → validation,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MULTI-VENDOR,cpf-tools DB + owning module,5,61,72,"cpf-tools/db/vendor-pack-manifest.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/**; cpf-tools/scripts/invoke-official-db-vendor-sql.ps1; cpf-tools/scripts/verify-cpf-db-development-contract.py",database-source-plan.json/vendor pack → invoke-official-db-vendor-sql.ps1 → MariaDB/PostgreSQL/Oracle client,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-SQL,cpf-tools DB + owning module,4,197,327,"cpf-tools/db/canonical/platform-schema.json; cpf-tools/db/canonical/seed-model.json; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/source/**; cpf-tools/scripts/verify-cpf-db-schema-governance.py; cpf-tools/scripts/verify-cpf-db-development-contract.py",canonical schema/seed → generated vendor SQL → install/migration/runtime query consumers → parity verifiers,188,9,47,150,30,297,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-PERF,cpf-tools DB + owning module,5,61,72,cpf-tools/db/cpf-db-performance-policy.json; cpf-tools/scripts/invoke-cpf-db-performance-gate.ps1; cpf-tools/scripts/verify-cpf-db-performance-evidence.py,performance evidence → invoke-cpf-db-performance-gate.ps1 → verify-cpf-db-performance-evidence.py → normalized PASS/FAIL,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DB-MULTI,cpf-tools DB + owning module,5,61,72,cpf-tools/db/cpf-datasource-runtime-policy.json; cpf-tools/scripts/invoke-cpf-datasource-runtime-gate.ps1; cpf-tools/scripts/verify-cpf-datasource-runtime-evidence.py,datasource evidence → invoke-cpf-datasource-runtime-gate.ps1 → verify-cpf-datasource-runtime-evidence.py → failover/failback result,52,9,13,48,13,59,python3 -m unittest discover -s cpf-tools/scripts/tests -p 'test_*.py' -v; python3 cpf-tools/scripts/verify-cpf-db-development-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root .; python3 cpf-tools/scripts/verify-cpf-db-schema-governance.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-manifest.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-semantic-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-db-vendor-static-token-parity.py --root .; python3 cpf-tools/scripts/verify-cpf-seed-dialect.py --root .,"Exit 0; Ran 126 tests; OK. All 13 executed gates PASS: DB static contract, lifecycle, schema governance, vendor manifest, vendor semantic parity, vendor token parity, seed dialect, OpenAPI regeneration/reproducibility, Python compile, JSON/CSV parse and source hygiene. Runtime claim remains STATIC_SUBSTITUTE_ONLY.",cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS.",부분 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
