request_id,session_local_tracking_id,work_item_id,supporting_work_item_ids,canonical_requirement_id,requirement_id,scenario_id,priority,scenario_type,engineering_gates,primary_owner,integration_owner,mapping_basis,mapping_score
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000409,P1,POSITIVE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000410,P1,INVALID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000411,P1,UNAUTHORIZED,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000412,P1,CONFLICT,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000413,P1,DUPLICATE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000414,P1,TIMEOUT_PRE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000415,P1,RESPONSE_LOSS,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000416,P1,PARTIAL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000417,P1,PROCESS_KILL,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000418,P1,MULTI_INSTANCE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000419,P1,ROLLBACK,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE;CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,CPF-FR-002075,CPF-SC-000420,P1,SECURITY_LEAK,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-09-SECURITY;GATE-10-CRYPTO-PRIVACY;GATE-11-OPS-AUDIT;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,cpf-common,S01 Core SPI + S05 Admin/API,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-SAMPLE-DB-03-VERIFICATION_EVIDENCE,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-SAMPLE-DB-04-FAILURE_RECOVERY;CPF-WP-CMN-SAMPLE-DB-05-DATA_MIGRATION,CMN-SAMPLE-DB,CPF-FR-002136,CPF-SC-000421,P1,POSITIVE,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-08-UNKNOWN-RECOVERY;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-common,S06 Generator sample,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-SAMPLE-DB-03-VERIFICATION_EVIDENCE,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-SAMPLE-DB-04-FAILURE_RECOVERY;CPF-WP-CMN-SAMPLE-DB-05-DATA_MIGRATION,CMN-SAMPLE-DB,CPF-FR-002136,CPF-SC-000422,P1,INVALID,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-08-UNKNOWN-RECOVERY;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-common,S06 Generator sample,PARENT_REQUIREMENT_MAPPING,1000
MISSING_IN_ASSIGNMENT_SOURCE,DEVGPT-V9-S04-LOCAL-20260805-1952,CPF-WP-CMN-SAMPLE-DB-03-VERIFICATION_EVIDENCE,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER;CPF-WP-CMN-SAMPLE-DB-04-FAILURE_RECOVERY;CPF-WP-CMN-SAMPLE-DB-05-DATA_MIGRATION,CMN-SAMPLE-DB,CPF-FR-002136,CPF-SC-000423,P1,UNAUTHORIZED,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-05-DB-QUERY;GATE-08-UNKNOWN-RECOVERY;GATE-15-GENERATOR;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-common,S06 Generator sample,PARENT_REQUIREMENT_MAPPING,1000
