atomic_id,atomic_type,canonical_requirement_id,work_item_id,assertion_id,assertion_family,acceptance_verdict,evidence_path,evidence_sha256,development_status,verification_status
CPF-FR-002075,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002075-PURPOSE,FUNCTIONAL_ACCEPTANCE,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002076,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002076-OWNER,CONTRACT_OWNERSHIP,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002077,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002077-CONSUMER,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002078,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002078-PUBLIC_API,CONTRACT_OWNERSHIP,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002079,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002079-EXTENSION_SPI,CONTRACT_OWNERSHIP,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002080,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002080-INTERNAL_IMPL,CONTRACT_OWNERSHIP,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002081,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002081-INPUT,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002082,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002082-OUTPUT,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002083,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002083-CONFIG,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
CPF-FR-002084,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,AT-CPF-FR-002084-VALIDATION,IMPLEMENTATION_CONSUMER,PASS_WITH_DIRECT_OR_APPROVED_SUBSTITUTE_EVIDENCE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3,완료,완료
