path,phase,category,impact,deletion_reason,history_preservation,replacement,conflict_control,recommendation
cpf-docs/work/current/CPF_20260729_04_CODEX_FINAL_REVIEW_REQUEST.md,PRE_QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_04_CODEX_REVIEW_ONLY_REQUEST.md,PRE_QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_04_FINAL_DEVELOPMENT_REPORT.md,PRE_QA31,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_04_FINAL_HANDOVER.md,PRE_QA31,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_04_NEXT_SESSION_DEVELOPMENT_HANDOVER.md,PRE_QA31,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_04_SCENARIO_200_CHECKPOINT_REPORT.md,PRE_QA31,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260729_05_FINAL_DELIVERY_NOTE.md,PRE_QA31,STALE_CURRENT_DOCUMENT,MEDIUM,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_04_REMAINING_DEVELOPMENT_REQUEST.md,PRE_QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_05_CODEX_REVIEW_ONLY_REQUEST.md,PRE_QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_06_CHATGPT_PRE_QA_DEVELOPMENT_REQUIREMENTS.md,GENERIC,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_06_QA31_CODEX_BATCH_REVIEW_REQUEST.md,QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_06_QA31_DEVELOPER_PROMPT.md,QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_06_QA31_DEVELOPMENT_REMEDIATION_REQUEST.md,QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_06_QA31_PACKAGE_INDEX.md,QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_QA31_CODEX_REVIEW_READY.md,QA31,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
cpf-docs/work/current/CPF_20260730_QA32_CODEX_BATCH_REVIEW_REQUEST.md,QA32,STALE_CURRENT_DOCUMENT,LOW,QA37 Primary와 활성 Codex 패키지로 승계된 과거 Current 문서,Git History + QA History Ledger,CPF_CURRENT_WORK_REQUEST + QA37 Codex Start Here,후보 중 Working Tree 변경이 있으면 전체 삭제 중단,사용자 승인 및 Codex 병합 후 삭제
