path,surface_type,role,owner,disposition,impact,codex_control
.git,LOCAL_METADATA,Git repository metadata,LOCAL,절대 삭제 금지,없음,현재 작업과 무관
.github,PRODUCT_GOVERNANCE,CI/Workflow,Platform QA,유지,Workflow 변경 시 Gate 영향,Codex가 Workflow를 수정할 수 있어 보호
.gradle,LOCAL_CACHE,Gradle local cache,LOCAL,Codex 종료 후 로컬 정리 가능,다음 Build에서 재생성,현재 삭제 금지
.vscode,LOCAL_IDE,IDE settings 또는 stale local folder,LOCAL,Git status 확인 후 로컬 정리 후보,사용자 IDE 설정,현재 삭제 금지
cpf-core,FIXED_PRODUCT,Topology-independent Public API/SPI와 최소 계약,Core,유지·경량화,전체 Consumer,선택 Runtime 이관 후 회귀 보호
cpf-common,FIXED_PRODUCT,Customer business common,Common,유지,업무 Consumer,기술 Runtime Ownership 재확인
cpf-admin,FIXED_PRODUCT,Platform admin,ADM,유지,Frontend/DB/Runtime,보호
cpf-biz-admin,FIXED_PRODUCT,Business admin,BZA,유지,Frontend/DB/Runtime,보호
cpf-batch,FIXED_PRODUCT_CONTAINER,Batch runtimes,BAT,유지,Contract/Worker/Scheduler,제품 고유 Runtime Starter 이관 금지
cpf-gateway,FIXED_PRODUCT,Gateway runtime,Gateway,유지,Route/Control Plane,보호
cpf-reference,FIXED_PRODUCT,Executable EDU/reference consumer,Reference,유지·Starter 조합화,EDU closure,Mega Reference 방지
cpf-member,GENERATED_DOMAIN,Generator Golden Reference,Generator,유지·Starter 선택형 전환,settings.gradle/DB/templates,Generator로만 변경
cpf-starters,FIXED_PRODUCT_CONTAINER,선택 기술 Adapter·AutoConfiguration·독립 Library JAR,Starter Platform,정식 유지,모든 Product/Domain 선택 Dependency,Root Gate·BOM·Generator·Guide 보완
cpf-tools,FIXED_PRODUCT_CONTAINER,Build/Generator/DB/Gate/Supply-chain,Tools,유지 후 내부 정리,모든 Build/Runtime verification,전체 삭제 금지
cpf-docs,DOCUMENTATION,Canonical/Guide/Work/Evidence,Documentation/QA,역할별 통합,Requirement traceability,이번 패키지 범위
gradle,BUILD_CONFIG,Wrapper/stack/version configuration,Build,유지,Fresh clone build,보호
