requirement_id,priority,owner,title,requirement,acceptance_criteria,verification
CPF-NEXTQA-STARTER-001,P0,Architecture,Starter Container 정식화,cpf-starters를 FIXED_PRODUCT_CONTAINER로 Root/최종목표/Gate에 등록,Root inventory가 Generated Domain으로 오인하지 않고 Fresh Clone Gate PASS,Root gate positive/negative fixture
CPF-NEXTQA-STARTER-002,P0,Core,Core 경량화,Core의 선택 Runtime Dependency와 구현을 전수 분류·이관,Core Runtime/POM에 승인되지 않은 선택 OSS 강제 전이 0,POM/API/ArchUnit/variant compile
CPF-NEXTQA-STARTER-003,P0,Architecture,Framework 전체 Starter 후보 분류,모든 Source·Build·Config·SQL·Test·Generator·Guide Capability를 Starter/Owner/Product/Plugin/Tool로 분류,미분류 Runtime Capability 0,Dependency/consumer graph + inventory
CPF-NEXTQA-STARTER-004,P0,Build,의존·Consumer 양방향 그래프,각 Starter 직접/전이 Dependency와 실제 Product Consumer 산출,Consumer 없는 GA Starter 0; 역방향/순환 0,Gradle dependencyInsight + package scan
CPF-NEXTQA-STARTER-005,P0,Architecture,비-Starter 영역 보호,ADM/BZA/Batch/Gateway/Domain 고유 기능을 Starter로 잘못 이관하지 않음,Owner 전용 기능의 Starter 유출 0,Architecture rule/ArchUnit
CPF-NEXTQA-STARTER-006,P0,Security,Security 범용/제품 정책 분리,ADM/BZA Route·Permission을 Owner로 이관하고 기술 보안만 Starter 유지,Starter에 Product 경로/업무 권한 하드코딩 0,Security integration + route negative
CPF-NEXTQA-STARTER-007,P0,Security/Build,Security 세분화 결정,Session JDBC와 Resource Server/Stateless 선택 구조 확정,Security 소비가 JDBC Session을 무조건 강제하지 않음,Variant compile/runtime matrix
CPF-NEXTQA-STARTER-008,P0,Messaging,Kafka Closure,Publish/consume/ACK/DLQ/retry/duplicate/order/rebalance/unknown-result/reconcile 완성,Kafka 주요 실패 시나리오 PASS,Testcontainers + process kill/fault
CPF-NEXTQA-STARTER-009,P1,Architecture/Messaging,RabbitMQ 지원 ADR,Kafka-only/공식 RabbitMQ Starter/Customer Plugin 중 하나 결정,책임·지원 Matrix·비지원 문구가 정본화,ADR + contract parity review
CPF-NEXTQA-STARTER-010,P1,Messaging,RabbitMQ 선택 구현,공식 채택 시 AMQP Adapter와 운영·복구 구현,Kafka와 의미 동등성 및 Optional 선택 PASS,RabbitMQ Testcontainers/fault
CPF-NEXTQA-STARTER-011,P0,Cache,Cache Runtime Owner 정리,cpf-common Cache AutoConfiguration/Provider Runtime을 Starter 경계로 이관,Common이 선택 Cache Runtime을 전이하지 않음,POM + provider variants
CPF-NEXTQA-STARTER-012,P0,Cache,Cache Provider 세분화,Caffeine/Redis 동시 강제를 제거하고 선택 구조 확정,Provider별 제거 Compile/Runtime PASS,Caffeine/Redis/no-cache matrix
CPF-NEXTQA-STARTER-013,P0,Observability,Observability Closure,Trace/Metric/Log/OTLP/Sampling/Masking/Backpressure/Readiness 완성,Exporter 장애가 제품 안정성·보안 기준에 맞게 처리,OTLP outage + PII corpus
CPF-NEXTQA-STARTER-014,P0,Resilience,Resilience 정책 정본,Operation별 timeout/retry/circuit/fallback 정책과 error taxonomy 연결,Local Transaction 오용 0; bounded retry,fault/timeout/cancellation
CPF-NEXTQA-STARTER-015,P1,Feature Flag,Feature Flag GA 판정,Provider·Consumer·승인·감사·secure override 완성 또는 제거 결정,Dead abstraction 0,provider outage/audit/permission
CPF-NEXTQA-STARTER-016,P0,Secret,Secret Runtime Closure,Registry·rotation·expiry·revocation·masking·readiness 완성,평문/로그 유출 0; no-provider fail-closed,rotation/outage/negative corpus
CPF-NEXTQA-STARTER-017,P0,Web,Web MVC/OpenAPI 분리,표준 Header/Error/Validation/OpenAPI Runtime Starter 적합성 확정·이관,비-Web Runtime에 Servlet/UI Dependency 강제 0,web/no-web variants
CPF-NEXTQA-STARTER-018,P1,Remote Call,HTTP Client Starter 후보 결정,"RestClient/WebClient, identity, trace, timeout/resilience 조립 여부 결정",Local/Remote 계약 동등성,mock server + timeout/fault
CPF-NEXTQA-STARTER-019,P0,Persistence,MyBatis Runtime 분리,Core/Common/Domain MyBatis Dependency와 AutoConfig 중복을 정리,Core에 MyBatis Runtime 강제 0; 선택 Domain만 포함,persistence/no-persistence variants
CPF-NEXTQA-STARTER-020,P0,Data/Messaging,JDBC Adapter 후보 검토,Idempotency/Outbox/Inbox/Audit JDBC 구현의 중복·Consumer 분석,"다수 Consumer면 공통 Adapter, 단일 Consumer면 Owner 유지",3DB + unknown result/reconcile
CPF-NEXTQA-STARTER-021,P0,Generator,Generator Starter 선택,생성 입력·build/config/test/manifest에 Starter 선택을 원자적으로 반영,미선택 Starter 0; invalid combination fail-closed; 사용자 영역 보존,arbitrary-domain combination generation
CPF-NEXTQA-STARTER-022,P0,Generated Domain,최소 Domain Profile,신규 Domain은 최소 Core/Common 계약에서 시작하고 필요한 Starter만 선택,Default 생성물에 불필요 Starter/Config/Bean 0,minimal + representative variants
CPF-NEXTQA-STARTER-023,P0,Reference,Reference/Golden Domain 소비,공식 Starter 조합의 실제 Reference와 Generated Domain 소비 제공,기동/실패/복구 Evidence 확보,reference runtime + generated domain
CPF-NEXTQA-STARTER-024,P0,Build/Release,BOM·Version·Publication,모든 GA Starter를 BOM·version manifest·sources/javadoc·SBOM에 포함,LOCAL_DEV/REMOTE/OFFLINE publish/consume PASS,fresh clone publication lifecycle
CPF-NEXTQA-STARTER-025,P0,Build,Artifact Packaging,선택 Starter가 Consumer JAR/WAR에 포함되고 미선택은 제외,불필요 Transitive Dependency 0,archive entry + dependency report
CPF-NEXTQA-STARTER-026,P0,Migration,Dual Primary 제거,새 Starter 이관 후 기존 AutoConfig/Adapter/Dependency 제거,같은 Capability Primary 구현 1개,source/config/bean duplicate gate
CPF-NEXTQA-STARTER-027,P0,Runtime,Topology/Failure Matrix,"JAR/WAR, Modular Monolith/MSA, Multi-instance, process kill 검증",선택 조합별 필수 Runtime PASS,runtime/fault evidence
CPF-NEXTQA-STARTER-028,P0,Security,AutoConfiguration 안전성,Classpath/Property/MissingBean/ordering/fail-closed 조건 검증,의도치 않은 Bean 활성화·완화 0,ApplicationContextRunner + negative profile
CPF-NEXTQA-STARTER-029,P0,Documentation,Guide·Deliverable 동기화,Starter 개념·선택표·설정·배포·운영·업그레이드를 역할별 정본에 반영,Source/BOM/Generator와 Guide drift 0,doc link/content gate
CPF-NEXTQA-STARTER-030,P0,Evidence,Starter Evidence 표준,Starter별 Source SHA·명령·환경·Artifact hash·Consumer·variant 결과 기록,과거/다른 SHA 성공 승계 0,Evidence manifest verification
CPF-NEXTQA-STARTER-031,P1,Performance,Footprint 최적화,Minimal Domain과 각 Starter 추가에 따른 JAR size/startup/memory 측정,불필요 Runtime 증가 원인 0; 예산 정본화,artifact size/startup/memory benchmark
CPF-NEXTQA-STARTER-032,P0,Compatibility,Mixed Version·Upgrade/Rollback,Starter/Core/Product 호환 범위와 독립 upgrade/rollback 검증,비호환 조합 fail-closed,compatibility matrix + rollback
CPF-NEXTQA-STARTER-033,P0,QA,Final Gate 통합,Root·dependency·consumer·BOM·generator·variant·guide Gate를 안정 경로에 통합,날짜별 중복 Gate 없이 Final entry에서 실행,gate equivalence + CI
CPF-NEXTQA-STARTER-034,P0,Architecture/Build,Starter 선택 계층 확정,Leaf Starter·Capability Profile·Aggregate Starter·BOM 역할과 지원 범위를 확정,각 계층의 활성화·버전·Owner·금지 책임이 정본화,ADR + build model review
CPF-NEXTQA-STARTER-035,P0,Generator,Generator Capability Profile,사용 사례 Profile을 최종 Leaf Starter Dependency·Config·Test·Manifest로 원자 확장,Profile 이름만 숨겨 두지 않고 resolvedStarters가 Build와 일치,profile generation matrix + manifest diff
CPF-NEXTQA-STARTER-036,P1,Build/Architecture,Aggregate Starter ADR,하나의 Dependency로 묶음 제공 필요성과 초기 공식 Aggregate Artifact를 결정,불필요 Aggregate 0; 고유 Bean/AutoConfiguration 0; 개별 Leaf 선택 유지,consumer survey + POM/runtime prototype
