path_or_pattern,category,status,disposition,evidence,safety
.github/workflows/cpf-final-source-gates.yml,CI_FINAL_ENTRY,ACTIVE,유지,안정된 최종 CI 진입점,직접 수정하지 않음
.github/workflows/cpf-qa37-source-closure.yml,QA37_CI,ACTIVE_TEMPORARY,QA37 종료 후 통합 검토,현재 Codex 검수 Workflow,활성 Codex 보호
cpf-tools/scripts/verify-cpf-final-completion.ps1,LOCAL_FINAL_ENTRY,ACTIVE,유지·내부 정리,QA30/QA31 포함 전체 Gate 호출,직접 수정하지 않음
cpf-tools/scripts/invoke-cpf-final-closure.ps1,EVIDENCE_WRAPPER,ACTIVE,유지,Final completion 실행과 Evidence 생성,직접 수정하지 않음
cpf-tools/scripts/verify-full-product.ps1,PRODUCT_VERIFY_ENTRY,ACTIVE,유지,Tools README의 통합 검증 진입점,직접 수정하지 않음
cpf-tools/scripts/verify-qa30-completion.py,LEGACY_QA_GATE,ACTIVE_DEPENDENCY,안정 이름으로 이관 후 삭제,verify-cpf-final-completion.ps1이 직접 호출,지금 삭제 금지
cpf-tools/scripts/verify-cpf-qa31-development-result.ps1,LEGACY_QA_GATE,ACTIVE_DEPENDENCY,안정 이름으로 이관 후 삭제,verify-cpf-final-completion.ps1이 직접 호출,지금 삭제 금지
cpf-tools/verification/20260729_04/check_final_source_closure.py,DATED_GATE,ACTIVE_DEPENDENCY,stable verification path로 이관,Final CI가 직접 호출,지금 삭제 금지
cpf-tools/verification/20260729_04/check_generator_idempotency_templates.py,DATED_GATE,ACTIVE_DEPENDENCY,stable verification path로 이관,Final CI가 직접 호출,지금 삭제 금지
cpf-tools/verification/20260729_04/check_generator_java_template_compile.py,DATED_GATE,ACTIVE_DEPENDENCY,stable verification path로 이관,Final CI가 직접 호출,지금 삭제 금지
cpf-tools/verification/20260729_04/check_java_syntax.py,DATED_GATE,ACTIVE_DEPENDENCY,stable verification path로 이관,Final CI가 직접 호출,지금 삭제 금지
cpf-tools/verification/20260729_04/check_frontend_syntax.cjs,DATED_GATE,ACTIVE_DEPENDENCY,stable verification path로 이관,Final CI가 직접 호출,지금 삭제 금지
cpf-tools/scripts/verify-cpf-qa32-*.ps1|py,LEGACY_QA_GATE_GROUP,REVIEW_REQUIRED,참조 그래프 후 통합 또는 삭제,QA32 패키지에서 생성; 현재 전수 참조 미검증,Delete Manifest 제외
cpf-tools/scripts/verify-cpf-qa33-*.py,LEGACY_QA_GATE_GROUP,REVIEW_REQUIRED,참조 그래프 후 통합 또는 삭제,과거 문서 동기화·요청 검증 용도 가능,Delete Manifest 제외
