action,root_relative_path,before_sha256,after_sha256,reason
MODIFY,cpf-batch/runtime/build.gradle,2C5B001F5CB1538437E5423C537E21C23049D713C2CED9EA80C4CF613F27345F,2360B5FA4937E4F1C59B0F79BD6B3331B9E3F3D3D9BF3509E853DF4AC20485FD,PUBLIC_RUNTIME cpf-batch-runtime Fresh MavenPublication 추가
MODIFY,cpf-docs/governance/development-harness/current/CPF_DEVELOPMENT_HANDOVER.md,558F09E21267C8A0969CEA833CEC62FDFBF0767DD3A50E538D80A4EBD5370DEC,9EA792685D7A5F1331D5CEBC927C9545AF77F9CE9AAC7B37AD6B70BAC5F8D81A,Current Development Harness/Evidence 현행화
MODIFY,cpf-docs/governance/development-harness/current/CPF_OPEN_GIT_RELEASE_WORK_PACKAGE.md,D0431E4D886948640CE5775A453F61F3265D401E49C6BB5D234C8F6CDD7DD2F2,9F920B3A23490A432AEC5D63ACF396FEEC49489FC4FA31663F9F5B4F04E8F984,Current Development Harness/Evidence 현행화
MODIFY,cpf-docs/governance/development-harness/current/CURRENT_DEVELOPMENT_STATUS.csv,64AC0F1E9A0EE7300420ADB2453E58869DB8680B51695E1F1422E9F0FB13DFAF,084A4935B2F40DC32437BE1428036EBD20AED0F32F6670D17FE5991D586D2A6A,Current Development Harness/Evidence 현행화
MODIFY,cpf-docs/governance/development-harness/current/CURRENT_WORK_ITEM_REGISTRY.csv,6085BB18BF21875D206906CD3BCDE3C4969ED7EA51B876EFE4A7C28A487E9891,F7306EBC81D0380B021C5CB7A396BF79A701FC24BF9C58B2EC4C1FE9106B0024,Current Development Harness/Evidence 현행화
MODIFY,cpf-docs/governance/development-harness/current/OPEN_ISSUES.md,568CF20E1AAA401F29E9E87F12F763B8EDA7A08CCAE1CFD07DCCF8DF614D4F42,E0E5841BDE2DD12CF72C42BF115886FE94B32A8B1AEC916FFCAFD7E80B2CF6E3,Current Development Harness/Evidence 현행화
ADD,cpf-docs/governance/development-harness/evidence/devgpt/current/open-git-release-repair/RESULT.md,,F784880969EE984EB677D9F0085EDD96E7AE91D4F3BF0BE346406B18AA91C62F,Current Development Harness/Evidence 현행화
MODIFY,cpf-tools/build/cpf-root-conventions.gradle,35C0F724E25D45DBA762D6AA13379FEAC84718EF417496D98F7F722902F6D88B,5DF0DAFEB4EAEF9F8EF819F64AA5A09CCA11E050BA7923E79C3B3111441D2639,source-empty IDE stable output + public-release-only Maven coordinate/POM projection
MODIFY,cpf-tools/build/platform-bom/public-bom/build.gradle,4E17B8A5CDD440F6DE8CDC6693FA300D02A2F228B81A67C36023A81323BDCB82,B7791956D721D36A24B12CEEDFE9EF064645C7421E7CD3066774E97C39642127,Final Artifact Catalog 기반 Public BOM 전수 생성; stale alias 제거
MODIFY,cpf-tools/verification/nxt3/cpf_nxt3_layout_gate.py,742520C68DA5FEC9BB59F7D29863264330B7F234B37CC1F38AC021AAD5613A5B,3949979982FAAE031D49F4F534A61531169FEE8FCA3D04ED9E010693A499CEB1,Canonical CURRENT_GARBAGE_DECISIONS.csv authority 연결
ADD,cpf-tools/verification/tests/test_nxt3_layout_gate_current_ledger.py,,01B87CD4723B1897CA7FC5D523517328F8F697CD600CDA79E1819010E183D840,NXT3 ledger regression test 추가
ADD,cpf-tools/verification/tests/test_public_maven_projection_contract.py,,A807E97C92CDF7FD6920F61AFCB0B41BD4DD63689048C7EDCBE1092C339DDD78,Public Maven projection/runtime/BOM regression test 추가
MODIFY,cpf-tools/verification/tools/verify-cpf-execution-scope-exhaustive.py,AA638865F8CA0F8E3D4E49991DC14648952282FEF86DA6118F96E4E5284362E0,6453A8929B93ECF1A0E46E5CC431897E0142F0029EC93D5B9B948F8C068B6985,Repository Hygiene current ledger scope 보강
