request_id,entity_type,exact_id,link_reason,exception_reason
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040401,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040404,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040405,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040406,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040407,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040410,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040411,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040414,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040415,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040416,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040417,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040420,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040421,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040424,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040425,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040426,SOURCE_SESSION_INTEGRATION_BLOCKER,
S06-INT-CORE-TIME-STANDARD,CPF_SC,CPF-SC-040427,SOURCE_SESSION_INTEGRATION_BLOCKER,
