entity_type,exact_id,classification,completion_evidence,protected_at
CPF_SC,CPF-SC-020567,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020567,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020568,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020568,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020569,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020569,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020570,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020570,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020571,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020571,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020572,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020572,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020573,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020573,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020574,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020574,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020575,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020575,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020576,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020576,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020577,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020577,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020578,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020578,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020579,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020579,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020580,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020580,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020581,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020581,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020582,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020582,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020583,DEVGPT_INTEGRATION_COMPLETED,EVID:CPF_SC:CPF-SC-020583,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020584,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020584,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020585,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020585,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020586,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020586,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-020587,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-020587,2026-08-06T05:14:50+09:00
