entity_type,exact_id,classification,completion_evidence,protected_at
CPF_FR,CPF-FR-014106,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014106,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014107,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014107,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014108,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014108,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014109,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014109,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014110,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014110,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014111,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014111,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014112,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014112,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014113,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014113,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014114,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014114,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014115,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014115,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014116,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014116,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014117,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014117,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014118,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014118,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014119,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014119,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014120,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014120,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014121,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014121,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014122,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014122,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014123,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014123,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014124,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014124,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014125,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014125,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014126,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014126,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014127,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014127,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014128,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014128,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014129,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014129,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014130,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014130,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014131,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014131,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014132,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014132,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014133,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014133,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014134,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014134,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014135,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014135,2026-08-06T05:14:50+09:00
CPF_FR,CPF-FR-014136,PROTECTED_COMPLETED,EVID:CPF_FR:CPF-FR-014136,2026-08-06T05:14:50+09:00
