work_item_id,canonical_requirement_id,axis,requirement_count,scenario_count,requirement_complete_count,scenario_complete_count,missing_requirement_rows,missing_scenario_rows
CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,OPS-CONFIG,CONTRACT_OWNERSHIP,4,4,4,4,0,0
CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,OPS-CONFIG,IMPLEMENTATION_CONSUMER,62,559,6,21,0,0
CPF-WP-OPS-CONFIG-03-VERIFICATION_EVIDENCE,OPS-CONFIG,VERIFICATION_EVIDENCE,7,7,4,4,0,0
CPF-WP-OPS-CONFIG-04-FAILURE_RECOVERY,OPS-CONFIG,FAILURE_RECOVERY,15,15,14,14,0,0
CPF-WP-OPS-CONFIG-05-OPERATIONS_SECURITY,OPS-CONFIG,OPERATIONS_SECURITY,13,13,5,5,0,0
CPF-WP-OPS-CONFIG-06-DATA_MIGRATION,OPS-CONFIG,DATA_MIGRATION,6,6,3,3,0,0
CPF-WP-OPS-CONFIG-07-GENERATION_COMPATIBILITY,OPS-CONFIG,GENERATION_COMPATIBILITY,113,178,0,0,0,0
CPF-WP-OPS-DRIFT-01-CONTRACT_OWNERSHIP,OPS-DRIFT,CONTRACT_OWNERSHIP,4,4,4,4,0,0
CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER,OPS-DRIFT,IMPLEMENTATION_CONSUMER,8,19,6,15,0,0
CPF-WP-OPS-DRIFT-03-VERIFICATION_EVIDENCE,OPS-DRIFT,VERIFICATION_EVIDENCE,7,7,4,4,0,0
CPF-WP-OPS-DRIFT-04-FAILURE_RECOVERY,OPS-DRIFT,FAILURE_RECOVERY,15,15,14,14,0,0
CPF-WP-OPS-DRIFT-05-OPERATIONS_SECURITY,OPS-DRIFT,OPERATIONS_SECURITY,13,13,5,5,0,0
CPF-WP-OPS-DRIFT-06-DATA_MIGRATION,OPS-DRIFT,DATA_MIGRATION,6,6,3,3,0,0
CPF-WP-OPS-DRIFT-07-GENERATION_COMPATIBILITY,OPS-DRIFT,GENERATION_COMPATIBILITY,65,104,0,0,0,0
