canonical_requirement_id,aspect_or_capability,개발GPT_수행상태,개발GPT_자체검수상태,requirement_count
OPS-CONFIG,ADM_UI,미완료,미완료,1
OPS-CONFIG,ALERT_RUNBOOK,미완료,미완료,1
OPS-CONFIG,API_OPENAPI,미완료,미완료,1
OPS-CONFIG,APPROVAL,미완료,미완료,1
OPS-CONFIG,AUDIT,완료,완료,1
OPS-CONFIG,AUTHN,미완료,미완료,1
OPS-CONFIG,AUTHZ,미완료,미완료,1
OPS-CONFIG,BZA_UI,미완료,미완료,1
OPS-CONFIG,CIRCUIT,완료,완료,1
OPS-CONFIG,COMMAND,완료,완료,1
OPS-CONFIG,COMPENSATION,완료,완료,1
OPS-CONFIG,CONCURRENCY,완료,완료,1
OPS-CONFIG,CONFIG,완료,완료,1
OPS-CONFIG,CONSUMER,미완료,미완료,1
OPS-CONFIG,CONTRACT_TEST,완료,완료,1
OPS-CONFIG,DATA_SCOPE,미완료,미완료,1
OPS-CONFIG,DB_MIGRATION,완료,미완료,1
OPS-CONFIG,DB_OWNER,완료,완료,1
OPS-CONFIG,DB_QUERY,완료,완료,1
OPS-CONFIG,DB_ROLLBACK,미완료,미완료,1
OPS-CONFIG,DB_SCHEMA,완료,완료,1
OPS-CONFIG,DB_VENDOR,완료,미완료,1
OPS-CONFIG,DEADLINE,완료,완료,1
OPS-CONFIG,EVIDENCE,완료,완료,1
OPS-CONFIG,EXTENSION_SPI,완료,완료,1
OPS-CONFIG,FAULT_TEST,미완료,미완료,1
OPS-CONFIG,FRONTEND,미완료,미완료,1
OPS-CONFIG,GENERATOR,미완료,미완료,1
OPS-CONFIG,GUIDE,미완료,미완료,1
OPS-CONFIG,HEALTH,완료,완료,1
OPS-CONFIG,HYGIENE,완료,완료,1
OPS-CONFIG,IDEMPOTENCY,완료,완료,1
OPS-CONFIG,INPUT,완료,완료,1
OPS-CONFIG,INTEGRATION_TEST,미완료,미완료,1
OPS-CONFIG,INTERNAL_IMPL,완료,완료,1
OPS-CONFIG,JAVADOC,완료,미완료,1
OPS-CONFIG,LOCAL_REMOTE,완료,완료,1
OPS-CONFIG,LOG,완료,완료,1
OPS-CONFIG,MASKING,미완료,미완료,1
OPS-CONFIG,METRIC,미완료,미완료,1
OPS-CONFIG,MIXED_VERSION,완료,완료,1
OPS-CONFIG,MULTI_INSTANCE,완료,미완료,1
OPS-CONFIG,OUTPUT,완료,완료,1
OPS-CONFIG,OWNER,완료,완료,1
OPS-CONFIG,PUBLIC_API,완료,완료,1
OPS-CONFIG,PURPOSE,미완료,미완료,1
OPS-CONFIG,QUERY,완료,완료,1
OPS-CONFIG,REASON,완료,완료,1
OPS-CONFIG,RECONCILE,완료,완료,1
OPS-CONFIG,RECOVERY,완료,완료,1
OPS-CONFIG,RESOURCE,완료,완료,1
OPS-CONFIG,RETRY,완료,완료,1
OPS-CONFIG,ROLLBACK,완료,완료,1
OPS-CONFIG,RUNTIME_TEST,미완료,미완료,1
OPS-CONFIG,SAMPLE_EDU,미완료,미완료,1
OPS-CONFIG,STATE,완료,완료,1
OPS-CONFIG,TRACE,미완료,미완료,1
OPS-CONFIG,TRANSITION,완료,완료,1
OPS-CONFIG,UI,미완료,미완료,105
OPS-CONFIG,UNIT_TEST,완료,완료,1
OPS-CONFIG,UNKNOWN,완료,완료,1
OPS-CONFIG,VALIDATION,완료,완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,API Client Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Alert Threshold,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Approval Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Audit Delivery,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Backup Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Batch Schedule,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Break-glass Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Broker Consumer,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Broker Retry/DLQ,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Bulkhead,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Business Calendar,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Cache Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Canary Policy,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Certificate Activation,미완료,미완료,1
OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,Channel Policy,미완료,미완료,1
