campaign_id,session_id,requirement_id,canonical_requirement_id,primary_entity_id,개발GPT_수행상태,개발GPT_자체검수상태,acceptance_result,test_method,assertion_ref,direct_or_alternative,actual_result,evidence_ref,remaining_gap
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007809,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,미완료,미완료,미충족,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,PURPOSE 관련 일부 Source가 있으나 Acceptance의 actual consumer/target runtime/evidence를 모두 충족하지 못함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner implementation and direct target-environment evidence required.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007810,OPS-CONFIG,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,OWNER 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007811,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,미완료,미완료,미충족,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,CONSUMER 관련 일부 Source가 있으나 Acceptance의 actual consumer/target runtime/evidence를 모두 충족하지 못함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner implementation and direct target-environment evidence required.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007812,OPS-CONFIG,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,PUBLIC_API 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007813,OPS-CONFIG,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,EXTENSION_SPI 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007814,OPS-CONFIG,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,INTERNAL_IMPL 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007815,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,INPUT 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007816,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,OUTPUT 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007817,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,CONFIG 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
CPF-V8-DEVGPT-6C-09dd686c,DEVGPT-6C,CPF-FR-007818,OPS-CONFIG,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,완료,완료,충족(대체검증),Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,ALTERNATIVE,VALIDATION 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.
