requirement_id,canonical_requirement_id,parent_requirement_id,aspect_or_capability,acceptance_criteria,actual_source_default_implementation,actual_consumer_full_call_path,normal_error_edge_partial_recovery,test_method,assertion,execution_command,exit_code_actual_result,evidence_path,개발GPT_수행상태,개발GPT_자체검수상태,remaining_runtime_difference,primary_work_item_id
CPF-FR-007809,OPS-CONFIG,CPF-RQ-000129,PURPOSE,플랫폼 운영자·SRE가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; PURPOSE 관련 일부 Source가 있으나 Acceptance의 actual consumer/target runtime/evidence를 모두 충족하지 못함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,미완료,미완료,Owner implementation and direct target-environment evidence required.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-FR-007810,OPS-CONFIG,CPF-RQ-000129,OWNER,플랫폼 운영자·SRE가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; OWNER 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP
CPF-FR-007811,OPS-CONFIG,CPF-RQ-000129,CONSUMER,플랫폼 운영자·SRE가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; CONSUMER 관련 일부 Source가 있으나 Acceptance의 actual consumer/target runtime/evidence를 모두 충족하지 못함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,미완료,미완료,Owner implementation and direct target-environment evidence required.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-FR-007812,OPS-CONFIG,CPF-RQ-000129,PUBLIC_API,플랫폼 운영자·SRE가 실제 제품 경로에서 Public API 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; PUBLIC_API 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP
CPF-FR-007813,OPS-CONFIG,CPF-RQ-000129,EXTENSION_SPI,플랫폼 운영자·SRE가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; EXTENSION_SPI 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP
CPF-FR-007814,OPS-CONFIG,CPF-RQ-000129,INTERNAL_IMPL,플랫폼 운영자·SRE가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; INTERNAL_IMPL 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP
CPF-FR-007815,OPS-CONFIG,CPF-RQ-000129,INPUT,플랫폼 운영자·SRE가 실제 제품 경로에서 입력 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; INPUT 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-FR-007816,OPS-CONFIG,CPF-RQ-000129,OUTPUT,플랫폼 운영자·SRE가 실제 제품 경로에서 출력 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; OUTPUT 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-FR-007817,OPS-CONFIG,CPF-RQ-000129,CONFIG,플랫폼 운영자·SRE가 실제 제품 경로에서 설정 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; CONFIG 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
CPF-FR-007818,OPS-CONFIG,CPF-RQ-000129,VALIDATION,플랫폼 운영자·SRE가 실제 제품 경로에서 검증 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/**;cpf-starters/platform-operations/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java;cpf-admin/src/main/java/com/cpf/admin/opr/runtime/AdmRuntimeControlController.java;cpf-tools/db/vendor/oracle/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/postgresql/migration/flyway/cpfDB/V64__runtime_control_plane.sql;cpf-tools/db/vendor/mariadb/migration/flyway/V64__runtime_control_plane.sql,ADM RuntimeControl Controller → CpfRuntimeControlPlaneService → CpfRuntimeControlPlaneRepository/JDBC cpf_runtime_* → CpfRuntimeControlAgent → CpfRuntimeApplyGuard → CpfRuntimeChangeApplier → capability runtime → ACK/actual-state → Reconciler,normal create/deliver/apply/ACK; invalid schema/identity; duplicate/idempotent; timeout/response loss UNKNOWN; partial failure; rollback/reconcile; process-kill/reclaim. Capability-specific gaps are recorded per row.,Java 21 Substitute Runtime + semantic/source/SQL contract validation,state/identity/version/CAS/attempt/fencing/UNKNOWN/rollback invariants,python build_dev6c_stub_compile_v2.py; python compile_dev6c_tests_stub.py; Java21 contract/state/agent/process-kill/fence harness; static DB/OpenAPI gates,0; VALIDATION 계약과 실제 Runtime Control source/call path를 보정하고 Java21 compile/harness/SQL semantic assertion을 통과함.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_MAIN_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_TEST_COMPILE.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_STATE_TRANSITION_HARNESS.txt;cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json,완료,완료,Java25 formal build is not executed; this row does not imply capability-specific 54 adapters.,CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER
