finding_id,severity,category,scope,observation,required_action,status,verification,evidence
HARN-76022FDD9FB4,HIGH,CONFIG_PROFILE_SET,cpf-education/src/main/resources,필수 profile 누락: test,local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-6F8FFF3EB4CE,HIGH,CONFIG_PROFILE_SET,cpf-admin/src/main/resources,필수 profile 누락: test,local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-0C1B84016176,HIGH,CONFIG_PROFILE_SET,cpf-backoffice-web/src/main/resources,"필수 profile 누락: dev,stg,test,prod",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-3F7FE74DC9CE,HIGH,CONFIG_PROFILE_SET,cpf-batch/control-plane/src/main/resources,"필수 profile 누락: local,stg",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-DCAD325A91E3,HIGH,CONFIG_PROFILE_SET,cpf-batch/worker/src/main/resources,"필수 profile 누락: local,stg",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-6BB833921EF5,HIGH,CONFIG_PROFILE_SET,cpf-batch/scheduler/src/main/resources,"필수 profile 누락: local,stg",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-DA839DACE764,HIGH,CONFIG_PROFILE_SET,cpf-batch/center-cut/src/main/resources,"필수 profile 누락: local,stg",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-4D5899DC9211,HIGH,CONFIG_PROFILE_SET,cpf-batch/agent/src/main/resources,"필수 profile 누락: local,stg",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-2EDF146119AE,HIGH,CONFIG_PROFILE_SET,cpf-tools/runtime/cpf-local-batch-runtime/src/main/resources,"필수 profile 누락: dev,stg,test,prod",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-BD4F408AAA33,HIGH,CONFIG_PROFILE_SET,cpf-tools/runtime/cpf-local-runtime/src/main/resources,"필수 profile 누락: dev,stg,test,prod",local/dev/stg/test/prod 전체 Profile 파일을 기존 naming convention에 맞춰 생성하고 공통/base와 환경값을 분리한다. 모든 사람이 관리하는 설정값에 한글 설명 주석을 추가한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
HARN-10CD5AF82B99,HIGH,CONTROL_CHAR,README.md,NUL/BACKSPACE 제어문자 검출,비정상 제어문자를 제거하고 UTF-8 boundary/렌더/실행 회귀를 재검증한다.,OPEN,validators/validate_current_product_conformance.py,PRODUCT_CONFORMANCE_REPORT.json
