control_execution_id,control_id,required_for_final,execution_type,command_or_gate,status,evidence,source_identity,completion_rule
CTRL-EXEC-001,HARN-CTRL-001,true,STATIC_VERIFIER,validators/validate_development_harness.py,VERIFICATION_PENDING,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Current exact Product Source Identity and authority match. PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-002,HARN-CTRL-002,true,STATIC_VERIFIER,validators/validate_development_harness.py,VERIFICATION_PENDING,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Canonical Requirement/Trace/Work/Test/Control sets consistent. PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-003,HARN-CTRL-003,true,STATIC_VERIFIER,validators/validate_development_harness.py,VERIFICATION_PENDING,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,Work Item x DEVGPT/INDEPENDENT_REVIEWER/QA ledger coverage exact. PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-004,HARN-CTRL-004,true,POLICY,standards/CPF_IMPACT_ANALYSIS_AND_CHANGE_CLOSURE_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-005,HARN-CTRL-005,true,POLICY,standards/CPF_FULL_IMPLEMENTATION_COMPLETION_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-006,HARN-CTRL-006,true,POLICY,standards/CPF_TEST_EXECUTION_EVIDENCE_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-007,HARN-CTRL-007,true,POLICY,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-008,HARN-CTRL-008,true,POLICY,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-009,HARN-CTRL-009,true,POLICY,standards/DEVELOPMENT_EXECUTION_CORE_POLICY.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
CTRL-EXEC-010,HARN-CTRL-010,true,POLICY,standards/CPF_CONFIGURATION_PROFILE_AND_COMMENT_STANDARD.md,VERIFICATION_PENDING,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,PASS requires actual executable verifier/test/runtime/evidence. POLICY text alone never satisfies final product completion.
