path,action,baseline_sha256,final_sha256,source_identity,note
.gitignore,MODIFY,339d7c8bfc50b104693a325a3960c93849b27cd9cc70e307aa3d938852aca0f6,5833bd6f290e04db9a0bfb092fcc178f4bc2f92ca5bbc57cde1c6d02e073aeb0,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
README.md,MODIFY,4534367c8b50f83463e6049e4f10617610f4438b01b3d3edd09f63e9b0a23678,02185085d8d822fe223e9a94c615d995fae0f758bfbffcd683dd6ee21a70e716,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-admin/src/main/resources/application-adm-test.yml,ADD,,c72af43f543945bb349f07d66d65498af7a5406c99f94d2f414bbcf29c184ce2,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-backoffice-web/src/main/resources/application-dev.yml,ADD,,c1802cd61a90232387962a08650c96454d42274dd9d6b17562fb3c4c1eaca137,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-backoffice-web/src/main/resources/application-prod.yml,ADD,,32e26f9e90f88e378148c4d8cef1ecc124f1d638abb9efb0118003df016a5795,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-backoffice-web/src/main/resources/application-stg.yml,ADD,,f9fa82a74fc1b113270018c4e238942b3173a04748399c946bce04c940804bfe,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-backoffice-web/src/main/resources/application-test.yml,ADD,,709e25cd939d0768b52478fb542746d2ace139e320e5445e124f6b625b82f1af,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-batch/agent/src/main/resources/application-local.yml,ADD,,cea5adc08c16e7db33931e11ebd32f6baf546dc5eb84867fe13cedfd7ad6e2b3,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-batch/agent/src/main/resources/application-stg.yml,ADD,,65483ee4a56608c1f239906932481176d1ff16f6c725babdbe5487dae9836fe4,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-batch/center-cut/src/main/resources/application-local.yml,ADD,,909a050adedf21ff6354125015092ad297739ece11ce57bab80250f950e07f09,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-batch/center-cut/src/main/resources/application-stg.yml,ADD,,0d042d7d29247470e6b026df78d2d163c95b48204e1c79498270d5e73a9b98f1,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
cpf-batch/control-plane/src/main/resources/application-local.yml,ADD,,ec0bbe359d6d4f1de275999ca781bb403a375bf59a0ec8cd9e79d4e722f7cb45,d54e64e446d99e0601bf36205e492e3568bb56fd0d80bff5e54793249394f97f,CPF C Dev/QA Harness currentization and root-cause closure
