bridge_requirement_id,canonical_requirement_id,owner_scope,requirement,acceptance_basis,bridge_reason,development_status,verification_status,source_identity
CPF-CBR-0001,TX-STRATEGY,cpf-core contract + selected runtime owner,"업무 특성에 따라 `LOCAL`, `XA_JTA`, `OUTBOX`, `SAGA`, `TCC`를 명시적으로 선택·조합하는 정책, 안전한 Default, 상호배타/호환 규칙과 선택하지 않은 Runtime 0-footprint를 제공한다. 동일 거래에서 전략을 혼합해도 transactionId lineage와 오류/복구 모델이 유지되어야 한다.","strategy selection API/config, fail-fast conflict test, selected-only dependency/bean/config/SQL, 실제 Consumer와 혼합 전략 E2E Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0002,TX-LOCAL,cpf-core contract + data runtime owner,"단일 Resource의 local transaction을 가장 단순한 기본 개발경험으로 제공하고 commit/rollback, propagation, isolation, timeout, read-only, exception mapping, transactionId/log 연계를 표준화한다. XA Provider가 없어도 기본 업무가 정상 동작해야 한다.","실제 Domain Consumer, commit/rollback/timeout/exception Test, 3 DB Vendor Runtime 또는 타당한 DB-less 근거","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0003,TX-XA-JTA,cpf-core transaction contract + Optional JTA Provider owner,"JTA/XA를 Optional 상용 Capability로 제공한다. Tomcat에서는 standalone Transaction Manager Adapter, JTA-capable WAS에서는 managed JTA Adapter를 지원하며 DB+DB, DB+JMS의 XAResource enlistment와 2PC prepare/commit/rollback/heuristic/in-doubt 상태를 제공한다. 특정 TM 구현을 `cpf-core`에 강제하지 않는다.","Tomcat-compatible standalone TM Reference, managed-JTA adapter contract, Oracle/PostgreSQL/MariaDB XADataSource, JMS XAConnectionFactory/XAResource, DB+DB·DB+JMS Consumer/Test/Runtime Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0004,TX-XA-RECOVERY,JTA Provider owner + operations,"prepare 이후 process kill, TM/RM restart, commit 중 장애와 in-doubt transaction을 durable recovery log와 resource recovery scan으로 안전하게 해소하고 duplicate recovery·heuristic outcome을 구분한다. ADM에서 권한·사유·감사와 함께 조회/조치한다.","prepare-kill-restart, TM/RM restart, in-doubt scan, heuristic/manual review, multi-instance/fencing, ADM Timeline/Recovery Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0005,TX-INBOX,messaging reliability owner + business consumer,"At-least-once 전달 환경에서 Inbox/Dedup을 공식 계약으로 제공하고 eventId/messageId, consumer identity, idempotency, concurrency, duplicate/partial processing, process kill/restart와 retention을 관리하여 업무 중복 Side Effect를 방지한다.","Outbox→Broker→Inbox 실제 Consumer, duplicate/redelivery/process-kill/multi-instance Test, dedup state/cleanup/reconcile Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0006,TX-TCC,cpf-core contract + owning business domain,"Hold/Reservation형 업무를 위한 Optional `Try/Confirm/Cancel` 계약을 제공한다. Try/Confirm/Cancel idempotency, empty rollback, hanging, duplicate confirm/cancel, timeout, UNKNOWN, recovery를 지원하되 Framework가 업무 보상 의미를 임의 결정하지 않는다.","잔액/한도/재고 등 Reference Consumer, Try→Confirm/Cancel, duplicate/empty rollback/hanging/process-kill/reconcile Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0007,TX-E2E,cpf-core + all integration/runtime owners,"Domain Call, 외부 REST/SOAP/TCP/File, DB, JMS/Kafka/RabbitMQ, Batch, Outbox/Inbox, Saga/TCC/XA, Retry/UNKNOWN/Reconcile, Logging/Audit/Trace/ADM을 하나의 transaction lineage로 연결한다. 기능별 단독 PASS로 E2E 완료를 대신하지 않는다.","동일 Reference Transaction의 Source→Consumer→Call Path→failure/recovery→Log/ADM Timeline, local/remote/multi-instance/process-kill Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0008,TX-DX,cpf-core + Starter owners,"업무 개발자가 transactionId/log/audit/metrics/retry/idempotency/recovery를 매번 수동 조립하지 않도록 typed API, 안전 Default, 최소 Config, Fail-Fast와 세밀한 Override를 제공하고 고급 사용자는 underlying transaction/provider native 기능에 접근할 수 있게 한다.","실제 업무 Consumer 코드 비교, boilerplate 감소, configuration misuse negative test, native escape/conformance Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0009,TX-EDU,cpf-education + generator,"Local, XA DB+DB, XA DB+JMS, XA crash recovery, Outbox/Inbox, Saga compensation, TCC, 외부 timeout/UNKNOWN/Reconcile, Domain A→B→C, Batch 연계를 실행 가능한 Reference로 제공하고 동일 transactionId와 ADM Timeline을 검증한다.","executable EDU/Reference, Source+Test+Harness, 3 Vendor/actual broker where applicable, failure/process-kill/restart Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0010,STARTER-DX,all Starter owners + generator/build,"Canonical Starter Catalog의 모든 활성 Starter가 OSS 직접 사용보다 편하고 안전한 개발경험을 제공해야 한다. 편의 API, AutoConfiguration, 최소 설정, safe default, Fail-Fast, CPF Error/Security/Audit/Masking/Observability/Transaction 연계, Provider 확장성, Native API Escape Hatch, 미사용 0-footprint와 실제 EDU Consumer를 갖춘다. Wrapper-only/consumer-less Starter는 완료가 아니다.","활성 Starter 전수 DX matrix, OSS-direct 대비 사용 코드/Config 비교, actual Consumer, boot context, failure/timeout/retry/unknown, selected-only footprint, EDU Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
