work_item_id,source_requirement_ids,priority,work_package,development_status,verification_status,runtime_status,overall_status,development_completion_reason,verification_incomplete_reason,source_identity,devgpt_status,independent_reviewer_status,qa_status,current_action,closure_rule
WP-R00.01,REOPEN-16,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,과거 100%/PASS/CLOSED 자동 승계 금지,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.02,REOPEN-17,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,기존 Requirement가 실물 검증 없이 일부 Closure됨,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.03,GOV-CURRENT-REQUEST,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,CPF_CURRENT_WORK_REQUEST가 이전 20260826 Source Identity/127행 기준으로 stale; 이번 20260827 Local ZIP/Runtime/VSCode 결과로 재현행화,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.04,GOV-CLOSURE-INVENTORY,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,기존 127행 Inventory가 Runtime PASS=129/FAIL=18/SKIP_ENV=1/NOT_EXECUTED=7 및 최신 VSCode 50 diagnostics를 반영하지 못함,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.05,GOV-DOC-SYNC,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,Source 수정과 문서 현행화가 분리되면 다음 세션에서 stale 정본 재발,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.06,GOV-GARBAGE-ZERO,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,work/current에 중복 과거 지침/리뷰/재검수 문서가 병존,해당 없음,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,해당 없음,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R00.07,GOV-TEST-STRENGTH;REOPEN-14;REOPEN-15,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,완료,미검증,NOT_EXECUTED,미검증,Smoke/부분 Gate PASS가 Closure 근거로 오용된 이력,Fresh 준비→실제 거래→오류/경계/부분실패/UNKNOWN/동시성/kill/recovery/reconcile→cleanup→rerun→regression 전 범위,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Fresh 준비→실제 거래→오류/경계/부분실패/UNKNOWN/동시성/kill/recovery/reconcile→cleanup→rerun→regression 전 범위,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.01,RT-91;RT-92;RT-94;RT-95;RT-96;RT-106;RT-109;RT-140;IDE-CPFATTR,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,20260827 Full Runtime Root Build가 compile/JDT blocker로 cascade 실패; 최신 ZIP에서 Comparator/generic/API/import/constructor drift를 Root Cause 단위로 재개방,Java25 Gradle clean build/test/publication + member/external/scratch generated build + One-WAS start/transaction/stop,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Java25 Gradle clean build/test/publication + member/external/scratch generated build + One-WAS start/transaction/stop,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.02,IDE-BUILD-PATH,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,cpf-starters/base build path에서 CpfLogFilePolicy$Rolling class file 누락 진단,Java25 clean build + fresh IDE import 후 실제 starter consumer bootstrap,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Java25 clean build + fresh IDE import 후 실제 starter consumer bootstrap,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
WP-R01.03,IDE-BATCH-RETENTION,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,완료,미검증,NOT_EXECUTED,미검증,Batch control-plane retention API/SPI unresolved 다수,Batch control-plane 기동 후 retention query/execute/auth/audit/failure/retry 실제 경로,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,완료,미검증,미검증,Batch control-plane 기동 후 retention query/execute/auth/audit/failure/retry 실제 경로,현재 Source Identity에서 Source+Consumer+고강도 정적+고강도 Runtime(해당 시)+Evidence+Garbage=0가 모두 확인된 경우에만 완료
