exact_id,record_type,developer_development_status,developer_verification_status,developer_result_sha,qa_a_current_status,qa_a_current_sha,qa_a_note
AB-R6-001,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-002,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,FAIL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-003,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-004,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-005,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-006,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-007,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-008,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-009,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-010,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,PARTIAL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-011,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-012,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,PARTIAL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-013,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-014,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,PARTIAL,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-015,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-016,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-017,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-018,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-019,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-020,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-021,R6I_DEVELOPER_LEDGER,완료,완료,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
AB-R6-022,R6I_DEVELOPER_LEDGER,완료,미검증,PENDING_USER_APPLY_COMMIT,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,3ed676061246c9db3e44f29e254c0393ecca3929,Developer status preserved as historical input; QA A does not auto-inherit PASS.
