edu_id,title,classification,rationale,catalog_required_role,handler_required_role,role_parity,read_only,consumer_type,entry_point,public_contract,current_verification_status,current_sha
EDU-ADM-01,기존 ADM 기능 재사용 판단,MERGE_EDU,ADM 재사용 판단은 제품 기능 복제보다 Public Extension 선택 가이드/패턴으로 통합하는 편이 적합.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,true,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-02,고객 업무 조회 연동,EXTENSION_SAMPLE,실제 Public Query/Integration 계약을 소비하는 예제로 재작성할 경우 유지 가능. 현재 Generic JDBC는 부적합.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,true,JDBC_QUERY,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-03,안전한 운영 조치,EXTENSION_SAMPLE,Public Command/Extension 계약 사용법으로 재작성할 경우 유지. 현재 Generic JDBC product mimic은 부적합.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-04,승인 필요한 위험 조치,EXTENSION_SAMPLE,승인 엔진 자체가 아니라 공식 Approval Public Integration 사용 예제로 한정. 현재 local approval simulation은 부적합.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-05,비동기 작업·응답 유실,EXTENSION_SAMPLE,도입 개발자가 구현할 비동기 Integration Pattern으로 재정의 가능.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-06,부분 성공·대상별 복구,EXTENSION_SAMPLE,부분실패/복구 Public Extension 시나리오로 재정의 가능.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-07,고객 전용 화면 추가의 마지막 선택,EXTENSION_SAMPLE,공식 Custom Screen/Extension surface 사용법으로 유지 가능.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-08,권한·데이터 범위·Masking·사유 입력 연동,PRODUCT_ADM,검색·권한·마스킹/IDOR는 전달되는 ADM Product의 보안 기능으로 검증해야 함.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-09,Expected Version 충돌 화면·재조회·재적용,PRODUCT_ADM,버전 충돌·재조회·재적용 UX는 ADM Product 동작으로 검증해야 함.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_QUERY,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
EDU-ADM-10,대상 일괄 조치·부분 성공·결과 파일,PRODUCT_ADM,운영 Bulk Action/부분 실패는 ADM Product 기능으로 귀속.,CPF_ADM_OPERATOR,CPF_REFERENCE_PLATFORM_OPERATOR,FAIL,false,JDBC_COMMAND,CPF_EDU_BUSINESS_RECORD,cpf-reference REF DB backoffice/operations contract,미검증,3ed676061246c9db3e44f29e254c0393ecca3929
