record_type,finding_id,severity,area,requirement_ids,prior_status,qa_a_current_status,issue,target_files,qa_a_current_evidence,required_action,acceptance,failure_criteria,source_qa,prior_finding_ids,baseline_sha,qa_a_current_sha,qa_round
REGRESSION_R6I,AB-R6-001,P0,Management/Quality,"FDEV-001,FDEV-020,FDEV-021,FDEV-022,FDEV-024",OPEN,FAIL,Current result SHA와 R6S12 Evidence provenance 미결속,cpf-docs/work/v9i/dev/r6s12/\*\*,"77/77 result_sha=PENDING_USER_APPLY_COMMIT; 55 ledger rows reference 14 distinct evidence/*.log while pushed r6i-dev/evidence contains only environment.txt. Selected source artifact hashes 7/7 matched package SHA sums, so source integrity is partially preserved but execution provenance is not.","current exact SHA에서 전 검증 재실행, manifest/evidence/result SHA 재결속, clean tree 증거 생성.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-001,003,020,021,022,024",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-002,P0,Runtime/Release,"FDEV-004,FDEV-020,FDEV-023,FDEV-024",OPEN,FAIL,Current master Push에 Release Workflow 실행 없음,.github/workflows/cpf-r6-release-gates.yml,Current master has no current-SHA release execution evidence. Required workflow also has CPF_FRONTEND_URL export vs CPF_ADM_FRONTEND_URL preflight name mismatch.,master result SHA가 required checks와 자동 결속되도록 release policy를 정식화.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-002,023,024",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-003,P0,Runtime/Release,"FDEV-004,FDEV-005,FDEV-006,FDEV-017,FDEV-020,FDEV-023,FDEV-024,FDEV-025",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Release Runner가 clean exact-SHA qualification을 증명하지 못함,cpf-tools/verification/final-dev/run-r6-release-gates.ps1,"run-r6-release-gates.ps1 now enforces ExpectedHead, clean start/end, release DB3/browser/multiprocess and aggregates failures with stdout/stderr hashes. Current-SHA end-to-end run is still unavailable.","release mode에서 clean tree, Java25/Gradle9.1, ADM/BZA verify, browser, DB3, distributed, QA38/39/REV004를 non-optional로 강제.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-002,019,022,023,024",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-004,P0,ADM/Frontend/Contract,"FDEV-014,FDEV-017,FDEV-023",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Playwright Release Gate 실제 Product wiring 미완성,cpf-admin/frontend/playwright.config.ts;.github/workflows/cpf-r6-release-gates.yml,Workflow installs Chromium/Firefox/WebKit and Release runner wires ADM/BZA browser inputs fail-closed; no authenticated current-SHA browser run evidence.,실제 backend/frontend/auth session으로 release E2E 실행. synthetic DOM injection 금지.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-002,016,023",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-005,P0,ADM/Frontend/Contract,"FDEV-013,FDEV-014,FDEV-017",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Integration Closure UI operation permission이 실제 ADM Session과 연결되지 않음,cpf-admin/frontend/src/features/integration-closure/IntegrationClosurePage.vue;cpf-admin/frontend/e2e/integration-closure-r6.spec.ts,IntegrationClosurePage uses actual ADM session store hasButton(operationId); E2E checks real /adm/api/auth/me role states. Runtime browser still unverified.,AdmSessionStore/buttonIds를 reactive single source로 사용하고 실제 session role matrix로 browser test.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-008,016",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-006,P0,ADM/Frontend/Contract,"FDEV-013,FDEV-014,FDEV-016,FDEV-017",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,ADM generic RouteOperationWorkbench가 전용 화면의 permission/Strict JSON을 우회,cpf-admin/frontend/src/components/RouteOperationWorkbench.vue;cpf-admin/frontend/src/App.vue,"ADM generic RouteOperationWorkbench is GET-only, rejects mutation and requires session grant; dedicated mutation screens required. Runtime unverified.","critical mutation 제거 또는 route/action permission, schema validation, reason/approval/audit를 동일하게 강제.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-010,016,018",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-007,P0,Approval/Security,"FDEV-003,FDEV-013,FDEV-014,FDEV-017",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,Approval 위험 Operation UI에 action-level permission 미적용,cpf-admin/frontend/src/features/approvals/ApprovalsPage.vue,"ApprovalsPage binds risky controls to canAction(operationId)=admSession.hasButton(operationId) and generated client. Source fixed, but frontend verifier semantic permission mutation survives.",route read와 action permission을 분리하고 모든 위험 버튼을 server button/action grant에 결속.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,QA-R5I-016,77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-008,P1,ADM/Frontend/Contract,"FDEV-014,FDEV-017",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,ADM 63 Route 중 4개가 59개 sidebar canonical menu에서 누락,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/state/createAdmState.ts,routes.ts has 63 canonical entries and createAdmState projects menus from Object.values(admCapabilityRegistry). Source route/menu count fixed.,"route/menu registry 단일 정본화, 정상 로그인 후 sidebar discoverability browser test.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-016,021",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-009,P0,ADM/Frontend/Contract,"FDEV-014,FDEV-016,FDEV-017,FDEV-020",OPEN,SOURCE_RESOLVED_RUNTIME_UNVERIFIED,ADM generated route-operation contract가 12 Route에서 stale,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/generated/adm-route-operation-contract.ts,Current frontend contract direct execution reproduced 63 routes / 414 bindings / 329 unique operations with route-generated key parity.,current source OpenAPI로 regenerate 후 63/63 exact set equality 및 git diff --exit-code.,"실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-008,017,018",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
REGRESSION_R6I,AB-R6-010,P0,ADM/Frontend/Contract,"FDEV-014,FDEV-016,FDEV-017,FDEV-020",OPEN,PARTIAL,Backend validation과 committed ADM OpenAPI/Generated artifact drift,cpf-admin/frontend/openapi/cpf-openapi.json;cpf-admin/frontend/scripts/enrich-adm-openapi-contract.mjs,Committed OpenAPI has 332 operations and is marked CONTROLLER_SOURCE_PRE_RUNTIME; Release requires external runtime parity. Backend validation uses 422 but committed critical response profile omits 422.,"runtime/controller OpenAPI 정본 → generated client 전부 재생성, clean regeneration gate.","실제 Source·Consumer·호출 경로가 연결되고 Negative/Failure/Concurrency/Recovery 검증이 exact result SHA에서 PASS하며 generated diff 0, Evidence hash 일치","문자열/파일 존재만 확인, synthetic double만 PASS, 과거 SHA Evidence, 실제 Consumer·권한·Runtime 미연결, 또는 NOT_EXECUTED를 PASS로 기록",QA A+B 통합,"QA-R5I-008,017,018,028",77db10ad9aff44ee422795080fb2e96b364c9d65,3ed676061246c9db3e44f29e254c0393ecca3929,R6J-A
