criterion,status,qa_a_evidence
transactionId 34-char generation/format,SOURCE_VERIFIED,TransactionIdGenerator enforces canonical 34-char/7-sequence-digit format.
inbound transactionId trust boundary,PARTIAL,"TransactionContextFilter generateOrUse() accepts any format-valid incoming transactionId; TrustedProxyPolicy is for client IP, not transaction-id issuance trust."
local nested propagation,SOURCE_PRESENT_RUNTIME_UNVERIFIED,TransactionContext/CpfHeaderPropagator expose common transaction/trace/span/segment propagation; no current-SHA distributed runtime evidence.
remote REST/gateway attempt lineage,UNVERIFIED,Segment schema has external/attempt fields; live remote timeout/response-loss/retry lineage not executed.
async/message propagation,UNVERIFIED,No current-SHA broker runtime evidence proving producer/consumer/retry/DLQ lineage.
batch origin linkage,UNVERIFIED,Current one-shot timeline port has no batch source methods; live job/step/partition/worker correlation not evidenced.
segment parent/attempt hierarchy,SOURCE_VERIFIED_RUNTIME_UNVERIFIED,"CPF_TRANSACTION_SEGMENT has transaction_segment_id,parent_segment_id,attempt_no and indexed transaction lookup."
trace/span linkage in canonical DB timeline,FAIL,CPF_TRANSACTION_SEGMENT canonical schema lacks trace_id/span_id columns while §8.1 requires linkage.
request/idempotency/tenant linkage in DB timeline,FAIL,Canonical segment table/query surface lacks required requestId/idempotencyKey/tenant fields.
file writer bounded queue,SOURCE_VERIFIED_RUNTIME_UNVERIFIED,"CpfAsyncFileLogWriter uses ArrayBlockingQueue, bounded capacity, rejection/loss metrics."
file writer shutdown drain,SOURCE_VERIFIED_RUNTIME_UNVERIFIED,Async writer drains with bounded shutdown timeout and counts abandoned entries.
file path/permissions/process lock,SOURCE_VERIFIED_RUNTIME_UNVERIFIED,"CpfFileLogWriter normalizes root, blocks symlink/path escape, POSIX permissions, bounded OS file lock."
rotation/compression/retention,SOURCE_VERIFIED_RUNTIME_UNVERIFIED,File writer has GZIP retention/compression state and retention process lock; target runtime not executed.
disk-full/write failure/terminal loss,SOURCE_PRESENT_RUNTIME_UNVERIFIED,Write failure/terminalLoss counters exist; disk-full/process-kill live evidence absent.
DB write fallback/replay,SOURCE_PRESENT_RUNTIME_UNVERIFIED,TransactionSegmentPersistenceService and TransactionLogListener preserve failure to fallback journal; recovery runtime not executed.
transactionId indexed lookup,SOURCE_VERIFIED,"ix_cpf_transaction_segment_transaction(transaction_id, started_at, segment_id) plus attempt/external indexes exist."
ADM exact transactionId detail,PARTIAL,"Controller/service expose /transaction-groups/{transactionId}, segments/timeline/headers/externalLogs."
ADM message/DLQ correlation,FAIL,One-shot port/service has no message/DLQ source aggregation.
ADM batch/file/audit correlation,FAIL,One-shot port/service has no batch/file/audit source aggregation.
ADM partial/stale source warning,FAIL,Current detail response does not expose per-source missing/stale/partial state.
remote log download reason/permission,SOURCE_PRESENT_RUNTIME_UNVERIFIED,RemoteLogs UI requires write grant and reason before download/bundle; backend/approval/audit runtime not independently exercised.
PII/secret masking,SOURCE_PRESENT_RUNTIME_UNVERIFIED,Masking classes and masked segment columns exist; live raw-permission/download audit negative matrix not executed.
