entity_id,entity_type,canonical_requirement_id,priority,owner_module,owner_package,개발GPT_작업대상상태,개발GPT_작업대상사유,개발GPT_수행상태,개발GPT_자체검수상태,개발GPT_완료기준SHA,개발GPT_완료revision,qa_reopen_action,qa_reopen_revision,impact_invalidated,impact_reason,evidence_valid,dependency_blocked,external_blocked,owner_resolved,assigned_session_id,assignment_revision,changed_paths,evidence_ref,open_issue,next_action,state_revision,updated_at,updated_by
CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION,WORK_PACKAGE,ARCH-MISSION,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,WORK_PACKAGE,ARCH-MISSION,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,ARCH-MSA,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,ARCH-MSA,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,ARCH-MSA,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,WORK_PACKAGE,ARCH-MSA,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,ARCH-BOUNDARY,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,ARCH-BOUNDARY,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,ARCH-BOUNDARY,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY,WORK_PACKAGE,ARCH-BOUNDARY,P1,cpf-core,repository architecture,작업 대상,개발GPT 수행 또는 자체검수가 완료되지 않아 현재 개발 요청에 포함,미완료,미완료,,0,,0,false,,false,false,false,true,,0,,,,Dependency·영향도 분석 후 Connected Functional Slice로 구현,1,2026-08-05T12:41:00+09:00,management-v8-bootstrap
