from_entity_id,to_entity_id,dependency_type,mandatory,reason
CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION,CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-BOUNDARY-05-DATA_MIGRATION,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-BOUNDARY-06-GENERATION_COMPATIBILITY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-LAYER-02-IMPLEMENTATION_CONSUMER,CPF-WP-ARCH-LAYER-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-ARCH-LAYER-01-CONTRACT_OWNERSHIP,CPF-WP-ARCH-LAYER-04-GENERATION_COMPATIBILITY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-API-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-API-02-IMPLEMENTATION_CONSUMER,CPF-WP-CORE-API-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-SPI-02-IMPLEMENTATION_CONSUMER,CPF-WP-CORE-SPI-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-SPI-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-SPI-04-GENERATION_COMPATIBILITY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-CONFIG-02-IMPLEMENTATION_CONSUMER,CPF-WP-CORE-CONFIG-03-VERIFICATION_EVIDENCE,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
CPF-WP-CORE-CONFIG-01-CONTRACT_OWNERSHIP,CPF-WP-CORE-CONFIG-04-FAILURE_RECOVERY,WORK_ITEM_DEPENDENCY,true,V7.1 Work Package dependency
