document,type,audience,focus,baseline_pages,final_pages,baseline_docx_bytes,final_docx_bytes,baseline_pdf_bytes,final_pdf_bytes,body_chars,paragraphs,tables,images,sections,visualization,score
00_프레임워크안내,핵심 매뉴얼,처음 보는 개발자·설계자·운영자,CPF 전체 구조·사용 장점·실행 경계·역할별 시작점을 빠르게 이해,32,25,485021,543876,1468765,1011624,21832,313,36,5,1,전체 구조도·가치/오케스트레이션/Capability/Starter/Topology/운영 흐름,200
01_개발자매뉴얼,핵심 매뉴얼,Online 업무 개발자,Generator→Starter→공통 기능→거래→Transaction→MSA→Test→운영 인계의 전체 개발 경로,79,57,886581,1059075,2090646,1708154,14947,466,167,12,1,코드 예제·선택표·거래 흐름·Transaction/UNKNOWN·16개 EDU Lab·Recipe,200
02_배치개발매뉴얼,핵심 매뉴얼,Batch 개발자·운영개발자,Job/Step·Chunk·Center-Cut·Checkpoint·Restart·Lease/Fencing·Reprocess/Reconcile,46,26,619760,795378,1289597,848893,6377,239,82,9,1,Batch 구조도·상태/판단표·Center-Cut·실행형 EDU/Recipe,200
03_ADM개발자매뉴얼,핵심 매뉴얼,ADM 개발자,Owner API→Backend→OpenAPI→Generated Client→화면·권한·오류 연결,58,35,294956,335031,1068957,937008,13101,429,86,5,1,화면/Backend Reference·연동 절차·Fault/Browser Test,200
04_ADM운영자매뉴얼,핵심 매뉴얼,운영자·플랫폼 관리자,검색→판단→승인→조치→Reconcile→감사 종결의 운영 Playbook,195,164,286142,405223,4621598,4569169,113158,1418,271,6,1,Route별 판단표·위험 조치·장애/복구·감사 확인 흐름,200
05_플랫폼운영매뉴얼,핵심 매뉴얼,플랫폼 운영·배포 담당자,설치·배포·관측·Drain·DB/Broker/Runtime 복구·Backup/Restore·정상화,57,30,551026,551017,1454607,1074807,7736,290,80,5,1,운영 절차도·체크리스트·상태/복구 표,200
06_빠른시작_초기설정가이드,실무 가이드,CPF를 처음 사용하는 개발자,환경 확인→Generator→Starter→첫 Online 거래→Test까지 30분 진입 경로,신규,2,,73427,,119226,1430,45,7,1,1,빠른 찾기·Starter 선택표·첫 거래 코드·완료 기준,200
07_Starter_공통기능활용가이드,실무 가이드,업무 개발자,Starter/Provider 선택과 Code·Parameter·Message·Calendar·Context·Cache·Lock·Persistence 활용,신규,3,,96809,,179877,3367,57,11,1,1,Public API 지도·공통 기능 코드·Cache/Lock 선택표·실패 첫 확인표,200
08_온라인거래_트랜잭션_MSA호출예제가이드,실무 가이드,Online 업무 개발자,조회/변경 거래·공통응답·Local TX·MSA/외부 호출·UNKNOWN_RESULT·비동기 Context 실전 적용,신규,4,,122151,,197896,5213,82,11,1,1,거래 코드·4상태 분기·Idempotency/Retry·운영 추적 체크리스트,200
09_Generator_업무도메인생성가이드,실무 가이드,프로젝트 구성·업무 개발자,정의→검증→생성→diff→재생성 Lifecycle과 Generated 구조 적용,신규,2,,75846,,96442,1141,51,5,1,1,Generator 흐름도·명령·생성물 판정표,200
10_설정_프로파일_환경가이드,실무 가이드,개발·배포·운영 담당자,Profile·환경 Override·Secret·Runtime 변경·Drift를 안전하게 적용,신규,2,,77735,,86795,593,28,7,1,1,설정 우선순위·환경/Secret 체크리스트,200
