requirement,development_status,verification_status,개발GPT_상태,개발GPT_내용,개발GPT_Evidence
DOC-01 공식 7종 문서 체계,완료,완료,완료,README 포함 7종으로 통합,DOCUMENT_QUALITY_GATE.md
DOC-02 문서별 immutable 지침 보존,완료,완료,완료,8종 원문 SHA 고정,../documentation-standards/IMMUTABLE_SHA256SUMS.txt
DOC-03 README 재설계,완료,완료,완료,이미지 중심 브로셔/Architecture/Navigation,README.md
DOC-04 개발자 가이드,완료,완료,완료,API/Method/TX/Domain/Recovery/Test 강화,02_프레임워크_개발자_가이드.pdf
DOC-05 배치 개발자 가이드,완료,완료,완료,실행/분산/복구/운영 인계 강화,03_배치_개발자_가이드.pdf
DOC-06 운영자 매뉴얼,완료,완료,완료,ADM/BZA/Runtime/Gateway/DB/Runbook 통합,04_운영자_매뉴얼.pdf
DOC-07 배치 운영 가이드,완료,완료,완료,Execution/Restart/Reprocess/Reconcile/Worker 운영,05_배치_운영_가이드.pdf
DOC-08 Gateway 가이드,완료,완료,완료,Route/Security/Target/Resilience/Runtime 적용,06_Gateway_개발_사용_가이드.pdf
DOC-09 Specification,완료,완료,완료,전체 Architecture Context + 정확한 API/State/Config/DB/Batch/Gateway 계약,07_Specification_기술_명세.pdf
DOC-10 과거 문서 정리 Manifest,완료,완료,완료,후보 186개 중 exact path 114개 자동 삭제 + 보호 경로 72개 제외 + active reference 15개 보존 + 빈폴더 정리 명령,DELETE_MANIFEST.csv | PRESERVED_REFERENCED_LEGACY.csv | DOCUMENTATION_CLEANUP_POWERSHELL.txt
