exact_path,type,reason,replacement,content_migrated,link_checked,runtime_usage,source_usage,deletion_risk,decision
cpf-docs/architecture/ADM_BZA_FRONTEND_DEPLOYMENT_GUIDE.md,file,공식 7종에 통합된 과거/중복 사용자 문서,공식 7종 Owner 문서 또는 최종 문서 자산,YES,YES,NO,NO,LOW,DELETE
cpf-docs/architecture/APPROVAL_ARCHITECTURE_GUIDE.md,file,공식 7종에 통합된 과거/중복 사용자 문서,공식 7종 Owner 문서 또는 최종 문서 자산,YES,YES,NO,NO,LOW,DELETE
cpf-docs/architecture/BATCH_CENTERCUT_AGENT_GUIDE.md,file,공식 7종에 통합된 과거/중복 사용자 문서,공식 7종 Owner 문서 또는 최종 문서 자산,YES,YES,NO,NO,LOW,DELETE
cpf-docs/architecture/EXTERNAL_FIXED_LENGTH_FILE_GUIDE.md,file,공식 7종에 통합된 과거/중복 사용자 문서,공식 7종 Owner 문서 또는 최종 문서 자산,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/architecture/cpf-capability-map.svg,file,구형 Architecture 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/readme/cpf-architecture-overview.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/architecture/cpf-domain-extension.svg,file,구형 Architecture 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/readme/cpf-architecture-overview.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/architecture/cpf-module-ownership.svg,file,구형 Architecture 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/readme/cpf-architecture-overview.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/architecture/cpf-product-overview.svg,file,구형 Architecture 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/readme/cpf-architecture-overview.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/architecture/cpf-runtime-topology.svg,file,구형 Architecture 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/readme/cpf-architecture-overview.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/manual/admin-flow.png,file,구형 문서 시각 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/manuals/*.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/manual/admin-flow.svg,file,구형 문서 시각 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/manuals/*.png,YES,YES,NO,NO,LOW,DELETE
cpf-docs/assets/manual/batch-flow.png,file,구형 문서 시각 자산 - 최종 공식 문서에서 미사용,cpf-docs/assets/manuals/*.png,YES,YES,NO,NO,LOW,DELETE
