exact_path,reason,active_references,decision
cpf-docs/api/API_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/architecture/ARCHITECTURE_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_AI_DEVELOPMENT_QA_CONTINUITY_STANDARD.md | cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md | cpf-docs/governance/CPF_DOCUMENT_CONTROL_POLICY.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/architecture/CENTRAL_DB_VENDOR_PACK_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/deliverables/evidence/documentation_rebuild_final/DELETE_MANIFEST.csv,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md | cpf-docs/governance/CPF_DOCUMENT_CONTROL_POLICY.md | cpf-docs/work/CHANGE_MANIFEST.csv | cpf-docs/work/CPF_SOURCE_FINDINGS.csv | cpf-docs/work/HANDOVER.md | cpf-docs/work/PACKAGE_MANIFEST.json | cpf-docs/work/REVIEW_INDEX.md | cpf-docs/work/SHA256SUMS.txt | cpf-docs/work/current/CODEX_FINAL_RUNTIME_VALIDATION_INSTRUCTION.md | cpf-docs/work/current/CPF_DEVELOPER_GPT_NEXT_WORK_INSTRUCTION.md | cpf-tools/verification/apply_delete_manifest.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/deliverables/evidence/documentation_rebuild_final/DELETE_MANIFEST.txt,현재 Governance/검증 Script/Work에서 참조 중,cpf-tools/verification/tools/verify-cpf-guide-system.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/deliverables/evidence/documentation_rebuild_final/PACKAGE_MANIFEST.json,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/work/SHA256SUMS.txt | cpf-docs/work/current/CPF_SPLIT_MASTER_DATASET_GUIDE.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/deliverables/evidence/documentation_rebuild_final/SHA256SUMS.txt,현재 Governance/검증 Script/Work에서 참조 중,cpf-tools/build/tools/build-cpf-offline-artifact-bundle.ps1 | cpf-tools/db/verification/check-offline-db-resource-pack.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/deliverables/evidence/documentation_rebuild_final/TEST_AND_EVIDENCE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md | cpf-docs/governance/CPF_REQUIREMENT_CONTINUITY_LEDGER.md | cpf-docs/work/CHANGE_MANIFEST.csv | cpf-docs/work/HANDOVER.md | cpf-docs/work/PACKAGE_MANIFEST.json | cpf-docs/work/REQUIREMENT_STATUS.csv | cpf-docs/work/REVIEW_INDEX.md | cpf-docs/work/SHA256SUMS.txt | cpf-docs/work/current/CPF_FINAL_QA_20_50_MATRIX.csv | cpf-tools/verification/tools/check-report-matrix-evidence-consistency.ps1 | cpf-tools/verification/tools/invoke-cpf-codex-preflight.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/development/DEVELOPER_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md | cpf-tools/verification/tools/verify-cpf-guide-system.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/development/EDU_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/development/GENERATOR_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md | cpf-docs/governance/CPF_DOCUMENT_CANONICAL_INDEX.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/guides/CPF_ADMIN_DATA_SAFETY_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-tools/verification/tools/check-admin-data-safety.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/operations/DB_OPERATIONS_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-docs/governance/CPF_CANONICAL_PATH_AND_ROLE_MAP.md,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/operations/OPERATOR_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-tools/verification/tools/verify-cpf-guide-system.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
cpf-docs/releases/MIGRATION_GUIDE.md,현재 Governance/검증 Script/Work에서 참조 중,cpf-tools/db/verification/check-platform-database-migration-tool.ps1,PRESERVE_UNTIL_REFERENCE_CURRENTIZED
