control_id,category,rule,acceptance,enforcement,enforcement_type,mandatory_for_final,execution_control_id
HARN-CTRL-001,SOURCE_IDENTITY,Current Source Identity 없이 개발/검수 완료 판정 금지,"ZIP SHA-256 또는 Git/Working Tree canonical identity, file count, exact-source Evidence가 연결되어야 한다.",validators/validate_development_harness.py,STATIC_VERIFIER,true,CTRL-EXEC-001
HARN-CTRL-002,CANONICAL_REGISTRY,Requirement/Steering/QA/Finding/Runtime 상태를 단일 Current Registry에서 추적,"중복 ID 0, unmapped 0, 통합 Work Item 누락 0",validators/validate_development_harness.py,STATIC_VERIFIER,true,CTRL-EXEC-002
HARN-CTRL-003,ROLE_SEPARATION,DevGPT / Independent Reviewer(Codex=Claude) / QA 권한·상태 분리,"Work Item × Role 전행 존재, 역할별 Evidence/완료사유 분리",validators/validate_development_harness.py,STATIC_VERIFIER,true,CTRL-EXEC-003
HARN-CTRL-004,IMPACT_ANALYSIS,모든 변경 전·후 upstream/downstream 영향도 검토 필수,Source/Consumer/DB/Config/API/Frontend/Generator/Runtime/Side Effect/Regression 근거 존재,standards/CPF_IMPACT_ANALYSIS_AND_CHANGE_CLOSURE_STANDARD.md,POLICY,true,CTRL-EXEC-004
HARN-CTRL-005,NO_PARTIAL_IMPLEMENTATION,Interface/DTO/Mock/Sample/문서/부분 Test만으로 완료 금지,실 Consumer/호출경로/실패·복구/운영/Runtime/Evidence까지 Requirement 전체 Closure,standards/CPF_FULL_IMPLEMENTATION_COMPLETION_STANDARD.md,POLICY,true,CTRL-EXEC-005
HARN-CTRL-006,EVIDENCE_REQUIRED,PASS/CLOSED/완료에는 actual Evidence 필수,command/environment/start-end/exit/source identity/observed result/evidence hash/완료사유 누락 0,standards/CPF_TEST_EXECUTION_EVIDENCE_STANDARD.md,POLICY,true,CTRL-EXEC-006
HARN-CTRL-007,MAX_INTENSITY_TEST,개발·독립검수·QA·사용자 Runtime 요청 모두 대상 기능 최고 강도,Fresh→E2E→오류/경계→UNKNOWN→복구→동시성/다중인스턴스→Cleanup→Fresh Replay,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-007
HARN-CTRL-008,RUNTIME_FRESH_REPLAY,필수 Runtime 미실행/UNKNOWN/SKIP/NOT_EXECUTED 상태에서 전체 완료 금지,mandatory 0 fail/skip/not-executed/unresolved unknown + Fresh Replay same result,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-008
HARN-CTRL-009,HARDCODING,Requirement Count/Profile/Vendor/Header/Owner/Gate 숫자·문자열 맞춤형 하드코딩 금지,"Registry/Source discovery 기반, validator expected 값 자기충족 금지",standards/DEVELOPMENT_EXECUTION_CORE_POLICY.md,POLICY,true,CTRL-EXEC-009
HARN-CTRL-010,CONFIG_PROFILE_SET,운영 Runtime은 local/dev/stg/test/prod 전체 Profile 계약,Profile 누락 0 또는 Current Work Item OPEN; 공통/base와 환경차이 분리,standards/CPF_CONFIGURATION_PROFILE_AND_COMMENT_STANDARD.md,POLICY,true,CTRL-EXEC-010
HARN-CTRL-011,YAML_KOREAN_COMMENTS,사람이 관리하는 YAML 설정은 용도·단위·범위·미지정·보안 의미 한글 주석,설정 주석 coverage 및 Secret source 저장 0,standards/CPF_CONFIGURATION_PROFILE_AND_COMMENT_STANDARD.md,POLICY,true,CTRL-EXEC-011
HARN-CTRL-012,JAVA_JAVADOC_KOREAN_COMMENTS,Public API/SPI/Annotation/Config 및 중요 Runtime은 JavaDoc+핵심 한글 주석,Javadoc/DocLint + public contract 설명 + 복구/동시성/보안 의도 주석,standards/CPF_SOURCE_STRUCTURE_NAMING_AND_DOCUMENTATION_STANDARD.md,POLICY,true,CTRL-EXEC-012
HARN-CTRL-013,UTF8_NFC,"모든 텍스트 UTF-8, 파일명 NFC",invalid UTF-8/mojibake/NUL/BACKSPACE/NFC collision 0,validators/validate_current_product_conformance.py,STATIC_VERIFIER,true,CTRL-EXEC-013
HARN-CTRL-014,WINDOWS_LINUX_PARITY,Standalone 실행/구동/중지/상태/검증 진입점 Windows/Linux 동등,PowerShell + shell 기능/옵션/ExitCode parity 및 실제 실행 Evidence,standards/CPF_STANDALONE_WINDOWS_LINUX_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-014
HARN-CTRL-015,VSCODE_ZERO_DIAGNOSTIC,Codex/Claude Source 수정 시 모든 영향 Domain Fresh VS Code Error=0 Warning=0,"source_modified=true이면 fresh_import=true, Problems JSON, scope, error=0, warning=0 필수",validators/validate_development_harness.py,STATIC_VERIFIER,true,CTRL-EXEC-015
HARN-CTRL-016,ARCHITECTURE_OWNERSHIP,cpf-core/common/admin/backoffice/batch/gateway/domain Owner와 package/folder 규격 보존,역방향/순환/Internal 침범/Owner 없는 기능 0,standards/CPF_ARCHITECTURE_PATH_AND_ROLE_STANDARD.md,POLICY,true,CTRL-EXEC-016
HARN-CTRL-017,SYSTEM6_HEADER,Canonical System6 Header/instanceId 규격 유지,Header 6개 이름/생성·전달·serialize/validation 계약 및 instanceId 분리,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,POLICY,true,CTRL-EXEC-017
HARN-CTRL-018,INTEGRATION_BOUNDARY,Same JVM/Remote/Channel/Gateway/Domain 호출 경계와 4-state/UNKNOWN 계약 유지,실 Consumer/target operation/context/retry-safe/reconcile E2E,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,POLICY,true,CTRL-EXEC-018
HARN-CTRL-019,DB3_LIFECYCLE,Oracle/PostgreSQL/MariaDB Canonical DB lifecycle 동시 관리,Fresh/Initializer/Migration/Seed/Runtime/Upgrade/Rollback-Recovery/Reapply 3 Vendor Evidence,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-019
HARN-CTRL-020,GENERATOR_PARITY,Framework 계약 변경 시 Generator/Template/Lock/Generated/Sample/EDU parity,fresh generate/add/sync/remove/recreate/build/runtime deterministic/idempotent diff,product/CPF_PRODUCT_ARCHITECTURE_AND_REQUIREMENTS.md,POLICY,true,CTRL-EXEC-020
HARN-CTRL-021,OPENAPI_FRONTEND_CONSUMER,Backend OpenAPI→Generated Client→실 Frontend Consumer end-to-end,"API/schema/client/consumer sync, Browser 401/403/404/409/429/500/503, a11y/responsive/error recovery",standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,POLICY,true,CTRL-EXEC-021
HARN-CTRL-022,BATCH_FAULT_RECOVERY,Batch 5-role/2-worker/process-kill/takeover/fencing/UNKNOWN/reconcile 최고강도,kill/restart/takeover/fencing/idempotency/reprocess/history/DB Evidence,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-022
HARN-CTRL-023,SECURITY_AUDIT_MASKING,AuthN/AuthZ/permission/data scope/approval/reason/audit/masking/secret 통제,negative permission + dangerous operation approval/audit + sensitive raw leakage 0,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,POLICY,true,CTRL-EXEC-023
HARN-CTRL-024,SUPPLY_CHAIN,Dependency integrity/license/SBOM/provenance/release leakage 통제,Gradle strict verification + SBOM + package digest/provenance + public/private boundary,standards/CPF_SUPPLY_CHAIN_STANDARD.md,POLICY,true,CTRL-EXEC-024
HARN-CTRL-025,USER_QUALITY_ACCESSIBILITY,완성품 사용성·가독성·발견성·오류복구·접근성까지 Acceptance,"task completion, readable message/config/docs, keyboard/a11y/responsive, no dead-end error",standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,POLICY,true,CTRL-EXEC-025
HARN-CTRL-026,OBSERVABILITY_OPERATIONS,거래/인스턴스/실행/Trace/Log/Metric/History/Timeline 추적 가능,정상+오류+rollback/async/batch/external correlation 및 운영 조회 Evidence,standards/CPF_PRODUCT_COMPLETENESS_AND_USER_QUALITY_STANDARD.md,POLICY,true,CTRL-EXEC-026
HARN-CTRL-027,PERFORMANCE,성능 영향은 load/soak/resource leak/backpressure까지 검증,signed source identity + thresholds + regression + soak/resource evidence,standards/CPF_MAX_INTENSITY_TEST_AND_RUNTIME_STANDARD.md,POLICY,true,CTRL-EXEC-027
HARN-CTRL-028,CURRENT_ONLY_GARBAGE,"Harness/정본/Request/Evidence는 current-only, old/history/rerun/checkpoint 중복 금지",Migration unmapped 0 + exact Delete Manifest + stale canonical reference 0,standards/CPF_HARNESS_CURRENT_ONLY_AND_GARBAGE_STANDARD.md,POLICY,true,CTRL-EXEC-028
HARN-CTRL-029,DETAILED_REVIEW,리뷰 요청 시 모든 Work Item 1:1 상세 리뷰,"원요구→영향→변경→추가발견→Test/Runtime→역할별 Evidence/완료·미완료사유, omitted=0",standards/CPF_REVIEW_OUTPUT_STANDARD.md,POLICY,true,CTRL-EXEC-029
HARN-CTRL-030,QA_FINAL_GATE,QA만 전체 완료 확정,all mandatory CLOSED + final gate/runtime/fresh replay/evidence/source identity exact + 재발/신규 finding 0,standards/CPF_ROLE_REVIEW_QA_STANDARD.md,POLICY,true,CTRL-EXEC-030
HARN-CTRL-031,AGENT_CONTINUITY,"Codex/Claude 동일 역할, 현재 WP 우선 완결, 중간보고 비중단",LONG-TURN + current WP Source→Consumer→Runtime→Evidence 완료 후 다음 범위,standards/CPF_AGENT_CONTINUITY_STANDARD.md,POLICY,true,CTRL-EXEC-031
HARN-CTRL-032,FINAL_DELIVERY_HANDOVER,최종 ZIP/SHA/적용/가비지·빈폴더 삭제/저비용·최대강도 Runtime/Git/Handover를 빠짐없이 제공,Windows/Linux 각 명령 한 줄 + EMPTY_DIRS_DELETED token + ZIP extract/hash replay + detailed Handover; missing item => final completion forbidden,standards/CPF_FINAL_DELIVERY_AND_HANDOVER_STANDARD.md,POLICY,true,CTRL-EXEC-032
