component,version,license,source_url,decision,owner
Spring Batch,6.0.4,Apache-2.0,https://github.com/spring-projects/spring-batch,ADOPT_NOW,cpf-batch
Spring Cloud Gateway Server Web MVC,2025.1.2,Apache-2.0,https://github.com/spring-cloud/spring-cloud-gateway,ADOPT_NOW,cpf-gateway
Spring Session JDBC,4.0.x,Apache-2.0,https://github.com/spring-projects/spring-session,ADOPT_NOW,ADM/BZA
Apache Kafka Client,Spring Boot 4.1 BOM,Apache-2.0,https://github.com/apache/kafka,ADOPT_NOW,cpf-starter-messaging-kafka
Resilience4j,Spring Cloud BOM,Apache-2.0,https://github.com/resilience4j/resilience4j,ADOPT_NOW,cpf-starter-resilience
Micrometer Observation,Spring Boot 4.1 BOM,Apache-2.0,https://github.com/micrometer-metrics/micrometer,ADOPT_NOW,cpf-starter-platform-operations-observability
OpenTelemetry,Spring Boot 4.1 BOM,Apache-2.0,https://github.com/open-telemetry/opentelemetry-java,ADOPT_NOW,cpf-starter-platform-operations-observability
Caffeine,Spring Boot 4.1 BOM,Apache-2.0,https://github.com/ben-manes/caffeine,ADOPT_NOW,cpf-starter-cache
OpenFeature Java SDK,1.17.0,Apache-2.0,https://github.com/open-feature/java-sdk,ADOPT_NOW,cpf-starter-featureflag
db-scheduler,16.7.0,Apache-2.0,https://github.com/kagkarlsson/db-scheduler,ADOPT_NOW,cpf-batch-scheduler
Apache Commons Compress,1.28.0,Apache-2.0,https://github.com/apache/commons-compress,ADOPT_NOW,cpf-core-archive
Element Plus,2.14.3,MIT,https://github.com/element-plus/element-plus,ADOPT_NOW,ADM/BZA
TanStack Table,8.21.3,MIT,https://github.com/TanStack/table,ADOPT_NOW,ADM/BZA
Vue Router,5.2.0,MIT,https://github.com/vuejs/router,ADOPT_NOW,ADM/BZA
Pinia,4.0.2,MIT,https://github.com/vuejs/pinia,ADOPT_NOW,ADM/BZA
TanStack Vue Query,5.90.20,MIT,https://github.com/TanStack/query,ADOPT_NOW,ADM/BZA
Zod,4.3.5,MIT,https://github.com/colinhacks/zod,ADOPT_NOW,ADM/BZA
Orval,8.4.1,MIT,https://github.com/orval-labs/orval,ADOPT_NOW,ADM/BZA
Playwright,1.58.2,Apache-2.0,https://github.com/microsoft/playwright,ADOPT_NOW,QA
CycloneDX Gradle Plugin,3.0.1,Apache-2.0,https://github.com/CycloneDX/cyclonedx-gradle-plugin,ADOPT_NOW,Release
OSS Review Toolkit,current-approved,Apache-2.0,https://github.com/oss-review-toolkit/ort,ADOPT_NOW,Release
Syft,current-approved,Apache-2.0,https://github.com/anchore/syft,ADOPT_NOW,Release
Grype,current-approved,Apache-2.0,https://github.com/anchore/grype,ADOPT_NOW,Release
