exact_id,source_symbol,call_path,development_status,verification_status,overall_status,qa_status,basis_sha,qa_comment
CALL-001,Authorized transaction start,HTTP Channel/System→TransactionContextFilter→CpfInboundTransactionIdPolicy→Context,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,source trust policy fixed; actual A→B→C/D runtime missing
CALL-002,Approval execute/reconcile,Controller→Service→Repository reservation/fence→Owner Adapter→Owner state→fenced terminal write,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"static fix confirmed, process-kill runtime missing"
CALL-003,Batch UNKNOWN reconcile,Approval→BatchRuntimeAdapter→operation ledger exact identity→terminal/UNKNOWN,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"exact identity source fixed, multi-instance runtime missing"
CALL-004,Transaction log persistence,Listener→TransactionLogService→Core persistence port→MyBatis adapter→DB + lineage projection,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"ownership/masking fixed, DB3 live missing"
CALL-005,FileLog recovery,Writer append failure→RecoverySpool→checksum/backoff/quarantine→hardened writer appender→target,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"source improved, hard-kill/disk/read-only runtime missing"
CALL-006,ADM one-shot timeline,ADM Controller→Service→Timeline Port/Facade→local/remote/message/DLQ/file/trace/audit/unknown + batch→tree/freshness,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"static aggregation exists, real distributed transaction runtime missing"
CALL-007,Online reference multi-domain,Controller→Domain A→B→C(/D),재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,required integrated sample not found
CALL-008,Batch reference multi-domain,Scheduler→Job/Step→Domain A→B→C,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,required integrated sample not found
CALL-009,ADM generated client,Route registry→Page→Generated Client→Backend Controller,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,63 route static operation refs close; browser runtime missing
CALL-010,BZA generated client,Route registry→Page→Generated Client→Backend Controller,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,26 route static operation refs close; browser runtime missing
