finding_id,severity,requirement_id,area,title,actual_source,risk,required_fix,reproduction,source_path
QA-A-FINAL-NEW-001,P0,GOV-COUNT,Governance,CPF_FINAL_TARGET_REQUIREMENTS §21 count is stale,"Canonical header and §22 define 169 canonical IDs, but §21 still says 162; 8 legacy aliases are explicitly separate.",Completion denominator can omit 7 canonical requirements.,Update §21 to 169 and add an automated canonical-count/legacy-alias gate.,grep/parser on current canonical,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md
QA-A-FINAL-NEW-002,P0,EVIDENCE-SHA,Evidence,Developer verification/evidence is not current-SHA runtime evidence,"93 requirement rows, 56 finding rows and all 13 runtime commands/evidence are bound to cd5bacc..., while Final QA basis is 3aa1dd12....",Old evidence can be falsely promoted to current release PASS.,Re-run/bind all required evidence and runtime to current successor exact SHA; retain old SHA only as development provenance.,CSV exact-SHA recomputation,cpf-docs/work/v9i/dev-r6j14/**
QA-A-FINAL-NEW-003,P0,APPROVAL-FENCE,Approval/Recovery,Approval FENCE_TOKEN does not protect terminal finalization from stale owners,"reserveReconcile increments FENCE_TOKEN, but finishExecution/markUnknown/integrity updates predicate only on request ID + RUNNING.",Old owner can return after UNKNOWN→reconcile→new RUNNING and overwrite the new owner result.,Carry reservation fence/lease/command token through invocation and require it in every terminal write; add stale-owner race/process-kill test.,Source race reconstruction,cpf-admin/src/main/java/com/cpf/admin/approval/repository/AdmApprovalRepository.java
QA-A-FINAL-NEW-004,P0,CENTER-CUT-TERMINAL,Approval/Recovery,Center-Cut reconcile treats non-terminal RUNNING/RETRYING as success,reprocessCenterCutFailed returns SUCCEEDED when failedCount=0 and state is RUNNING or RETRYING.,UNKNOWN reconciliation can finalize before owner terminal state and mask later failure.,Only terminal owner states may resolve UNKNOWN; add RUNNING/RETRYING negative test and no-duplicate-side-effect proof.,Source branch review,cpf-admin/src/main/java/com/cpf/admin/approval/owner/CenterCutApprovalOwnerCommandAdapter.java
QA-A-FINAL-NEW-005,P0,TX-TRUST,Transaction/Security,Untrusted HTTP client can inject a valid internal transactionId,TransactionContextFilter passes inbound transaction header to generateOrUse(); generator accepts any syntactically valid value.,External clients can spoof/collide internal correlation identity and contaminate audit/timeline.,Regenerate at external trust boundary; preserve only authenticated/trusted internal hops; add spoof/replay tests.,Direct source inspection,cpf-core/src/main/java/com/cpf/core/common/filter/TransactionContextFilter.java|cpf-core/src/main/java/com/cpf/core/common/logging/TransactionIdGenerator.java
QA-A-FINAL-NEW-006,P0,CORE-OWNERSHIP,Architecture,cpf-core imports mapper implementation physically owned by persistence-mybatis Starter,"TransactionLogService/segment persistence import com.cpf.core.mapper.common.logging.*, while mapper sources live under cpf-starters/data/persistence-mybatis and cpf-core has no downstream Starter dependency.",Violates topology-independent core ownership and risks clean compile/publication failure.,Move JDBC/MyBatis implementation downstream behind Core API/SPI or relocate owner contract cleanly; prove core-only compile/publication.,Dependency/source ownership inspection,cpf-core/**|cpf-starters/data/persistence-mybatis/**
QA-A-FINAL-NEW-007,P0,LOG-MASK,Logging/Security,DB transaction summary persistence is not fail-closed for masking,"TransactionLogService directly inserts TransactionLogRecord; detail values are masked, but summary body/member/customer/error fields are not force-redacted at persistence boundary.",Producer mistakes can persist PII/secrets in DB logs.,Enforce masking/redaction immediately before DB insert and add malicious-record persistence tests.,Source insert path inspection,cpf-core/src/main/java/com/cpf/core/service/common/logging/TransactionLogService.java
QA-A-FINAL-NEW-008,P0,DB-CANONICAL-V107,DB3,V107 transaction lineage exists in vendor SQL but is absent from canonical platform-schema,"Oracle/PostgreSQL/MariaDB V107 create cpf_transaction_lineage, but current cpf-tools/db/canonical/platform-schema.json contains no cpf_transaction_lineage.",Vendor SQL becomes an independent primary and Generator/canonical parity cannot be guaranteed.,Add lineage to canonical schema/model and regenerate DB3/install/migration/rollback/runtime/generator artifacts from canonical source.,Canonical vs vendor static comparison,cpf-tools/db/canonical/platform-schema.json|cpf-tools/db/vendor/*/migration/V107__transaction_logging_lineage_r6j.sql
QA-A-FINAL-NEW-009,P0,DB3-GATE-FALSEGREEN,Verification/DB3,R6J DB3 verifier can pass while canonical schema is missing V107,verify-r6j-transaction-db3.py checks vendor SQL files/columns/indexes but does not inspect canonical platform-schema or a real writer/consumer.,Static DB3 PASS can hide canonical-source divergence.,Add canonical schema/generator/writer checks plus live 3-vendor lifecycle.,Gate source review + canonical mutation reasoning,cpf-tools/verification/final-dev/verify-r6j-transaction-db3.py
QA-A-FINAL-NEW-010,P1,LINEAGE-WRITER,Transaction/Logging,cpf_transaction_lineage is queried as optional canonical store but no concrete writer path was found,Facade queries cpf_transaction_lineage and federates existing stores; 07_05 adds V107 but no Java producer/adapter write path was found in reviewed change/repository search.,New table may remain empty/dead and retention/archive jobs operate on unused data.,"Either implement authoritative lineage writers/exporters with idempotency, or remove table as primary and explicitly standardize federated-source ownership.",Repository symbol/source search,cpf-core/src/main/java/com/cpf/core/common/logging/segment/CpfTransactionTimelineQueryFacade.java|cpf-tools/db/vendor/*/V107*
