exact_id,source_symbol,source_path,consumer_path,test_path,development_status,verification_status,overall_status,qa_status,basis_sha,evidence_id,qa_comment
SRC-001,Canonical count,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,see call path matrix,see relevant audit,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-001,"header/§21/§22=169, Legacy Alias=8."
SRC-002,TransactionId trust policy,cpf-core/.../CpfInboundTransactionIdPolicy.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-002,Trusted transport/system/channel/replay guard source fixed; end-to-end multi-hop runtime unverified.
SRC-003,Transaction context filter CSP,cpf-core/.../TransactionContextFilter.java,see call path matrix,see relevant audit,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-003,CSP script-src 'self'; old unpkg/unsafe-eval removed.
SRC-004,Approval fencing,cpf-admin/.../AdmApprovalRepository.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-004,Terminal writes include commandRequestId+leaseOwner+fenceToken; process-kill/multi-instance runtime unverified.
SRC-005,CenterCut reconcile,cpf-admin/.../CenterCutApprovalOwnerCommandAdapter.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-005,Only terminal COMPLETED/SUCCEEDED/RECOVERED success; runtime unverified.
SRC-006,Batch reconcile identity,cpf-admin/.../BatchRuntimeApprovalOwnerCommandAdapter.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-006,Exact command/idempotency/approval/operation/target tuple comparison; collision runtime unverified.
SRC-007,Core persistence ownership,cpf-core/.../TransactionLogService.java + cpf-core API ports + MyBatis adapters,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-007,"Core uses API port, Starter owns MyBatis adapter; clean Java25 publication unverified."
SRC-008,DB log masking boundary,cpf-core/.../TransactionLogService.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-008,Mask-at-persistence-boundary source exists; malicious live DB corpus unverified.
SRC-009,Lineage canonical schema,cpf-tools/db/canonical/platform-schema.json,see call path matrix,see relevant audit,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-009,cpf_transaction_lineage present as normalized operational projection/index.
SRC-010,Lineage writer projection,cpf-starters/.../JdbcTransactionLineageProjectionAdapter.java,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-010,UPDATE+INSERT projection adapter wired; DB3 race/runtime unverified.
SRC-011,FileLog recovery writer reuse,CpfFileLogRecoverySpool + CpfFileLogWriter,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-011,Recovery appender routes through hardened writer path; process/disk/read-only runtime unverified.
SRC-012,FileLog recovery test,CpfFileLogRecoveryContractTest.java,see call path matrix,see relevant audit,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-012,Test calls replay once; duplicate replay/restart/symlink/process-kill not demonstrated.
SRC-013,DB3 lifecycle runner,run-db3-lifecycle.ps1,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-013,Delegates to runtime matrix script; pwsh/live DB3 unavailable.
SRC-014,Framework util API,cpf-core/src/main/java/com/cpf/core/api/util/**,see call path matrix,see relevant audit,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-014,Strings/Dates/Times/Decimals/Files/Hashes/Ids/Json/Lists/Maps/Numbers/Pages/Validation contracts exist; full consumer/edge tests not independently closed.
SRC-015,Paging API,cpf-core/src/main/java/com/cpf/core/api/page/**,see call path matrix,see relevant audit,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-015,"CpfPageRequest enforces page>=0,size 1..200, overflow-safe offset; sort/DB paging/out-of-range consumer matrix not fully verified."
SRC-016,HTTP client API,cpf-core/src/main/java/com/cpf/core/api/http/CpfHttpClient.java,see call path matrix,see relevant audit,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-016,Generated-domain HTTP API exists; timeout/pool/retry/masking/observability provider consumer path not fully re-executed.
SRC-017,Public Javadoc,CpfHttpClient.java; CpfPageRequest.java,see call path matrix,see relevant audit,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-017,Class-level Korean Javadoc exists but public method contract Javadoc is incomplete.
SRC-018,Online multi-domain sample,ReferenceTransactionEducationSample.java; EduDev22Handler.java,see call path matrix,see relevant audit,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-018,No executable Controller→Domain A→B→C(/D) integrated sample found.
SRC-019,Batch multi-domain sample,cpf-reference/src/main/java/com/cpf/reference/batch/**,see call path matrix,see relevant audit,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-019,No executable Batch→Domain A→B→C integrated sample found.
SRC-020,ADM routes/OpenAPI,ADM routes + OpenAPI,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-020,"63 routes, 330 operations, route expected refs missing 0; browser/error runtime unverified."
SRC-021,BZA routes/OpenAPI,BZA routes + OpenAPI,see call path matrix,see relevant audit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-021,"26 routes, 80 operations, active expected refs missing 0; retired legacy ops removed; browser runtime unverified."
SRC-022,Qualification target provenance,6 current gates,see call path matrix,see relevant audit,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-022,END_SHA fake localhost evidence passed all 6 current gates.
SRC-023,07_09 impact,commit b4b6b18...,see call path matrix,see relevant audit,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SRC-023,07_09 changed only central currentization docs/SPECIAL_REVIEW_1000; Product/Gate source unchanged from START_SHA.
