exact_id,requirement_id,development_status,verification_status,overall_status,qa_status,basis_sha,actual_environment_or_error,actual_attempt,exit_code,rerun_command,rerun_condition,pass_criteria,fail_criteria,evidence_id
RUNTIME-01,Java25 + Gradle9.1 clean build/publication,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,java=21.0.11; gradle CLI absent; no clean git checkout,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,gradlew.bat --version; gradlew.bat clean build aggregateQualityBuild publicationGate,Java 25 + Gradle 9.1 + clean exact-SHA checkout,Exit 0 + exact required versions + publication PASS,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-01
RUNTIME-02,DB3 live install→upgrade→rollback→reapply,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no Oracle/PostgreSQL/MariaDB live endpoints/credentials; no pwsh/docker,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,pwsh -File cpf-tools/verification/final-dev/run-db3-lifecycle.ps1 -ExpectedHead b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,3 DB endpoints + credentials + PowerShell,"3 vendors lifecycle Exit 0, hashes/evidence current SHA","Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-02
RUNTIME-03,ADM Chromium/Firefox/WebKit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no browser target/auth state,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,npm run test:e2e; npm run test:a11y,deployed ADM + authenticated fixtures + Playwright browsers,all 3 engines + a11y Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-03
RUNTIME-04,BZA Chromium/Firefox/WebKit,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no browser target/auth state,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,npm run test:e2e; npm run test:a11y,deployed BZA + authenticated fixtures,all 3 engines + a11y Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-04
RUNTIME-05,Approval 2+ instance/process-kill,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no multi-instance runtime/DB owner environment,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,run-multiprocess-chaos.ps1,2+ instances + DB + kill control,stale fence cannot finalize; reconcile correct; Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-05
RUNTIME-06,Broker/network/DB finalization chaos,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no live broker/network fault target; END_SHA qualification can be passed by non-CPF fake target/authority (NEW-003).,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,0 on fake target,run-broker-contract.py --self-test (semantic PASS); live chaos pending,live broker + network fault control + DB,live retry/DLQ/reconnect/finalization evidence Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-06
RUNTIME-07,Performance/resource,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no load target; END_SHA qualification can be passed by non-CPF fake target/authority (NEW-003).,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,0 on fake target,run-resource-contract.py --self-test (PASS); live load pending,representative workload + resource telemetry,budget/backpressure/cleanup measured Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-07
RUNTIME-08,Security negative corpus,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no authenticated runtime target; END_SHA qualification can be passed by non-CPF fake target/authority (NEW-003).,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,0 on fake target,run-r6-security-negative-qualification.py --self-test (PASS),runtime auth identities + attack corpus,14 semantic categories exercised against live target Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-08
RUNTIME-09,DR backup/restore,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,no DB/key/backup/chaos environment; END_SHA qualification can be passed by non-CPF fake target/authority (NEW-003).,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,0 on fake target,run-r6-dr-chaos-probe.py --self-test (PASS),real backup/restore target + keys + fault injection,measured hash/RPO/RTO Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-09
RUNTIME-10,Generator lifecycle/fresh consumer,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Java25/Gradle/DB3 fresh-consumer environment absent,Tool/runtime availability inspected. False-green axes independently attacked; other target runtimes unavailable and not fabricated.,NOT_EXECUTED_TARGET_ENV_UNAVAILABLE,generator lifecycle release gate,Java25 + Gradle9.1 + DB3 + fresh consumer workspace,generated domain build/runtime parity Exit 0,"Any target/evidence identity mismatch, non-zero target failure, surviving fake-target mutation, source/consumer defect, or SHA mismatch.",RUNTIME-RUNTIME-10
