exact_id,requirement_id,finding_id,source_path,source_symbol,consumer_path,test_path,runtime_gate,development_status,verification_status,severity,evidence_id,evidence_path,evidence_sha256,basis_sha,qa_comment,qa_status
TXLOG-001,TRANSACTION-LOGGING,QA-A-FINAL-NEW-005,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Inbound transactionId trust,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,재개발 요청,실패,P0,TXLOG-001,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,untrusted valid client ID is adopted,FAIL
TXLOG-002,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Nested local segments,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-002,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,segment model/persistence/query exists,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-003,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Remote service lineage,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-003,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,service_call_history + external segment query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-004,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Message producer/outbox,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-004,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,broker outbox source query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-005,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Message DLQ,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-005,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,DLQ source query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-006,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,File lineage,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-006,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,file transfer source query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-007,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Batch lineage,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-007,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,AdmTransactionGroupService appends batch operations,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-008,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Trace/Span,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-008,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,transaction log query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-009,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Audit,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-009,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,token audit source; full audit families not runtime-proven,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-010,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,UNKNOWN/Reconcile,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-010,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,unknown_result source query,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-011,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,partial/stale/missing source,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-011,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,sourceFreshness + batch merge implemented,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-012,TRANSACTION-LOGGING,,cpf-core/**|cpf-admin/**|cpf-tools/db/**,ADM tree/timeline,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,완료,미검증,,TXLOG-012,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,detail contains lineage/tree/sourceFreshness,PASS_STATIC_RUNTIME_UNVERIFIED
TXLOG-013,TRANSACTION-LOGGING,QA-A-FINAL-NEW-007,cpf-core/**|cpf-admin/**|cpf-tools/db/**,DB summary masking,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,재개발 요청,실패,P0,TXLOG-013,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,persistence boundary not force-masking summary record,FAIL
TXLOG-014,TRANSACTION-LOGGING,QA-A-FINAL-NEW-008,cpf-core/**|cpf-admin/**|cpf-tools/db/**,Canonical V107 schema,ADM transaction group one-shot,,Transaction/Logging end-to-end lineage,재개발 요청,실패,P0,TXLOG-014,TRANSACTION_LOGGING_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,platform-schema missing transaction lineage,FAIL
