exact_id,requirement_id,source_path,architecture_decision,development_status,verification_status,overall_status,qa_status,basis_sha,developer_basis_sha,consumer_path,test_path,qa_comment
EDU-ADM-01,EDU-ADM-01,cpf-reference/src/main/java/com/cpf/reference/optional/operations/reuse/EduAdm01Handler.java,MERGE_EDU,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/reuse/EduAdm01ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/reuse/EduAdm01FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/reuse/EduAdm01IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/reuse/EduAdm01RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/reuse/EduAdm01UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-02,EDU-ADM-02,cpf-reference/src/main/java/com/cpf/reference/optional/operations/query/EduAdm02Handler.java,EXTENSION_SAMPLE,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/query/EduAdm02ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/query/EduAdm02FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/query/EduAdm02IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/query/EduAdm02RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/query/EduAdm02UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-03,EDU-ADM-03,cpf-reference/src/main/java/com/cpf/reference/optional/operations/command/EduAdm03Handler.java,EXTENSION_SAMPLE,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/command/EduAdm03ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/command/EduAdm03FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/command/EduAdm03IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/command/EduAdm03RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/command/EduAdm03UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-04,EDU-ADM-04,cpf-reference/src/main/java/com/cpf/reference/optional/operations/approval/EduAdm04Handler.java,EXTENSION_SAMPLE,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/approval/EduAdm04ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/approval/EduAdm04FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/approval/EduAdm04IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/approval/EduAdm04RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/approval/EduAdm04UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-05,EDU-ADM-05,cpf-reference/src/main/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05Handler.java,MERGE_EDU,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/asyncoperation/EduAdm05UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-06,EDU-ADM-06,cpf-reference/src/main/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06Handler.java,MERGE_EDU,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/partialrecovery/EduAdm06UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-07,EDU-ADM-07,cpf-reference/src/main/java/com/cpf/reference/optional/operations/customscreen/EduAdm07Handler.java,EXTENSION_SAMPLE,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/customscreen/EduAdm07ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/customscreen/EduAdm07FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/customscreen/EduAdm07IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/customscreen/EduAdm07RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/customscreen/EduAdm07UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-08,EDU-ADM-08,cpf-reference/src/main/java/com/cpf/reference/optional/operations/search/EduAdm08Handler.java,PRODUCT_ADM,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/search/EduAdm08UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-09,EDU-ADM-09,cpf-reference/src/main/java/com/cpf/reference/optional/operations/detail/EduAdm09Handler.java,MERGE_EDU,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/detail/EduAdm09ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/detail/EduAdm09FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/detail/EduAdm09IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/detail/EduAdm09RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/detail/EduAdm09UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
EDU-ADM-10,EDU-ADM-10,cpf-reference/src/main/java/com/cpf/reference/optional/operations/bulk/EduAdm10Handler.java,PRODUCT_ADM,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,08d8beb4a664039904c30aeac07115a04707924a,CPF_EDU_BUSINESS_RECORD,cpf-reference/src/test/java/com/cpf/reference/optional/operations/bulk/EduAdm10ConcurrencyTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/bulk/EduAdm10FailureTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/bulk/EduAdm10IntegrationTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/bulk/EduAdm10RecoveryTest.java;cpf-reference/src/test/java/com/cpf/reference/optional/operations/bulk/EduAdm10UnitTest.java,Inventory/source classification reviewed; developer prior-SHA PASS not inherited. Individual target runtime is not current-SHA proven.
