record_type,exact_id,finding_id,severity,title,requirement_id,source_ids,development_status,verification_status,overall_status,qa_status,basis_sha,qa_comment,required_fix,acceptance
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-001,CENTRAL-FINAL-001,P0,Canonical Requirement count stale,Governance,QA-A-FINAL-NEW-001,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08/07_09 canonical header, §21, §22 모두 169; Legacy Alias 8 분리 확인.",Canonical document count inconsistency is centrally corrected to 169 in this currentization. Developer must implement/keep an executable gate that independently parses canonical IDs and 8 legacy aliases; aliases never inflate the denominator.,Current canonical header/§21/§22 are 169; developer gate independently proves 169 canonical + 8 legacy aliases and mutation to a wrong count fails.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-002,CENTRAL-FINAL-002,P0,Previous-SHA evidence can be promoted incorrectly,Evidence/Exact SHA,QA-A-FINAL-NEW-002,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,dev-final 169/31/56/runtime 원장은 주로 08d8 baseline이며 Runtime 13 command도 08d8. END_SHA PASS로 승계 불가.,Remove hard-coded prior-SHA assumptions from verification. Every gate/evidence record must resolve the actual current HEAD/candidate provenance; old SHA remains provenance only.,No PASS can be produced from cd5bacc evidence for successor source. Commands are parameterized/current-HEAD-bound and provenance is immutable.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-003,CENTRAL-FINAL-003,P0,Approval terminal writes are not fenced,Approval/Recovery,QA-A-FINAL-NEW-003,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,terminal update가 commandRequestId+leaseOwner+fenceToken을 조건으로 사용하도록 source 수정 확인. 2+ instance/process-kill runtime 미실행.,Carry FENCE_TOKEN/lease owner/command identity from reservation through invocation and require matching fence in every terminal execution/request/UNKNOWN/integrity update.,Stale owner cannot finalize after re-reservation; race/process-kill tests prove old fence writes affect 0 rows and cannot overwrite new owner result.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-004,CENTRAL-FINAL-004,P0,Center-Cut non-terminal states can resolve UNKNOWN as success,Approval/Center-Cut,QA-A-FINAL-NEW-004,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Center-Cut success는 terminal COMPLETED/SUCCEEDED/RECOVERED로 제한됨. actual process/reconcile runtime 미실행.,Only explicit terminal states may resolve UNKNOWN. RUNNING/RETRYING/PENDING remain UNKNOWN regardless of failedCount/unknownCount.,Negative tests for RUNNING/RETRYING/PENDING and no-duplicate-side-effect proof pass.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-005,CENTRAL-FINAL-005,P0,Batch UNKNOWN reconcile uses substring identity,Approval/Batch Runtime,QA-B-FINAL-NEW-003,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Batch operation ledger는 command/idempotency/approval/operation/targetType/targetId exact equality로 수정됨. collision runtime/test current SHA 미실행.,Replace concatenated row-values contains() matching with exact structured immutable identity equality: command/operation ID + idempotency key/request hash + approval/target tuple.,Collision tests with prefix/suffix/substring-overlapping IDs cannot select unrelated rows.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-006,CENTRAL-FINAL-006,P0,TransactionId trust boundary must preserve official channel-originated lineage,Transaction/Security,QA-A-FINAL-NEW-005,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,CpfInboundTransactionIdPolicy가 trusted transport/system/channel/replay guard를 적용. End-to-end multi-hop runtime은 미검증.,Official transaction-originating Channel/System may generate the first valid CPF transactionId. All Local/Remote/REST/SOAP/Gateway/Message/Async/Retry/Batch/File/UNKNOWN/Reconcile hops preserve that same transactionId. Only untrusted spoof/replay/manipulation is blocked using authenticated Channel/System identity and trust policy; do not blanket-regenerate every inbound transactionId.,Official channel-generated ID is accepted and preserved end-to-end; retry keeps ID and increments attempt; trusted internal propagation works; untrusted replay/spoof cannot join another lineage; ADM reconstructs the full chain by one transactionId.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-007,CENTRAL-FINAL-007,P0,cpf-core depends on MyBatis-owned mapper implementation,Architecture,QA-A-FINAL-NEW-006,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Core logging persistence가 Core port로 분리되고 MyBatis adapter는 Starter에 위치. Java25 clean build/publication 미실행.,Keep topology-independent API/SPI/contracts in cpf-core; move JDBC/MyBatis implementation and mapper ownership downstream to persistence-mybatis or an owning provider module.,cpf-core compiles/publishes without persistence-mybatis implementation classes; ArchUnit/dependency gate prevents reverse dependency.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-008,CENTRAL-FINAL-008,P0,DB summary logging is not fail-closed for masking,Logging/Security,QA-A-FINAL-NEW-007,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,TransactionLogService persistence-boundary masking source 확인. Live DB write/secret corpus runtime 미실행.,"Apply canonical masking/redaction immediately at DB persistence boundary for all summary/detail/member/customer/error fields, independent of producer behavior.",Malicious/unmasked record persistence tests prove raw secret/PII cannot reach DB rows or evidence.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-009,CENTRAL-FINAL-009,P0,V107 lineage missing from canonical platform-schema,DB3/Canonical,QA-A-FINAL-NEW-008,완료,완료,완료,PASS,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Canonical platform-schema에 cpf_transaction_lineage 존재 확인.,Add transaction lineage model to canonical schema and regenerate/synchronize Oracle/PostgreSQL/MariaDB install/migration/rollback/query/index/retention/generator artifacts.,Canonical→DB3 parity is one-way and zero-drift; transactionId/hierarchy indexes and rollback are present in all 3 vendors.
CENTRAL_FINAL_ACTION,CENTRAL-FINAL-010,CENTRAL-FINAL-010,P0,DB3 verifier can pass without canonical V107,Verification/DB3,QA-A-FINAL-NEW-009,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current DB3 verifier self-test 결과만으로 canonical/generator/live DB3 전체를 PASS하지 않음; 별도 runtime 필요.,"Strengthen verifier to inspect canonical schema, generated vendor artifacts, writer/consumer path and duplicate/path/schema consistency; mutation must fail when canonical lineage is removed.","Canonical omission, vendor drift, missing writer and missing rollback mutations are all killed."
